entidad,aver_det,totalca1
"01",1,"508"
"01",2,"136"
"01",3,"2881"
"01",4,"5"
"01",5,"0"
"01",9,""
"02",1,"1088"
"02",2,"1565"
"02",3,"1566"
"02",4,"60"
"02",5,"4"
"02",9,""
"03",1,"913"
"03",2,"6501"
"03",3,"21021"
"03",4,"2"
"03",5,"16"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",4,"NSS"
"04",5,"NSS"
"04",9,"131"
"05",1,"564"
"05",2,"2810"
"05",3,"0"
"05",4,"1"
"05",5,"9"
"05",9,""
"06",1,"1274"
"06",2,"430"
"06",3,"560"
"06",4,"171"
"06",5,"0"
"06",9,""
"07",1,"706"
"07",2,"100"
"07",3,"0"
"07",4,"2"
"07",5,"1"
"07",9,""
"08",1,"NA"
"08",2,"NA"
"08",3,"NA"
"08",4,"NA"
"08",5,"NA"
"08",9,""
"09",1,"4356"
"09",2,"2112"
"09",3,"17049"
"09",4,"4475"
"09",5,"0"
"09",9,""
"10",1,"20"
"10",2,"25"
"10",3,"180"
"10",4,"0"
"10",5,"145"
"10",9,""
"11",1,"1715"
"11",2,"5960"
"11",3,"5160"
"11",4,"35"
"11",5,"290"
"11",9,""
"12",1,"1215"
"12",2,"1190"
"12",3,"1231"
"12",4,"290"
"12",5,"1205"
"12",9,""
"13",1,"1210"
"13",2,"13844"
"13",3,"2349"
"13",4,"0"
"13",5,"0"
"13",9,""
"14",1,"1950"
"14",2,"943"
"14",3,"6144"
"14",4,"29"
"14",5,"0"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",4,"NA"
"15",5,"NA"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",5,"NSS"
"16",9,""
"17",1,"17"
"17",2,"67"
"17",3,"0"
"17",4,"3"
"17",5,"0"
"17",9,""
"18",1,"1856"
"18",2,"428"
"18",3,"604"
"18",4,"0"
"18",5,"37"
"18",9,""
"19",1,"12"
"19",2,"26"
"19",3,"19"
"19",4,"14"
"19",5,"21"
"19",9,""
"20",1,"1175"
"20",2,"402"
"20",3,"5711"
"20",4,"297"
"20",5,"0"
"20",9,""
"21",1,"1769"
"21",2,"28550"
"21",3,"7429"
"21",4,"40"
"21",5,"0"
"21",9,""
"22",1,"675"
"22",2,"1998"
"22",3,"6834"
"22",4,"313"
"22",5,"0"
"22",9,""
"23",1,"65"
"23",2,"94"
"23",3,"85"
"23",4,"18"
"23",5,"0"
"23",9,""
"24",1,"361"
"24",2,"7082"
"24",3,"1031"
"24",4,"248"
"24",5,"14454"
"24",9,""
"25",1,"1674"
"25",2,"1243"
"25",3,"6265"
"25",4,"524"
"25",5,"5679"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",5,"NSS"
"26",9,""
"27",1,"2"
"27",2,"449"
"27",3,"6"
"27",4,"72"
"27",5,"0"
"27",9,""
"28",1,"847"
"28",2,"21"
"28",3,"1222"
"28",4,"400"
"28",5,"56"
"28",9,""
"29",1,"703"
"29",2,"392"
"29",3,"222"
"29",4,"7"
"29",5,"0"
"29",9,""
"30",1,"434"
"30",2,"644"
"30",3,"1336"
"30",4,"138"
"30",5,"11"
"30",9,""
"31",1,"0"
"31",2,"0"
"31",3,"0"
"31",4,"0"
"31",5,"0"
"31",9,""
"32",1,"37"
"32",2,"57"
"32",3,"44"
"32",4,"75"
"32",5,"0"
"32",9,""
