entidad,semsone,prremi1,prremi2,prremi3,prremi4,prremi5,prremi6,prremi7,prremi8,prremi9,prremi10
"01",1,"0","0","21","","0","0","0","71","","0"
"01",2,"0","0","12","","0","0","0","164","","0"
"01",9,"","","","","","","","","",""
"02",1,"0","0","528","","0","0","0","3","","0"
"02",2,"0","0","537","","0","0","0","30","","0"
"02",9,"","","","","","","","","",""
"03",1,"20","0","122","","0","0","0","52","","0"
"03",2,"0","0","8","","0","0","0","0","","0"
"03",9,"","","","","","","","","",""
"04",1,"0","0","0","","0","0","0","0","","0"
"04",2,"94","0","41","","0","0","0","0","","0"
"04",9,"","","","","","","","","",""
"05",1,"141","2","0","","0","0","0","0","","0"
"05",2,"92","0","831","","0","0","0","0","","0"
"05",9,"","","","","","","","","",""
"07",1,"87","0","0","","55","0","0","0","","0"
"07",2,"84","0","0","","18","0","0","0","","0"
"07",9,"","","","","","","","","",""
"08",1,"0","0","0","","0","0","0","0","","0"
"08",2,"1454","150","135","","0","32","0","3","","0"
"08",9,"","","","","","","","","",""
"09",1,"3589","0","0","","0","0","378","0","","0"
"09",2,"7854","0","0","","0","0","673","0","","0"
"09",9,"","","","","","","","","",""
"10",1,"0","0","0","","0","0","0","0","","0"
"10",2,"517","0","224","","0","0","12","50","","0"
"10",9,"","","","","","","","","",""
"11",1,"525","0","0","","244","0","68","747","","0"
"11",2,"404","0","0","","2","0","2","1013","","0"
"11",9,"","","","","","","","","",""
"12",1,"0","0","0","","0","0","0","0","","0"
"12",2,"180","0","127","","0","0","2","9","","0"
"12",9,"","","","","","","","","",""
"13",1,"6","0","530","","0","0","0","0","","0"
"13",2,"16","0","120","","0","0","0","0","","0"
"13",9,"","","","","","","","","",""
"14",1,"160","0","393","","0","0","0","34","","0"
"14",2,"235","0","273","","0","0","0","41","","0"
"14",9,"","","","","","","","","",""
"15",1,"782","0","0","","0","0","0","695","","0"
"15",2,"523","0","0","","0","0","0","694","","0"
"15",9,"","","","","","","","","",""
"16",1,"0","0","0","","0","0","0","0","","34"
"16",2,"0","0","0","","0","0","0","0","","168"
"16",9,"","","","","","","","","",""
"17",1,"3","0","0","","0","0","0","0","","0"
"17",2,"231","0","109","","0","0","9","0","","0"
"17",9,"","","","","","","","","",""
"18",1,"NSS","NSS","NSS","95","NSS","NSS","NSS","NSS","113","0"
"18",2,"NSS","NSS","NSS","22","0","0","0","0","","0"
"18",9,"","","","","","","","","",""
"19",1,"0","0","0","","0","0","0","0","","0"
"19",2,"0","0","3217","","0","0","0","66","","0"
"19",9,"","","","","","","","","",""
"20",1,"0","0","0","","0","0","0","0","","0"
"20",2,"87","0","0","","0","0","0","262","","0"
"20",9,"","","","","","","","","",""
"21",1,"76","0","0","","NSS","NSS","NSS","NSS","245","0"
"21",2,"75","0","0","","0","0","0","176","","0"
"21",9,"","","","","","","","","",""
"22",1,"0","0","0","","0","0","0","0","","0"
"22",2,"155","1","2","","0","0","3","639","","0"
"22",9,"","","","","","","","","",""
"23",1,"90","0","0","","0","0","0","56","","0"
"23",2,"205","0","0","","0","0","0","64","","0"
"23",9,"","","","","","","","","",""
"24",1,"0","0","66","","0","0","0","0","","0"
"24",2,"0","0","29","","0","0","0","0","","0"
"24",9,"","","","","","","","","",""
"25",1,"0","0","0","","0","0","0","0","","0"
"25",2,"100","0","0","","361","0","0","0","","0"
"25",9,"","","","","","","","","",""
"26",1,"302","NSS","372","","NSS","NSS","NSS","NSS","9","0"
"26",2,"141","0","201","","NSS","NSS","NSS","NSS","23","0"
"26",9,"","","","","","","","","",""
"27",1,"0","0","0","","0","0","0","0","","0"
"27",2,"414","0","0","","0","13","0","0","","0"
"27",9,"","","","","","","","","",""
"28",1,"NSS","NSS","NSS","632","NSS","NSS","NSS","NSS","25","0"
"28",2,"NSS","NSS","NSS","236","NSS","NSS","NSS","NSS","22","0"
"28",9,"","","","","","","","","",""
"29",1,"47","0","0","","0","0","0","0","","0"
"29",2,"15","0","0","","0","0","0","0","","0"
"29",9,"","","","","","","","","",""
"30",1,"NSS","NSS","NSS","","NSS","NSS","NSS","NSS","","NSS"
"30",2,"NSS","NSS","NSS","","NSS","NSS","NSS","NSS","","NSS"
"30",9,"","","","","","","","","",""
"31",1,"0","0","0","","0","0","0","0","","0"
"31",2,"242","0","354","","0","0","0","0","","0"
"31",9,"","","","","","","","","",""
"32",1,"0","0","0","","0","0","0","0","","0"
"32",2,"NSS","NSS","NSS","305","NSS","NSS","NSS","NSS","10","0"
"32",9,"","","","","","","","","",""
