entidad,averaini,prores1,prores2,prores3,prores5,prores6,prores7,prores8,prores10,proresne
"01",1,"0","0","0","0","0","0","0","7946",""
"01",2,"0","0","0","0","0","0","0","14896",""
"01",9,"","","","","","","","",""
"02",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","22824"
"02",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","74544"
"02",9,"","","","","","","","",""
"03",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","5041"
"03",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","19906"
"03",9,"","","","","","","","",""
"04",1,"75","0","0","0","40","183","35","0",""
"04",2,"526","34","48","50","197","635","209","2",""
"04",9,"","","","","","","","",""
"05",1,"2738","1","498","0","0","0","1328","0",""
"05",2,"9631","NSS","18624","0","10589","0","9684","0",""
"05",9,"","","","","","","","",""
"06",1,"212","NSS","NSS","618","NSS","NSS","NSS","NSS","1605"
"06",2,"1700","NSS","NSS","147","NSS","NSS","NSS","NSS","6595"
"06",9,"","","","","","","","",""
"07",1,"264","0","0","0","0","0","1112","0",""
"07",2,"2138","0","0","0","0","0","17377","0",""
"07",9,"","","","","","","","",""
"08",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"08",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","57902"
"08",9,"","","","","","","","",""
"09",1,"6375","0","12664","0","0","0","21476","0",""
"09",2,"9149","0","59424","0","0","0","70632","0",""
"09",9,"","","","","","","","",""
"10",1,"0","0","0","0","0","0","370","0",""
"10",2,"3144","3","7328","141","0","4831","16366","0",""
"10",9,"","","","","","","","",""
"11",1,"NSS","NSS","2680","0","0","0","11167","0",""
"11",2,"NSS","NSS","4446","0","0","0","85776","0",""
"11",9,"","","","","","","","",""
"12",1,"440","65","2088","399","1189","20","2718","75",""
"12",2,"515","7","5340","18","4358","223","6848","166",""
"12",9,"","","","","","","","",""
"13",1,"56","4","0","1","0","0","2588","0",""
"13",2,"938","0","107","88","3389","3255","16769","0",""
"13",9,"","","","","","","","",""
"14",1,"1294","38","1059","81","873","2788","578","29800",""
"14",2,"2724","0","4971","1518","10579","0","6350","44056",""
"14",9,"","","","","","","","",""
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"15",2,"23559","3","7790","73460","37004","52999","26945","0",""
"15",9,"","","","","","","","",""
"16",1,"NSS","NSS","NSS","NSS","NSS","NSS","2636","0",""
"16",2,"NSS","NSS","NSS","NSS","NSS","NSS","34009","0",""
"16",9,"","","","","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"17",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","47191"
"17",9,"","","","","","","","",""
"18",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1922"
"18",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1724"
"18",9,"","","","","","","","",""
"19",1,"0","0","106","0","0","0","67","0",""
"19",2,"0","0","69411","10","0","0","13298","0",""
"19",9,"","","","","","","","",""
"20",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","8313"
"20",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","23867"
"20",9,"","","","","","","","",""
"21",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","22988"
"21",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","28073"
"21",9,"","","","","","","","",""
"22",1,"491","5","0","273","48","13","12087","0",""
"22",2,"NSS","NSS","2447","NSS","NSS","NSS","29573","0",""
"22",9,"","","","","","","","",""
"23",1,"791","0","0","0","0","0","1230","0",""
"23",2,"958","0","0","52","0","59","0","15331",""
"23",9,"","","","","","","","",""
"24",1,"130","0","1473","0","0","0","157","3013",""
"24",2,"272","0","17038","0","16","68","2019","2134",""
"24",9,"","","","","","","","",""
"25",1,"242","0","2193","425","15","33","3707","526",""
"25",2,"343","0","5166","121","0","0","8705","14",""
"25",9,"","","","","","","","",""
"26",1,"2835","NSS","920","4294","228","NSS","1139","0",""
"26",2,"1151","0","13515","0","0","0","12369","0",""
"26",9,"","","","","","","","",""
"27",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","14233"
"27",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","45201"
"27",9,"","","","","","","","",""
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","11532"
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","34300"
"28",9,"","","","","","","","",""
"29",1,"98","0","0","3041","0","0","0","0",""
"29",2,"322","0","0","0","0","0","3089","0",""
"29",9,"","","","","","","","",""
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","8780"
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","44989"
"30",9,"","","","","","","","",""
"31",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"31",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","34288"
"31",9,"","","","","","","","",""
"32",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","449"
"32",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","16662"
"32",9,"","","","","","","","",""
