entidad,avprcain,totalca1
"01",1,"7946"
"01",2,"14896"
"01",3,"22842"
"01",9,""
"02",1,"22824"
"02",2,"74544"
"02",3,"97368"
"02",9,""
"03",1,"5041"
"03",2,"19906"
"03",3,"24947"
"03",9,""
"04",1,"333"
"04",2,"1701"
"04",3,"2034"
"04",9,""
"05",1,"4565"
"05",2,"48528"
"05",3,"53093"
"05",9,""
"06",1,"2435"
"06",2,"8442"
"06",3,"10877"
"06",9,""
"07",1,"1376"
"07",2,"19515"
"07",3,"20891"
"07",9,""
"08",1,"NA"
"08",2,"57902"
"08",3,"57902"
"08",9,""
"09",1,"40515"
"09",2,"139205"
"09",3,"179720"
"09",9,""
"10",1,"370"
"10",2,"31813"
"10",3,"32183"
"10",9,""
"11",1,"13847"
"11",2,"90222"
"11",3,"104069"
"11",9,""
"12",1,"6994"
"12",2,"17475"
"12",3,"24469"
"12",9,""
"13",1,"2649"
"13",2,"24546"
"13",3,"27195"
"13",9,""
"14",1,"36511"
"14",2,"70198"
"14",3,"106709"
"14",9,""
"15",1,"NA"
"15",2,"221760"
"15",3,"221760"
"15",9,""
"16",1,"2636"
"16",2,"34009"
"16",3,"36645"
"16",9,""
"17",1,"NA"
"17",2,"47191"
"17",3,"47191"
"17",9,""
"18",1,"1922"
"18",2,"1724"
"18",3,"3646"
"18",9,""
"19",1,"173"
"19",2,"82719"
"19",3,"82892"
"19",9,""
"20",1,"8313"
"20",2,"23867"
"20",3,"32180"
"20",9,""
"21",1,"22988"
"21",2,"28073"
"21",3,"51061"
"21",9,""
"22",1,"12917"
"22",2,"32020"
"22",3,"44937"
"22",9,""
"23",1,"2021"
"23",2,"16400"
"23",3,"18421"
"23",9,""
"24",1,"4773"
"24",2,"21547"
"24",3,"26320"
"24",9,""
"25",1,"7141"
"25",2,"14349"
"25",3,"21490"
"25",9,""
"26",1,"9416"
"26",2,"27035"
"26",3,"36451"
"26",9,""
"27",1,"14233"
"27",2,"45201"
"27",3,"59434"
"27",9,""
"28",1,"11532"
"28",2,"34300"
"28",3,"45832"
"28",9,""
"29",1,"3139"
"29",2,"3411"
"29",3,"6550"
"29",9,""
"30",1,"8780"
"30",2,"44989"
"30",3,"53769"
"30",9,""
"31",1,"NA"
"31",2,"34288"
"31",3,"34288"
"31",9,""
"32",1,"449"
"32",2,"16662"
"32",3,"17111"
"32",9,""
