entidad,averpend,totalca1
"01",1,"4416"
"01",2,"0"
"01",3,"0"
"01",9,""
"02",1,"18541"
"02",2,"1566"
"02",3,"0"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",9,""
"04",1,"130"
"04",2,"70"
"04",3,"5"
"04",9,""
"05",1,"36190"
"05",2,"0"
"05",3,"0"
"05",9,""
"06",1,"5"
"06",2,"1192"
"06",3,"1024"
"06",9,""
"07",1,"198"
"07",2,"369"
"07",3,"0"
"07",9,""
"08",1,"NA"
"08",2,"NA"
"08",3,"NA"
"08",9,""
"09",1,"12523"
"09",2,"0"
"09",3,"0"
"09",9,""
"10",1,"270"
"10",2,"0"
"10",3,"0"
"10",9,""
"11",1,"687"
"11",2,"5160"
"11",3,"0"
"11",9,""
"12",1,"6853"
"12",2,"238"
"12",3,"0"
"12",9,""
"13",1,"50065"
"13",2,"0"
"13",3,"0"
"13",9,""
"14",1,"25055"
"14",2,"3938"
"14",3,"0"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"7627"
"17",2,"0"
"17",3,"454"
"17",9,""
"18",1,"108"
"18",2,"0"
"18",3,"0"
"18",9,""
"19",1,"77"
"19",2,"0"
"19",3,"4"
"19",9,""
"20",1,"9377"
"20",2,"1871"
"20",3,"0"
"20",9,""
"21",1,"NSS"
"21",2,"7429"
"21",3,"NSS"
"21",9,""
"22",1,"3113"
"22",2,"6863"
"22",3,"0"
"22",9,""
"23",1,"1674"
"23",2,"85"
"23",3,"0"
"23",9,""
"24",1,"1492"
"24",2,"56"
"24",3,"0"
"24",9,""
"25",1,"3672"
"25",2,"0"
"25",3,"0"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"13697"
"27",2,"0"
"27",3,"0"
"27",9,""
"28",1,"4363"
"28",2,"4042"
"28",3,"236"
"28",9,""
"29",1,"1815"
"29",2,"0"
"29",3,"0"
"29",9,""
"30",1,"6672"
"30",2,"0"
"30",3,"0"
"30",9,""
"31",1,"0"
"31",2,"9688"
"31",3,"0"
"31",9,""
"32",1,"236"
"32",2,"0"
"32",3,"0"
"32",9,""
