entidad,tipacpen,totalca1
"01",1,"4416"
"01",2,"10949"
"01",3,"15365"
"01",9,""
"02",1,"20107"
"02",2,"53042"
"02",3,"73149"
"02",9,""
"03",1,"NSS"
"03",2,"11709"
"03",3,"11709"
"03",9,""
"04",1,"205"
"04",2,"652"
"04",3,"857"
"04",9,""
"05",1,"36190"
"05",2,"29370"
"05",3,"65560"
"05",9,""
"06",1,"2221"
"06",2,"6632"
"06",3,"8853"
"06",9,""
"07",1,"567"
"07",2,"17272"
"07",3,"17839"
"07",9,""
"08",1,"NA"
"08",2,"46745"
"08",3,"46745"
"08",9,""
"09",1,"12523"
"09",2,"49073"
"09",3,"61596"
"09",9,""
"10",1,"270"
"10",2,"23589"
"10",3,"23859"
"10",9,""
"11",1,"5847"
"11",2,"47421"
"11",3,"53268"
"11",9,""
"12",1,"7091"
"12",2,"13539"
"12",3,"20630"
"12",9,""
"13",1,"50065"
"13",2,"21853"
"13",3,"71918"
"13",9,""
"14",1,"28993"
"14",2,"40488"
"14",3,"69481"
"14",9,""
"15",1,"NA"
"15",2,"75961"
"15",3,"75961"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"8081"
"17",2,"36785"
"17",3,"44866"
"17",9,""
"18",1,"108"
"18",2,"654"
"18",3,"762"
"18",9,""
"19",1,"81"
"19",2,"34708"
"19",3,"34789"
"19",9,""
"20",1,"11248"
"20",2,"5439"
"20",3,"16687"
"20",9,""
"21",1,"7429"
"21",2,"NSS"
"21",3,"7429"
"21",9,""
"22",1,"9976"
"22",2,"17550"
"22",3,"27526"
"22",9,""
"23",1,"1759"
"23",2,"11309"
"23",3,"13068"
"23",9,""
"24",1,"1548"
"24",2,"20702"
"24",3,"22250"
"24",9,""
"25",1,"3672"
"25",2,"8805"
"25",3,"12477"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"13697"
"27",2,"27683"
"27",3,"41380"
"27",9,""
"28",1,"8641"
"28",2,"19594"
"28",3,"28235"
"28",9,""
"29",1,"1815"
"29",2,"2897"
"29",3,"4712"
"29",9,""
"30",1,"6672"
"30",2,"32777"
"30",3,"39449"
"30",9,""
"31",1,"9688"
"31",2,"30722"
"31",3,"40410"
"31",9,""
"32",1,"236"
"32",2,"11861"
"32",3,"12097"
"32",9,""
