entidad,probresp,aveinvtt,aveinv1,aveinv2
"01",1,"33","21","12"
"01",2,"235","71","164"
"01",3,"0","0","0"
"01",9,"","",""
"02",1,"1065","528","537"
"02",2,"33","3","30"
"02",3,"0","0","0"
"02",9,"","",""
"03",1,"150","142","8"
"03",2,"52","52","0"
"03",3,"0","0","0"
"03",9,"","",""
"04",1,"135","0","135"
"04",2,"0","0","0"
"04",3,"0","0","0"
"04",9,"","",""
"05",1,"1066","143","923"
"05",2,"0","0","0"
"05",3,"0","0","0"
"05",9,"","",""
"07",1,"171","87","84"
"07",2,"73","55","18"
"07",3,"0","0","0"
"07",9,"","",""
"08",1,"1739","0","1739"
"08",2,"35","0","35"
"08",3,"0","0","0"
"08",9,"","",""
"09",1,"11443","3589","7854"
"09",2,"1051","378","673"
"09",3,"0","0","0"
"09",9,"","",""
"10",1,"741","0","741"
"10",2,"62","0","62"
"10",3,"0","0","0"
"10",9,"","",""
"11",1,"929","525","404"
"11",2,"2076","1059","1017"
"11",3,"0","0","0"
"11",9,"","",""
"12",1,"307","0","307"
"12",2,"11","0","11"
"12",3,"0","0","0"
"12",9,"","",""
"13",1,"672","536","136"
"13",2,"0","0","0"
"13",3,"0","0","0"
"13",9,"","",""
"14",1,"1061","553","508"
"14",2,"75","34","41"
"14",3,"0","0","0"
"14",9,"","",""
"15",1,"1305","782","523"
"15",2,"1389","695","694"
"15",3,"0","0","0"
"15",9,"","",""
"16",1,"0","0","0"
"16",2,"0","0","0"
"16",3,"202","34","168"
"16",9,"","",""
"17",1,"343","3","340"
"17",2,"9","0","9"
"17",3,"0","0","0"
"17",9,"","",""
"18",1,"117","95","22"
"18",2,"113","113","0"
"18",3,"0","0","0"
"18",9,"","",""
"19",1,"3217","0","3217"
"19",2,"66","0","66"
"19",3,"0","0","0"
"19",9,"","",""
"20",1,"87","0","87"
"20",2,"262","0","262"
"20",3,"0","0","0"
"20",9,"","",""
"21",1,"151","76","75"
"21",2,"421","245","176"
"21",3,"0","0","0"
"21",9,"","",""
"22",1,"158","0","158"
"22",2,"642","0","642"
"22",3,"0","0","0"
"22",9,"","",""
"23",1,"295","90","205"
"23",2,"120","56","64"
"23",3,"0","0","0"
"23",9,"","",""
"24",1,"95","66","29"
"24",2,"0","0","0"
"24",3,"0","0","0"
"24",9,"","",""
"25",1,"100","0","100"
"25",2,"361","0","361"
"25",3,"0","0","0"
"25",9,"","",""
"26",1,"1016","674","342"
"26",2,"32","9","23"
"26",3,"0","0","0"
"26",9,"","",""
"27",1,"414","0","414"
"27",2,"13","0","13"
"27",3,"0","0","0"
"27",9,"","",""
"28",1,"868","632","236"
"28",2,"47","25","22"
"28",3,"0","0","0"
"28",9,"","",""
"29",1,"62","47","15"
"29",2,"0","0","0"
"29",3,"0","0","0"
"29",9,"","",""
"30",1,"NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS"
"30",9,"125","3","122"
"31",1,"596","0","596"
"31",2,"0","0","0"
"31",3,"0","0","0"
"31",9,"","",""
"32",1,"305","0","305"
"32",2,"10","0","10"
"32",3,"0","0","0"
"32",9,"","",""
