entidad,sisteden,totalca1
"01",1,"84"
"01",2,"176"
"01",3,"260"
"01",9,""
"02",1,"531"
"02",2,"475"
"02",3,"1006"
"02",9,""
"03",1,"138"
"03",2,"6"
"03",3,"144"
"03",9,""
"04",1,"0"
"04",2,"35"
"04",3,"35"
"04",9,""
"05",1,"710"
"05",2,"852"
"05",3,"1562"
"05",9,""
"07",1,"23"
"07",2,"91"
"07",3,"114"
"07",9,""
"08",1,"0"
"08",2,"832"
"08",3,"832"
"08",9,""
"09",1,"561"
"09",2,"4083"
"09",3,"4644"
"09",9,""
"10",1,"0"
"10",2,"161"
"10",3,"161"
"10",9,""
"11",1,"80"
"11",2,"171"
"11",3,"251"
"11",9,""
"12",1,"0"
"12",2,"138"
"12",3,"138"
"12",9,""
"13",1,"335"
"13",2,"136"
"13",3,"471"
"13",9,""
"14",1,"324"
"14",2,"520"
"14",3,"844"
"14",9,""
"15",1,"812"
"15",2,"618"
"15",3,"1430"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"3"
"17",2,"200"
"17",3,"203"
"17",9,""
"18",1,"47"
"18",2,"4"
"18",3,"51"
"18",9,""
"19",1,"0"
"19",2,"1065"
"19",3,"1065"
"19",9,""
"20",1,"0"
"20",2,"225"
"20",3,"225"
"20",9,""
"21",1,"156"
"21",2,"193"
"21",3,"349"
"21",9,""
"22",1,"0"
"22",2,"65"
"22",3,"65"
"22",9,""
"23",1,"132"
"23",2,"207"
"23",3,"339"
"23",9,""
"24",1,"68"
"24",2,"29"
"24",3,"97"
"24",9,""
"25",1,"0"
"25",2,"1370"
"25",3,"1370"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"0"
"27",2,"339"
"27",3,"339"
"27",9,""
"28",1,"432"
"28",2,"111"
"28",3,"543"
"28",9,""
"29",1,"19"
"29",2,"15"
"29",3,"34"
"29",9,""
"30",1,"3"
"30",2,"68"
"30",3,"71"
"30",9,""
"31",1,"0"
"31",2,"84"
"31",3,"84"
"31",9,""
"32",1,"0"
"32",2,"211"
"32",3,"211"
"32",9,""
