entidad,averinve,totalca1
"01",1,"92"
"01",2,"176"
"02",1,"531"
"02",2,"567"
"03",1,"194"
"03",2,"8"
"04",1,"0"
"04",2,"135"
"05",1,"143"
"05",2,"923"
"07",1,"142"
"07",2,"102"
"08",1,"0"
"08",2,"1774"
"09",1,"3967"
"09",2,"8527"
"10",1,"0"
"10",2,"803"
"11",1,"1584"
"11",2,"1421"
"12",1,"0"
"12",2,"318"
"13",1,"536"
"13",2,"136"
"14",1,"587"
"14",2,"549"
"15",1,"1477"
"15",2,"1217"
"16",1,"34"
"16",2,"168"
"17",1,"3"
"17",2,"349"
"18",1,"208"
"18",2,"22"
"19",1,"0"
"19",2,"3283"
"20",1,"0"
"20",2,"349"
"21",1,"321"
"21",2,"251"
"22",1,"0"
"22",2,"800"
"23",1,"146"
"23",2,"269"
"24",1,"66"
"24",2,"29"
"25",1,"0"
"25",2,"461"
"26",1,"683"
"26",2,"365"
"27",1,"0"
"27",2,"427"
"28",1,"657"
"28",2,"258"
"29",1,"47"
"29",2,"15"
"30",1,"3"
"30",2,"122"
"31",1,"0"
"31",2,"596"
"32",1,"0"
"32",2,"315"
