entidad,ticiertt,ticier1,ticier2,ticier3,ticier4,ticierne
"01","0","0","0","0","0",""
"02","74","0","0","28","46",""
"03","2","1","0","1","0",""
"04","59","32","0","27","0",""
"05","71","29","40","2","0",""
"07","7","2","1","1","3",""
"08","1509","44","437","173","855",""
"09","118","45","55","18","0",""
"10","672","161","23","100","388",""
"11","699","49","4","620","26",""
"12","86","36","0","44","6",""
"13","0","0","0","0","0",""
"14","16","0","2","13","1",""
"15","327","100","0","227","0",""
"16","NSS","NSS","NSS","NSS","NSS",""
"17","105","38","4","63","0",""
"18","18","0","0","18","0",""
"19","1078","1016","32","30","0",""
"20","13","6","2","5","0",""
"21","11","11","0","0","0",""
"22","94","16","7","59","12",""
"23","45","5","4","30","6",""
"24","4","NSS","NSS","NSS","NSS","4"
"25","577","147","261","73","96",""
"26","NSS","NSS","NSS","NSS","NSS",""
"27","77","77","0","0","0",""
"28","83","9","0","7","67",""
"29","0","0","0","0","0",""
"30","NSS","NSS","NSS","NSS","NSS",""
"31","48","13","8","27","0",""
"32","15","1","1","10","3",""
