entidad,conducan,avindett,avinde1,avinde2
"01",1,"8","8","0"
"01",2,"0","0","0"
"01",3,"0","0","0"
"02",1,"561","0","561"
"02",2,"6","0","6"
"02",3,"0","0","0"
"03",1,"220","218","2"
"03",2,"0","0","0"
"03",3,"0","0","0"
"04",1,"127","0","127"
"04",2,"8","0","8"
"04",3,"0","0","0"
"05",1,"175","105","70"
"05",2,"2","1","1"
"05",3,"0","0","0"
"07",1,"141","129","12"
"07",2,"4","4","0"
"07",3,"0","0","0"
"08",1,"1977","0","1977"
"08",2,"8","0","8"
"08",3,"25","0","25"
"09",1,"7828","3398","4430"
"09",2,"22","8","14"
"09",3,"0","0","0"
"10",1,"803","0","803"
"10",2,"0","0","0"
"10",3,"0","0","0"
"11",1,"3210","1843","1367"
"11",2,"21","10","11"
"11",3,"0","0","0"
"12",1,"232","0","232"
"12",2,"0","0","0"
"12",3,"3","0","3"
"13",1,"341","341","0"
"13",2,"0","0","0"
"13",3,"0","0","0"
"14",1,"805","764","41"
"14",2,"28","26","2"
"14",3,"0","0","0"
"15",1,"654","327","327"
"15",2,"0","0","0"
"15",3,"0","0","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"17",1,"175","0","175"
"17",2,"2","0","2"
"17",3,"0","0","0"
"18",1,"524","503","21"
"18",2,"4","3","1"
"18",3,"0","0","0"
"19",1,"2253","0","2253"
"19",2,"0","0","0"
"19",3,"0","0","0"
"20",1,"134","0","134"
"20",2,"0","0","0"
"20",3,"18","0","18"
"21",1,"340","287","53"
"21",2,"5","5","0"
"21",3,"135","135","0"
"22",1,"719","0","719"
"22",2,"16","0","16"
"22",3,"0","0","0"
"23",1,"107","37","70"
"23",2,"1","1","0"
"23",3,"0","0","0"
"24",1,"NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS"
"24",3,"0","0","0"
"25",1,"571","0","571"
"25",2,"9","0","9"
"25",3,"16","0","16"
"26",1,"NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS"
"27",1,"88","0","88"
"27",2,"0","0","0"
"27",3,"0","0","0"
"28",1,"368","224","144"
"28",2,"4","1","3"
"28",3,"0","0","0"
"29",1,"28","28","0"
"29",2,"0","0","0"
"29",3,"0","0","0"
"30",1,"53","0","53"
"30",2,"1","0","1"
"30",3,"4","0","4"
"31",1,"424","0","424"
"31",2,"4","0","4"
"31",3,"84","0","84"
"32",1,"88","0","88"
"32",2,"1","0","1"
"32",3,"0","0","0"
