entidad,caldeten,detenctt,detenc1,detenc2,detenc3,detenc4,detenc5,detenc6,detencne
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"01",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"01",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",3,"3501","0","0","0","0","3287","214",""
"03",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"03",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"03",3,"217","185","16","8","NSS","8","NSS",""
"04",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",3,"29","25","2","0","0","2","0",""
"05",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"05",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"05",3,"958","862","59","7","0","28","2",""
"06",1,"0","0","0","0","0","0","0",""
"06",2,"0","0","0","0","0","0","0",""
"06",3,"0","0","0","0","0","0","0",""
"07",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",3,"451","388","14","13","0","33","3",""
"08",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"08",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"08",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"09",1,"3902","NSS","NSS","NSS","NSS","NSS","NSS","3902"
"09",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"09",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"10",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"10",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"10",3,"2653","2176","210","32","5","206","24",""
"12",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"12",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"12",3,"143","116","11","6","0","10","0",""
"13",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"13",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"13",3,"694","267","25","18","3","343","38",""
