entidad,ti_solic,medcautt,medcau1,medcau2,medcau3,medcau4,medcau5,medcau6,medcaune
"01",1,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",2,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",3,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",4,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",9,"540","243","81","","60","27","129",""
"02",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",9,"","","","","","","",""
"03",1,"629","128","11","0","146","29","315",""
"03",2,"0","0","0","0","0","0","0",""
"03",3,"2","0","1","0","0","0","1",""
"03",4,"378","83","6","0","91","1","197",""
"03",9,"","","","","","","",""
"04",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",9,"421","112","36","","","","273",""
"05",1,"1297","592","15","0","21","1","668",""
"05",2,"0","0","0","0","0","0","0",""
"05",3,"0","0","0","0","0","0","0",""
"05",4,"0","0","0","0","0","0","0",""
"05",9,"","","","","","","",""
"06",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",9,"","","","","","","",""
"07",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",9,"","","","","","","",""
"08",1,"2388","822","186","3","116","53","1208",""
"08",2,"0","0","0","0","0","0","0",""
"08",3,"0","0","0","0","0","0","0",""
"08",4,"0","0","0","0","0","0","0",""
"08",9,"","","","","","","",""
"09",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"09",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"09",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"09",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
