entidad,medidaca,sexoidtt,sexoid1,sexoid2,sexoid3
"01",1,"NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS"
"01",9,"","","",""
"02",1,"NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS"
"02",3,"NSS","NSS","NSS","NSS"
"02",4,"NSS","NSS","NSS","NSS"
"02",5,"NSS","NSS","NSS","NSS"
"02",6,"NSS","NSS","NSS","NSS"
"02",9,"","","",""
"03",1,"92","87","5","0"
"03",2,"7","6","1","0"
"03",3,"0","0","0","0"
"03",4,"147","129","18","0"
"03",5,"18","14","4","0"
"03",6,"382","348","34","0"
"03",9,"","","",""
"04",1,"NSS","NSS","NSS","NSS"
"04",2,"NSS","NSS","NSS","NSS"
"04",3,"NSS","NSS","NSS","NSS"
"04",4,"NSS","NSS","NSS","NSS"
"04",5,"NSS","NSS","NSS","NSS"
"04",6,"NSS","NSS","NSS","NSS"
"04",9,"","","",""
"05",1,"447","420","27","0"
"05",2,"6","6","0","0"
"05",3,"0","0","0","0"
"05",4,"18","16","2","0"
"05",5,"1","1","0","0"
"05",6,"595","526","69","0"
"05",9,"","","",""
"06",1,"NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS"
"06",9,"","","",""
"07",1,"NSS","NSS","NSS","NSS"
"07",2,"NSS","NSS","NSS","NSS"
"07",3,"NSS","NSS","NSS","NSS"
"07",4,"NSS","NSS","NSS","NSS"
"07",5,"NSS","NSS","NSS","NSS"
"07",6,"NSS","NSS","NSS","NSS"
"07",9,"","","",""
"08",1,"933","876","57","NSS"
"08",2,"194","181","13","NSS"
"08",3,"3","3","0","NSS"
"08",4,"140","129","11","NSS"
"08",5,"54","51","3","NSS"
"08",6,"1249","1169","80","NSS"
"08",9,"","","",""
"09",1,"NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS"
"09",9,"4344","","","4344"
"10",1,"1539","NSS","NSS","1539"
"10",2,"1290","NSS","NSS","1290"
"10",3,"0","0","0","0"
"10",4,"539","NSS","NSS","539"
"10",5,"0","0","0","0"
"10",6,"310","NSS","NSS","310"
"10",9,"","","",""
"12",1,"27","25","2","0"
"12",2,"4","3","1","0"
"12",3,"0","0","0","0"
"12",4,"15","13","2","0"
"12",5,"0","0","0","0"
"12",6,"33","28","5","0"
"12",9,"","","",""
"13",1,"391","360","29","2"
"13",2,"67","56","11","0"
"13",3,"0","0","0","0"
"13",4,"86","76","10","0"
"13",5,"6","6","0","0"
"13",6,"540","450","81","9"
"13",9,"","","",""
"14",1,"NSS","NSS","NSS","NSS"
"14",2,"NSS","NSS","NSS","NSS"
"14",3,"NSS","NSS","NSS","NSS"
"14",4,"NSS","NSS","NSS","NSS"
"14",5,"NSS","NSS","NSS","NSS"
"14",6,"NSS","NSS","NSS","NSS"
"14",9,"","","",""
"15",1,"NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS"
"15",3,"NSS","NSS","NSS","NSS"
"15",4,"NSS","NSS","NSS","NSS"
