entidad,modalcur,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12,no_reali
"01",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",3,"420","16","52","8","7","10","12","25","2","38","250","0","0",""
"01",4,"117","17","57","7","14","9","13","0","0","0","0","0","0",""
"01",5,"388","17","57","4","6","11","10","17","0","35","231","0","0",""
"01",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",3,"17","0","1","0","0","3","4","2","3","1","3","0","0",""
"02",4,"1678","138","310","72","151","33","106","6","8","340","514","0","0",""
"02",5,"28","1","6","0","3","0","0","1","1","6","10","0","0",""
"02",6,"1118","78","208","62","129","34","79","11","24","167","326","0","0",""
"03",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"03",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"03",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"03",4,"320","21","44","9","14","49","111","14","20","17","21","NSS","NSS",""
"03",5,"77","2","2","20","21","8","10","0","0","5","9","NSS","NSS",""
"03",6,"477","10","43","7","19","89","255","8","6","17","23","NSS","NSS",""
"04",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"04",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"04",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"04",4,"502","16","45","28","49","3","10","62","182","70","37","0","0",""
"04",5,"62","4","21","0","3","4","6","14","10","0","0","0","0",""
"04",6,"420","9","44","9","21","5","37","71","132","67","25","0","0",""
"05",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"05",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"05",3,"37","15","14","2","6","0","0","0","0","0","0","0","0",""
"05",4,"599","0","0","54","80","39","54","46","76","27","154","31","38",""
