entidad,cautrast,totalca1
"01",1,"319"
"01",2,"344"
"01",3,"205"
"01",4,"453"
"01",9,""
"02",1,"928"
"02",2,"4653"
"02",3,"459"
"02",4,"2567"
"02",9,""
"03",1,"0"
"03",2,"1928"
"03",3,"0"
"03",4,"0"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",4,"NSS"
"04",9,"2626"
"05",1,"84"
"05",2,"53"
"05",3,"12"
"05",4,"44"
"05",9,""
"06",1,"51"
"06",2,"5"
"06",3,"20"
"06",4,"91"
"06",9,""
"07",1,"832"
"07",2,"29"
"07",3,"971"
"07",4,"606"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",4,"NSS"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",4,"NSS"
"09",9,"12996"
"10",1,"151"
"10",2,"1"
"10",3,"154"
"10",4,"44"
"10",9,""
"12",1,"1044"
"12",2,"34"
"12",3,"1161"
"12",4,"229"
"12",9,""
"13",1,"641"
"13",2,"31"
"13",3,"49"
"13",4,"1247"
"13",9,""
"14",1,"1729"
"14",2,"502"
"14",3,"3569"
"14",4,"950"
"14",9,""
"15",1,"NSS"
"15",2,"NSS"
"15",3,"NSS"
"15",4,"NSS"
"15",9,""
"16",1,"247"
"16",2,"1010"
"16",3,"4363"
"16",4,"35"
"16",9,""
"17",1,"0"
"17",2,"0"
"17",3,"0"
"17",4,"0"
"17",9,""
"18",1,"557"
"18",2,"255"
"18",3,"757"
"18",4,"423"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"1584"
"19",4,"0"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"20057"
"20",4,"0"
"20",9,""
"21",1,"414"
"21",2,"101"
"21",3,"911"
"21",4,"289"
"21",9,""
"22",1,"148"
"22",2,"16"
"22",3,"175"
"22",4,"67"
"22",9,""
"23",1,"118"
"23",2,"4"
"23",3,"202"
"23",4,"168"
"23",9,""
"24",1,"449"
"24",2,"144"
"24",3,"0"
"24",4,"117"
"24",9,""
"25",1,"0"
"25",2,"0"
"25",3,"0"
"25",4,"0"
"25",9,""
"26",1,"455"
"26",2,"340"
"26",3,"859"
"26",4,"0"
"26",9,""
"27",1,"NSS"
"27",2,"NSS"
"27",3,"NSS"
"27",4,"NSS"
"27",9,""
"28",1,"1268"
"28",2,"19"
"28",3,"2357"
"28",4,"39"
"28",9,""
"29",1,"700"
"29",2,"222"
"29",3,"421"
"29",4,"145"
"29",9,""
"30",1,"1175"
"30",2,"142"
"30",3,"1329"
"30",4,"296"
"30",9,""
"31",1,"100"
"31",2,"0"
"31",3,"59"
"31",4,"157"
"31",9,""
"32",1,"36"
"32",2,"0"
"32",3,"892"
"32",4,"79"
"32",9,""
