entidad,cautrasp,totalca1
"01",1,"0"
"01",2,"274"
"01",3,"0"
"01",9,""
"02",1,"2778"
"02",2,"2251"
"02",3,"3347"
"02",9,""
"03",1,"4"
"03",2,"130"
"03",3,"28"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",9,"230"
"05",1,"65"
"05",2,"496"
"05",3,"293"
"05",9,""
"06",1,"0"
"06",2,"0"
"06",3,"0"
"06",9,""
"07",1,"40"
"07",2,"503"
"07",3,"281"
"07",9,""
"08",1,"651"
"08",2,"0"
"08",3,"11475"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",9,"1817"
"10",1,"735"
"10",2,"1419"
"10",3,"1214"
"10",9,""
"12",1,"13"
"12",2,"33"
"12",3,"225"
"12",9,""
"13",1,"56"
"13",2,"24"
"13",3,"723"
"13",9,""
"14",1,"12"
"14",2,"240"
"14",3,"130"
"14",9,""
"15",1,"31"
"15",2,"0"
"15",3,"9302"
"15",9,""
"16",1,"151"
"16",2,"0"
"16",3,"2147"
"16",9,""
"17",1,"27"
"17",2,"4"
"17",3,"40"
"17",9,""
"18",1,"77"
"18",2,"127"
"18",3,"285"
"18",9,""
"19",1,"0"
"19",2,"5735"
"19",3,"0"
"19",9,""
"20",1,"370"
"20",2,"0"
"20",3,"346"
"20",9,""
"21",1,"30"
"21",2,"372"
"21",3,"1296"
"21",9,""
"22",1,"16"
"22",2,"405"
"22",3,"142"
"22",9,""
"23",1,"39"
"23",2,"51"
"23",3,"233"
"23",9,""
"24",1,"NSS"
"24",2,"NSS"
"24",3,"NSS"
"24",9,"199"
"25",1,"0"
"25",2,"0"
"25",3,"451"
"25",9,""
"26",1,"10"
"26",2,"101"
"26",3,"123"
"26",9,""
"27",1,"0"
"27",2,"0"
"27",3,"1849"
"27",9,""
"28",1,"0"
"28",2,"0"
"28",3,"777"
"28",9,""
"29",1,"21"
"29",2,"27"
"29",3,"40"
"29",9,""
"30",1,"60"
"30",2,"736"
"30",3,"315"
"30",9,""
"31",1,"32"
"31",2,"62"
"31",3,"316"
"31",9,""
"32",1,"49"
"32",2,"636"
"32",3,"567"
"32",9,""
