entidad,invedete,totalca1
"01",1,"0"
"01",2,"40"
"01",3,"0"
"01",4,"3906"
"01",5,"0"
"01",6,"1"
"01",7,"0"
"01",9,""
"02",1,"219"
"02",2,"4785"
"02",3,"16459"
"02",4,"10833"
"02",5,"5219"
"02",6,"304"
"02",7,"142"
"02",9,""
"03",1,"69"
"03",2,"4"
"03",3,"3338"
"03",4,"642"
"03",5,"0"
"03",6,"10"
"03",7,"18"
"03",9,""
"04",1,"NSS"
"04",2,"52"
"04",3,"NSS"
"04",4,"NSS"
"04",5,"NSS"
"04",6,"NSS"
"04",7,"NSS"
"04",9,"1198"
"05",1,"2917"
"05",2,"0"
"05",3,"10066"
"05",4,"10125"
"05",5,"0"
"05",6,"62"
"05",7,"3277"
"05",9,""
"06",1,"200"
"06",2,"559"
"06",3,"1687"
"06",4,"3006"
"06",5,"2801"
"06",6,"189"
"06",7,"0"
"06",9,""
"07",1,"42"
"07",2,"280"
"07",3,"0"
"07",4,"791"
"07",5,"1068"
"07",6,"44"
"07",7,"18"
"07",9,""
"08",1,"178"
"08",2,"102"
"08",3,"11594"
"08",4,"5328"
"08",5,"6007"
"08",6,"0"
"08",7,"0"
"08",9,""
"09",1,"197"
"09",2,"2561"
"09",3,"62846"
"09",4,"8104"
"09",5,"5634"
"09",6,"13548"
"09",7,"6158"
"09",9,""
"10",1,"0"
"10",2,"0"
"10",3,"8138"
"10",4,"1364"
"10",5,"3811"
"10",6,"66"
"10",7,"18434"
"10",9,""
"11",1,"107"
"11",2,"0"
"11",3,"40839"
"11",4,"35247"
"11",5,"2819"
"11",6,"452"
"11",7,"5250"
"11",9,""
"12",1,"418"
"12",2,"264"
"12",3,"565"
"12",4,"518"
"12",5,"122"
"12",6,"495"
"12",7,"172"
"12",9,""
"13",1,"77"
"13",2,"190"
"13",3,"2411"
"13",4,"3041"
"13",5,"326"
"13",6,"1272"
"13",7,"0"
"13",9,""
"14",1,"299"
"14",2,"5"
"14",3,"7149"
"14",4,"411"
"14",5,"1327"
"14",6,"42"
"14",7,"100"
"14",9,""
"15",1,"1157"
"15",2,"1482"
"15",3,"82544"
"15",4,"19416"
"15",5,"13792"
"15",6,"26417"
"15",7,"8954"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",5,"NSS"
"16",6,"NSS"
"16",7,"NSS"
"16",9,""
"17",1,"351"
"17",2,"141"
"17",3,"7951"
"17",4,"1525"
"17",5,"6544"
"17",6,"253"
"17",7,"31"
"17",9,""
"18",1,"0"
"18",2,"1"
"18",3,"89"
"18",4,"3"
"18",5,"1534"
"18",6,"0"
"18",7,"29"
"18",9,""
"19",1,"89"
"19",2,"0"
"19",3,"32094"
"19",4,"2218"
"19",5,"12907"
"19",6,"703"
"19",7,"0"
"19",9,""
"20",1,"989"
"20",2,"310"
"20",3,"5032"
"20",4,"505"
"20",5,"0"
"20",6,"344"
"20",7,"188"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",4,"NSS"
"21",5,"NSS"
"21",6,"NSS"
"21",7,"0"
"21",9,""
"22",1,"233"
"22",2,"420"
"22",3,"17037"
"22",4,"7918"
"22",5,"271"
"22",6,"1656"
"22",7,"2297"
"22",9,""
"23",1,"18"
"23",2,"22"
"23",3,"2575"
"23",4,"1446"
"23",5,"179"
"23",6,"20"
"23",7,"66"
"23",9,""
"24",1,"179"
"24",2,"86"
"24",3,"3764"
"24",4,"802"
"24",5,"144"
"24",6,"281"
"24",7,"104"
"24",9,""
"25",1,"1"
"25",2,"0"
"25",3,"2314"
"25",4,"1484"
"25",5,"927"
"25",6,"165"
"25",7,"31"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",5,"NSS"
"26",6,"NSS"
"26",7,"NSS"
"26",9,""
"27",1,"1730"
"27",2,"301"
"27",3,"8211"
"27",4,"1304"
"27",5,"5770"
"27",6,"193"
"27",7,"0"
"27",9,""
"28",1,"267"
"28",2,"0"
"28",3,"14558"
"28",4,"1580"
"28",5,"480"
"28",6,"647"
"28",7,"67"
"28",9,""
"29",1,"2"
"29",2,"0"
"29",3,"273"
"29",4,"0"
"29",5,"72"
"29",6,"0"
"29",7,"0"
"29",9,""
"30",1,"40"
"30",2,"4"
"30",3,"11164"
"30",4,"2168"
"30",5,"570"
"30",6,"731"
"30",7,"92"
"30",9,""
"31",1,"0"
"31",2,"61"
"31",3,"11471"
"31",4,"31"
"31",5,"895"
"31",6,"825"
"31",7,"3178"
"31",9,""
"32",1,"2978"
"32",2,"3"
"32",3,"0"
"32",4,"287"
"32",5,"8"
"32",6,"1247"
"32",7,"0"
"32",9,""
