entidad,avercarp,totalca1
"01",1,"0"
"01",2,"0"
"02",1,"NSS"
"02",2,"NSS"
"03",1,"NSS"
"03",2,"NSS"
"04",1,"NSS"
"04",2,"NSS"
"05",1,"0"
"05",2,"36"
"06",1,"0"
"06",2,"0"
"07",1,"0"
"07",2,"0"
"08",1,"NA"
"08",2,"NSS"
"09",1,"NSS"
"09",2,"NSS"
"10",1,"0"
"10",2,"150"
"11",1,"NSS"
"11",2,"NSS"
"12",1,"4"
"12",2,"115"
"13",1,"0"
"13",2,"49"
"14",1,"5"
"14",2,"2"
"15",1,"NA"
"15",2,"0"
"16",1,"NSS"
"16",2,"NSS"
"17",1,"0"
"17",2,"NSS"
"18",1,"549"
"18",2,"6"
"19",1,"3"
"19",2,"1675"
"20",1,"NSS"
"20",2,"NSS"
"21",1,"NSS"
"21",2,"NSS"
"22",1,"250"
"22",2,"242"
"23",1,"NSS"
"23",2,"NSS"
"24",1,"0"
"24",2,"4"
"25",1,"175"
"25",2,"6"
"26",1,"NSS"
"26",2,"NSS"
"27",1,"NSS"
"27",2,"56"
"28",1,"NSS"
"28",2,"217"
"29",1,"20"
"29",2,"0"
"30",1,"NSS"
"30",2,"NSS"
"31",1,"0"
"31",2,"NSS"
"32",1,"NSS"
"32",2,"0"
