entidad,rangotem,medcautt,medcau1,medcau2,medcau3,medcau4,medcau5,medcau6,medcaune
"01",1,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",2,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",3,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",4,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",5,"NSS","NSS","NSS","0","NSS","NSS","NSS",""
"01",9,"540","","","","","","","540"
"02",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02",9,"","","","","","","",""
"03",1,"51","2","0","0","10","1","38",""
"03",2,"162","19","1","0","34","12","96",""
"03",3,"181","15","2","0","41","5","118",""
"03",4,"252","56","4","0","62","0","130",""
"03",5,"0","0","0","0","0","0","0",""
"03",9,"363","119","11","","90","12","131",""
"04",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"04",9,"421","112","36","","","","273",""
"05",1,"25","7","2","0","1","0","15",""
"05",2,"104","19","3","0","0","0","82",""
"05",3,"158","53","1","0","1","0","103",""
"05",4,"761","351","0","0","16","1","393",""
"05",5,"19","17","0","0","0","0","2",""
"05",9,"230","145","9","","3","","73",""
"06",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"06",9,"","","","","","","",""
"07",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"07",9,"","","","","","","",""
