entidad,strspatt,strspa1,strspa2,strspa3
"01","498","416","79","3"
"02","4928","2735","2176","17"
"03","1393","1173","213","7"
"04","3129","3047","77","5"
"05","1137","371","749","17"
"06","66","66","0","0"
"07","2097","1752","281","64"
"08","12763","NSS","12326","437"
"09","10064","8517","1540","7"
"10","2132","383","1721","28"
"12","2303","2192","80","31"
"13","1946","1721","170","55"
"14","3817","3703","108","6"
"15","9050","1940","6018","1092"
"16","1659","1389","184","86"
"17","1218","0","996","222"
"18","1492","940","552","0"
"19","4996","3087","1889","20"
"20","1431","434","997","0"
"21","2351","2027","188","136"
"22","795","694","85","16"
"23","749","475","233","41"
"24","1061","895","166","0"
"25","5613","5344","260","9"
"26","4552","4114","433","5"
"27","1880","1798","55","27"
"28","1742","1742","0","0"
"29","1293","1196","97","0"
"30","1490","974","504","12"
"31","581","112","441","28"
"32","2682","1852","778","52"
