entidad,ticonsig,compettt,compet1,compet2,compet3,compet4,compet5
"01",1,"362","295","67","0","0","0"
"01",2,"944","730","214","0","0","0"
"01",3,"10","9","1","0","0","0"
"01",9,"","","","","",""
"02",1,"6176","6016","101","0","0","59"
"02",2,"3274","3171","97","0","0","6"
"02",3,"13","13","0","0","0","0"
"02",9,"","","","","",""
"03",1,"424","424","0","0","0","0"
"03",2,"1432","1432","0","0","0","0"
"03",3,"0","0","0","0","0","0"
"03",9,"","","","","",""
"04",1,"265","265","0","0","0","0"
"04",2,"792","792","0","0","0","0"
"04",3,"0","0","0","0","0","0"
"04",9,"","","","","",""
"05",1,"868","820","47","0","1","0"
"05",2,"802","742","60","0","0","0"
"05",3,"4","2","2","0","0","0"
"05",9,"","","","","",""
"06",1,"119","118","0","1","0","0"
"06",2,"218","213","0","0","0","5"
"06",3,"1","1","0","0","0","0"
"06",9,"","","","","",""
"07",1,"545","517","23","1","0","4"
"07",2,"1578","1484","9","5","0","80"
"07",3,"21","20","0","0","0","1"
"07",9,"","","","","",""
"08",1,"3510","3510","0","0","0","0"
"08",2,"5810","5810","0","0","0","0"
"08",3,"42","42","NSS","0","0","0"
"08",9,"","","","","",""
"09",1,"8220","7872","348","NSS","NSS","NSS"
"09",2,"3062","2809","253","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS","NSS"
"09",9,"","","","","",""
"10",1,"2211","2038","99","53","1","20"
"10",2,"1225","1158","60","3","0","4"
"10",3,"51","51","0","0","0","0"
"10",9,"","","","","",""
"12",1,"406","369","30","1","6","0"
"12",2,"2014","1920","52","21","0","21"
"12",3,"3","3","0","0","0","0"
"12",9,"","","","","",""
"13",1,"368","347","9","4","1","7"
"13",2,"2301","2205","73","0","5","18"
"13",3,"12","12","0","0","0","0"
"13",9,"","","","","",""
"14",1,"2333","2235","86","6","1","5"
"14",2,"3412","3253","99","1","1","58"
"14",3,"45","45","0","0","0","0"
"14",9,"","","","","",""
"15",1,"5785","5516","245","0","0","24"
"15",2,"4529","4302","182","0","0","45"
"15",3,"784","782","0","0","0","2"
"15",9,"","","","","",""
"16",1,"1003","380","6","0","0","617"
"16",2,"3751","1010","45","0","0","2696"
"16",3,"0","0","0","0","0","0"
"16",9,"","","","","",""
"17",1,"441","322","119","0","0","0"
"17",2,"484","431","47","1","3","2"
"17",3,"2","1","1","0","0","0"
"17",9,"","","","","",""
"18",1,"1010","943","62","2","0","3"
"18",2,"2478","2347","109","14","0","8"
"18",3,"2","2","0","0","0","0"
"18",9,"","","","","",""
"19",1,"3603","3471","132","0","0","0"
"19",2,"7219","6753","466","0","0","0"
"19",3,"1","0","1","0","0","0"
"19",9,"","","","","",""
"20",1,"1072","1072","NSS","0","NSS","NSS"
"20",2,"1112","1112","NSS","0","NSS","NSS"
"20",3,"8","8","0","0","0","0"
"20",9,"","","","","",""
"21",1,"1252","1223","19","2","1","7"
"21",2,"3729","3419","118","8","0","184"
"21",3,"4","4","0","0","0","0"
"21",9,"","","","","",""
"22",1,"404","403","0","0","0","1"
"22",2,"847","791","47","0","0","9"
"22",3,"1","1","0","0","0","0"
"22",9,"","","","","",""
"23",1,"359","350","9","0","0","0"
"23",2,"898","884","12","1","0","1"
"23",3,"0","0","0","0","0","0"
"23",9,"","","","","",""
"24",1,"605","600","5","0","0","0"
"24",2,"699","697","2","0","0","0"
"24",3,"97","97","NSS","0","0","0"
"24",9,"","","","","",""
"25",1,"19","19","0","0","0","0"
"25",2,"954","954","0","0","0","0"
"25",3,"0","0","0","0","0","0"
"25",9,"","","","","",""
"26",1,"2437","2316","121","0","0","0"
"26",2,"3427","3210","217","0","0","0"
"26",3,"3","3","0","0","0","0"
"26",9,"","","","","",""
"27",1,"630","629","0","1","0","0"
"27",2,"1911","1903","0","2","0","6"
"27",3,"1","0","0","0","0","1"
"27",9,"","","","","",""
"28",1,"640","637","3","0","0","0"
"28",2,"1513","1509","4","0","0","0"
"28",3,"13","13","0","0","0","0"
"28",9,"","","","","",""
"29",1,"168","145","22","0","1","0"
"29",2,"855","815","16","2","0","22"
"29",3,"2","2","0","0","0","0"
"29",9,"","","","","",""
"30",1,"418","369","47","0","0","2"
"30",2,"2717","2667","39","1","0","10"
"30",3,"10","10","0","0","0","0"
"30",9,"","","","","",""
"31",1,"394","372","22","0","0","0"
"31",2,"564","507","56","1","0","0"
"31",3,"0","0","0","0","0","0"
"31",9,"","","","","",""
"32",1,"263","234","28","0","1","0"
"32",2,"1874","1802","71","0","0","1"
"32",3,"0","0","0","0","0","0"
"32",9,"","","","","",""
