entidad,tip_caui,delregtt,delreg1,delreg2,delregne
"01",1,"1161","913","12","236"
"01",2,"NSS","NSS","NSS",""
"01",3,"3","3","0",""
"02",1,"4353","4074","27","252"
"02",2,"6979","704","239","6036"
"02",3,"36","6","NSS","30"
"03",1,"1714","169","1","1544"
"03",2,"427","384","4","39"
"03",3,"12","12","0",""
"04",1,"785","774","11",""
"04",2,"272","267","5",""
"04",3,"6","6","0",""
"05",1,"288","285","1","2"
"05",2,"1360","1232","20","108"
"05",3,"0","0","0",""
"06",1,"398","372","12","14"
"06",2,"0","0","0",""
"06",3,"0","0","0",""
"07",1,"1104","1016","19","69"
"07",2,"946","791","38","117"
"07",3,"132","122","8","2"
"08",1,"42","NSS","NSS","42"
"08",2,"9320","9048","272",""
"08",3,"675","610","65",""
"09",1,"8498","8272","226",""
"09",2,"6281","6196","85",""
"09",3,"48","47","1",""
"10",1,"74","60","2","12"
"10",2,"3678","3622","33","23"
"10",3,"23","23","0",""
"12",1,"2255","2129","18","108"
"12",2,"257","210","44","3"
"12",3,"30","30","0",""
"13",1,"1978","1949","29",""
"13",2,"934","888","29","17"
"13",3,"59","56","2","1"
"14",1,"5544","4083","125","1336"
"14",2,"452","294","32","126"
"14",3,"64","60","4",""
"15",1,"1551","NSS","NSS","1551"
"15",2,"11053","10334","132","587"
"15",3,"4108","4033","50","25"
"16",1,"312","128","NSS","184"
"16",2,"1358","1273","66","19"
"16",3,"107","98","8","1"
"17",1,"0","0","0",""
"17",2,"837","777","25","35"
"17",3,"59","56","2","1"
"18",1,"2182","2064","24","94"
"18",2,"1302","1217","21","64"
"18",3,"0","0","0",""
"19",1,"1715","1626","79","10"
"19",2,"10138","91","10047",""
"19",3,"78","1","77",""
"20",1,"1034","1019","15",""
"20",2,"NSS","NSS","NSS",""
"20",3,"1596","NSS","NSS","1596"
"21",1,"2125","2025","20","80"
"21",2,"2850","2378","29","443"
"21",3,"168","162","3","3"
"22",1,"710","629","19","62"
"22",2,"619","559","34","26"
"22",3,"17","16","1",""
"23",1,"713","451","6","256"
"23",2,"588","411","31","146"
"23",3,"37","34","NSS","3"
"24",1,"1394","1375","19",""
"24",2,"418","323","12","83"
"24",3,"0","0","0",""
"25",1,"NSS","NSS","NSS",""
"25",2,"1242","23","1219",""
"25",3,"49","2","47",""
"26",1,"5151","5024","112","15"
"26",2,"936","855","43","38"
"26",3,"5","5","0",""
"27",1,"972","710","51","211"
"27",2,"1537","1477","60",""
"27",3,"18","15","3",""
"28",1,"2539","1537","41","961"
"28",2,"975","652","87","236"
"28",3,"178","127","6","45"
"29",1,"837","801","11","25"
"29",2,"135","110","1","24"
"29",3,"0","0","0",""
"30",1,"2092","1869","38","185"
"30",2,"1294","1086","20","188"
"30",3,"21","21","0",""
"31",1,"385","367","2","16"
"31",2,"631","611","16","4"
"31",3,"44","43","1",""
"32",1,"1255","1141","19","95"
"32",2,"1431","1180","34","217"
"32",3,"13","13","0",""
