entidad,ticonsig,tisist1,tisist2
"01",1,"295","NSS"
"01",2,"730","NSS"
"01",3,"9","NSS"
"01",9,"",""
"02",1,"3060","2956"
"02",2,"1015","2156"
"02",3,"12","1"
"02",9,"",""
"03",1,"235","189"
"03",2,"1219","213"
"03",3,"0","0"
"03",9,"",""
"04",1,"167","98"
"04",2,"618","174"
"04",3,"0","0"
"04",9,"",""
"05",1,"75","745"
"05",2,"180","562"
"05",3,"0","2"
"05",9,"",""
"06",1,"118","0"
"06",2,"213","0"
"06",3,"1","0"
"06",9,"",""
"07",1,"168","349"
"07",2,"946","538"
"07",3,"18","2"
"07",9,"",""
"08",1,"NSS","3510"
"08",2,"NSS","5810"
"08",3,"42","0"
"08",9,"",""
"09",1,"3678","4194"
"09",2,"1880","929"
"09",3,"NSS","NSS"
"09",9,"",""
"10",1,"3","2035"
"10",2,"61","1097"
"10",3,"0","51"
"10",9,"",""
"12",1,"253","116"
"12",2,"1800","120"
"12",3,"3","0"
"12",9,"",""
"13",1,"103","244"
"13",2,"1698","507"
"13",3,"1","11"
"13",9,"",""
"14",1,"2038","197"
"14",2,"3007","246"
"14",3,"41","4"
"14",9,"",""
"15",1,"NSS","5516"
"15",2,"NSS","4302"
"15",3,"NSS","782"
"15",9,"",""
"16",1,"54","326"
"16",2,"184","826"
"16",3,"0","0"
"16",9,"",""
"17",1,"0","322"
"17",2,"0","431"
"17",3,"0","1"
"17",9,"",""
"18",1,"392","551"
"18",2,"1674","673"
"18",3,"0","2"
"18",9,"",""
"19",1,"941","2530"
"19",2,"347","6406"
"19",3,"0","0"
"19",9,"",""
"20",1,"211","861"
"20",2,"626","486"
"20",3,"8","0"
"20",9,"",""
"21",1,"726","497"
"21",2,"1270","2149"
"21",3,"1","3"
"21",9,"",""
"22",1,"231","172"
"22",2,"417","374"
"22",3,"0","1"
"22",9,"",""
"23",1,"202","148"
"23",2,"474","410"
"23",3,"0","0"
"23",9,"",""
"24",1,"600","NSS"
"24",2,"697","NSS"
"24",3,"97","NSS"
"24",9,"",""
"25",1,"NSS","19"
"25",2,"NSS","954"
"25",3,"0","0"
"25",9,"",""
"26",1,"1677","639"
"26",2,"2996","214"
"26",3,"0","3"
"26",9,"",""
"27",1,"249","380"
"27",2,"836","1067"
"27",3,"0","0"
"27",9,"",""
"28",1,"523","114"
"28",2,"946","563"
"28",3,"12","1"
"28",9,"",""
"29",1,"111","34"
"29",2,"697","118"
"29",3,"2","0"
"29",9,"",""
"30",1,"135","234"
"30",2,"1740","927"
"30",3,"5","5"
"30",9,"",""
"31",1,"0","372"
"31",2,"336","171"
"31",3,"0","0"
"31",9,"",""
"32",1,"0","234"
"32",2,"834","968"
"32",3,"0","0"
"32",9,"",""
