entidad,conclptt,conclp1,conclp2,conclp3,conclp4,conclp5,conclp6,conclp7,conclp8,conclp9,conclp10,conclpne
"01","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"02","2176","549","247","1014","0","0","188","109","69","0","0",""
"03","213","33","35","14","0","0","1","10","14","1","105",""
"04","77","13","0","39","0","0","4","6","0","0","15",""
"05","747","56","404","14","0","0","11","1","80","0","181",""
"06","0","0","0","0","0","0","0","0","0","0","0",""
"07","281","13","18","55","2","0","5","14","10","2","162",""
"08","12326","1619","2652","2057","42","0","1005","651","4300","0","0",""
"09","1540","112","1083","302","0","0","30","NSS","13","0","NSS",""
"10","1721","294","564","242","2","0","81","10","194","0","334",""
"12","80","9","12","13","0","0","4","18","1","2","21",""
"13","170","23","27","37","0","0","0","55","26","0","2",""
"14","108","6","17","18","2","0","0","1","9","0","55",""
"15","6018","51","42","1052","10","3","0","4166","374","15","305",""
"16","184","32","49","0","0","0","0","36","19","0","48",""
"17","975","76","127","52","1","0","34","68","234","0","383",""
"18","502","61","50","314","1","0","17","1","24","0","34",""
"19","1889","1","11","1","0","0","0","4","7","0","1865",""
"20","997","60","254","0","0","0","11","0","7","0","665",""
"21","188","34","35","9","2","0","15","3","11","1","78",""
"22","85","8","11","7","NSS","NSS","2","18","14","1","24",""
"23","213","40","23","50","0","0","37","29","16","3","15",""
"24","166","NSS","NSS","14","5","NSS","NSS","0","37","NSS","NSS","110"
"25","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"26","433","84","58","225","0","0","4","0","17","0","45",""
"27","55","24","29","0","0","0","0","1","1","0","0",""
"28","0","0","0","0","0","0","0","0","0","0","0",""
"29","97","18","11","0","0","0","0","1","2","0","65",""
"30","504","30","13","25","1","0","11","33","94","0","297",""
"31","441","70","35","148","0","0","8","32","111","0","37",""
"32","778","210","134","62","0","0","24","14","233","2","99",""
