entidad,conctett,concte1,concte2,concte3,concte4,concte5,conctene
"01","3","3","0","0","0","0",""
"02","17","13","1","0","3","0",""
"03","7","5","2","0","0","0",""
"04","5","4","1","0","0","0",""
"05","17","13","3","0","1","0",""
"06","0","0","0","0","0","0",""
"07","64","6","7","0","7","44",""
"08","437","230","117","15","57","18",""
"09","7","7","0","0","0","0",""
"10","28","20","7","0","0","1",""
"12","31","11","8","1","0","11",""
"13","55","17","11","0","0","27",""
"14","6","6","0","0","0","0",""
"15","1092","630","1","13","7","441",""
"16","87","46","41","0","0","0",""
"17","201","111","62","3","21","0","4"
"18","0","0","0","0","0","0",""
"19","20","3","0","0","2","15",""
"20","0","0","0","0","0","0",""
"21","136","2","0","0","4","130",""
"22","16","12","1","NSS","NSS","NSS","3"
"23","41","28","11","0","2","0",""
"24","0","0","0","0","0","0",""
"25","9","8","0","0","1","0",""
"26","5","3","0","0","0","2",""
"27","27","23","4","0","0","0",""
"28","0","0","0","0","0","0",""
"29","0","0","0","0","0","0",""
"30","12","10","1","0","0","1",""
"31","28","21","5","0","2","0",""
"32","52","42","10","0","0","0",""
