entidad,caustram,delregtt,delreg1,delreg2,delregne
"01",1,"1447","1133","12","302"
"01",2,"282","257","7","18"
"01",3,"3","3","0",""
"02",1,"9260","8607","94","559"
"02",2,"8376","559","199","7618"
"02",3,"11","NSS","NSS","11"
"03",1,"1993","156","4","1833"
"03",2,"174","136","1","37"
"03",3,"0","0","0",""
"04",1,"2626","303","6","2317"
"04",2,"230","9","NSS","221"
"04",3,"1","1","0",""
"05",1,"212","211","1",""
"05",2,"901","790","10","101"
"05",3,"5","5","0",""
"06",1,"196","188","3","5"
"06",2,"0","0","0",""
"06",3,"0","0","0",""
"07",1,"2741","2494","57","190"
"07",2,"861","692","30","139"
"07",3,"169","162","5","2"
"08",1,"NSS","NSS","NSS",""
"08",2,"12126","NSS","NSS","12126"
"08",3,"280","NSS","NSS","280"
"09",1,"17298","16738","560",""
"09",2,"NSS","NSS","NSS",""
"09",3,"41","40","1",""
"10",1,"404","356","8","40"
"10",2,"3800","3727","28","45"
"10",3,"18","18","0",""
"12",1,"2859","2686","82","91"
"12",2,"287","210","70","7"
"12",3,"9","9","0",""
"13",1,"2164","2118","43","3"
"13",2,"999","943","35","21"
"13",3,"5","4","NSS","1"
"14",1,"7303","5459","195","1649"
"14",2,"468","310","34","124"
"14",3,"48","45","3",""
"15",1,"NSS","NSS","NSS",""
"15",2,"9333","4086","65","5182"
"15",3,"4419","4006","43","370"
"16",1,"5655","1195","13","4447"
"16",2,"3066","2889","132","45"
"16",3,"180","171","8","1"
"17",1,"0","0","0",""
"17",2,"73","70","2","1"
"17",3,"9","9","0",""
"18",1,"2268","2170","16","82"
"18",2,"517","476","3","38"
"18",3,"0","0","0",""
"19",1,"1584","1","0","1583"
"19",2,"5735","41","4201","1493"
"19",3,"142","0","64","78"
"20",1,"20057","6808","27","13222"
"20",2,"716","716","0",""
"20",3,"0","0","0",""
"21",1,"1909","1753","24","132"
"21",2,"1863","1440","18","405"
"21",3,"3","3","0",""
"22",1,"437","405","7","25"
"22",2,"632","580","36","16"
"22",3,"1","1","0",""
"23",1,"558","351","2","205"
"23",2,"336","238","17","81"
"23",3,"3","3","0",""
"24",1,"710","697","13",""
"24",2,"225","172","5","48"
"24",3,"0","0","0",""
"25",1,"0","0","0",""
"25",2,"451","5","413","33"
"25",3,"18","NSS","2","16"
"26",1,"1996","1939","45","12"
"26",2,"290","252","12","26"
"26",3,"0","0","0",""
"27",1,"NSS","NSS","NSS",""
"27",2,"1849","1283","44","522"
"27",3,"NSS","NSS","NSS",""
"28",1,"3683","656","20","3007"
"28",2,"866","571","76","219"
"28",3,"168","117","6","45"
"29",1,"1648","1615","16","17"
"29",2,"100","84","NSS","16"
"29",3,"0","0","0",""
"30",1,"3368","3149","68","151"
"30",2,"1285","1045","30","210"
"30",3,"13","13","0",""
"31",1,"372","351","2","19"
"31",2,"470","454","13","3"
"31",3,"23","22","1",""
"32",1,"1936","1795","23","118"
"32",2,"1506","1248","39","219"
"32",3,"2","2","0",""
