entidad,conclttt,conclt1,conclt2,conclt3,conclt4,conclt5,conclt6,conclt7
"01","416","158","12","0","79","0","0","167"
"02","2735","2007","27","0","62","2","0","637"
"03","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"04","3047","658","103","11","321","299","0","1655"
"05","364","151","32","0","113","43","0","25"
"06","66","9","2","0","24","4","0","27"
"07","1752","220","86","1","132","0","0","1313"
"08","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09","10590","6965","540","0","1857","125","1","1102"
"10","383","248","45","5","18","2","0","65"
"12","2192","223","71","0","657","13","0","1228"
"13","1721","816","191","0","687","0","0","27"
"14","3703","1432","199","1","314","4","5","1748"
"15","1940","288","70","21","0","0","0","1561"
"16","1389","351","73","0","327","0","0","638"
"17","0","0","0","0","0","0","0","0"
"18","692","151","26","0","219","8","0","288"
"19","3087","544","130","0","82","0","0","2331"
"20","434","102","5","0","319","0","0","8"
"21","2027","630","48","0","45","10","4","1290"
"22","694","187","16","1","273","13","NSS","204"
"23","297","25","4","0","13","1","0","254"
"24","895","693","168","34","NSS","NSS","NSS","NSS"
"25","5344","1091","907","26","1082","0","0","2238"
"26","4114","1567","116","4","948","0","0","1479"
"27","1789","233","36","2","210","73","0","1235"
"28","1742","1288","354","0","97","0","0","3"
"29","1196","360","234","2","340","65","1","194"
"30","974","148","42","2","167","1","5","609"
"31","112","5","0","0","60","1","0","46"
"32","1852","438","18","0","51","0","0","1345"
