entidad,strspatt,strspa1,strspa2,strspa3
"01","1597","1321","274","2"
"02","16994","8607","8376","11"
"03","2090","1928","162","0"
"04","2857","2626","230","1"
"05","1050","193","854","3"
"06","167","167","0","0"
"07","3416","2438","824","154"
"08","12406","NSS","12126","280"
"09","14847","12996","1817","34"
"10","3735","350","3368","17"
"12","2748","2468","271","9"
"13","2776","1968","803","5"
"14","7173","6750","382","41"
"15","13752","NSS","9333","4419"
"16","8107","5655","2298","154"
"17","77","0","71","6"
"18","2481","1992","489","0"
"19","7461","1584","5735","142"
"20","20773","20057","716","0"
"21","3416","1715","1698","3"
"22","970","406","563","1"
"23","818","492","323","3"
"24","909","710","199","0"
"25","469","0","451","18"
"26","1888","1654","234","0"
"27","1849","NSS","1849","NSS"
"28","4598","3683","777","138"
"29","1576","1488","88","0"
"30","4066","2942","1111","13"
"31","745","316","410","19"
"32","2260","1007","1252","1"
