entidad,cau_tram,totalca1
"01",1,"1321"
"01",2,"274"
"01",3,"2"
"01",4,"1597"
"01",9,""
"02",1,"8607"
"02",2,"8376"
"02",3,"11"
"02",4,"16994"
"02",9,""
"03",1,"1928"
"03",2,"162"
"03",3,"0"
"03",4,"2090"
"03",9,""
"04",1,"2626"
"04",2,"230"
"04",3,"1"
"04",4,"2857"
"04",9,""
"05",1,"193"
"05",2,"854"
"05",3,"3"
"05",4,"1050"
"05",9,""
"06",1,"167"
"06",2,"0"
"06",3,"0"
"06",4,"167"
"06",9,""
"07",1,"2438"
"07",2,"824"
"07",3,"154"
"07",4,"3416"
"07",9,""
"08",1,"NSS"
"08",2,"12126"
"08",3,"280"
"08",4,"12406"
"08",9,""
"09",1,"12996"
"09",2,"1817"
"09",3,"34"
"09",4,"14847"
"09",9,""
"10",1,"350"
"10",2,"3368"
"10",3,"17"
"10",4,"3735"
"10",9,""
"12",1,"2468"
"12",2,"271"
"12",3,"9"
"12",4,"2748"
"12",9,""
"13",1,"1968"
"13",2,"803"
"13",3,"5"
"13",4,"2776"
"13",9,""
"14",1,"6750"
"14",2,"382"
"14",3,"41"
"14",4,"7173"
"14",9,""
"15",1,"NSS"
"15",2,"9333"
"15",3,"4419"
"15",4,"13752"
"15",9,""
"16",1,"5655"
"16",2,"2298"
"16",3,"154"
"16",4,"8107"
"16",9,""
"17",1,"0"
"17",2,"71"
"17",3,"6"
"17",4,"77"
"17",9,""
"18",1,"1992"
"18",2,"489"
"18",3,"0"
"18",4,"2481"
"18",9,""
"19",1,"1584"
"19",2,"5735"
"19",3,"142"
"19",4,"7461"
"19",9,""
"20",1,"20057"
"20",2,"716"
"20",3,"0"
"20",4,"20773"
"20",9,""
"21",1,"1715"
"21",2,"1698"
"21",3,"3"
"21",4,"3416"
"21",9,""
"22",1,"406"
"22",2,"563"
"22",3,"1"
"22",4,"970"
"22",9,""
"23",1,"492"
"23",2,"323"
"23",3,"3"
"23",4,"818"
"23",9,""
"24",1,"710"
"24",2,"199"
"24",3,"0"
"24",4,"909"
"24",9,""
"25",1,"0"
"25",2,"451"
"25",3,"18"
"25",4,"469"
"25",9,""
"26",1,"1654"
"26",2,"234"
"26",3,"0"
"26",4,"1888"
"26",9,""
"27",1,"NSS"
"27",2,"1849"
"27",3,"NSS"
"27",4,"1849"
"27",9,""
"28",1,"3683"
"28",2,"777"
"28",3,"138"
"28",4,"4598"
"28",9,""
"29",1,"1488"
"29",2,"88"
"29",3,"0"
"29",4,"1576"
"29",9,""
"30",1,"2942"
"30",2,"1111"
"30",3,"13"
"30",4,"4066"
"30",9,""
"31",1,"316"
"31",2,"410"
"31",3,"19"
"31",4,"745"
"31",9,""
"32",1,"1007"
"32",2,"1252"
"32",3,"1"
"32",4,"2268"
"32",9,"8"
