entidad,condcerr,totalca1
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",9,""
"02",1,"74"
"02",2,"0"
"02",3,"0"
"02",4,"74"
"02",9,""
"03",1,"2"
"03",2,"0"
"03",3,"0"
"03",4,"2"
"03",9,""
"04",1,"57"
"04",2,"1"
"04",3,"0"
"04",4,"58"
"04",9,""
"05",1,"70"
"05",2,"1"
"05",3,"0"
"05",4,"71"
"05",9,""
"07",1,"8"
"07",2,"0"
"07",3,"0"
"07",4,"8"
"07",9,""
"08",1,"1490"
"08",2,"13"
"08",3,"6"
"08",4,"1509"
"08",9,""
"09",1,"118"
"09",2,"0"
"09",3,"0"
"09",4,"118"
"09",9,""
"10",1,"672"
"10",2,"0"
"10",3,"0"
"10",4,"672"
"10",9,""
"11",1,"712"
"11",2,"9"
"11",3,"0"
"11",4,"721"
"11",9,""
"12",1,"105"
"12",2,"0"
"12",3,"0"
"12",4,"105"
"12",9,""
"13",1,"0"
"13",2,"0"
"13",3,"0"
"13",4,"0"
"13",9,""
"14",1,"26"
"14",2,"2"
"14",3,"0"
"14",4,"28"
"14",9,""
"15",1,"327"
"15",2,"0"
"15",3,"0"
"15",4,"327"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",9,""
"17",1,"103"
"17",2,"2"
"17",3,"0"
"17",4,"105"
"17",9,""
"18",1,"17"
"18",2,"1"
"18",3,"0"
"18",4,"18"
"18",9,""
"19",1,"1093"
"19",2,"0"
"19",3,"0"
"19",4,"1093"
"19",9,""
"20",1,"13"
"20",2,"0"
"20",3,"0"
"20",4,"13"
"20",9,""
"21",1,"8"
"21",2,"0"
"21",3,"0"
"21",4,"8"
"21",9,""
"22",1,"92"
"22",2,"2"
"22",3,"0"
"22",4,"94"
"22",9,""
"23",1,"45"
"23",2,"0"
"23",3,"0"
"23",4,"45"
"23",9,""
"24",1,"4"
"24",2,"0"
"24",3,"0"
"24",4,"4"
"24",9,""
"25",1,"527"
"25",2,"8"
"25",3,"16"
"25",4,"551"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",9,""
"27",1,"77"
"27",2,"0"
"27",3,"0"
"27",4,"77"
"27",9,""
"28",1,"81"
"28",2,"2"
"28",3,"0"
"28",4,"83"
"28",9,""
"29",1,"0"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"NSS"
"30",9,""
"31",1,"47"
"31",2,"1"
"31",3,"0"
"31",4,"48"
"31",9,""
"32",1,"15"
"32",2,"0"
"32",3,"0"
"32",4,"15"
"32",9,""
