entidad,condcerr,totalca1
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",9,""
"02",1,"0"
"02",2,"0"
"02",3,"0"
"02",4,"0"
"02",9,""
"03",1,"0"
"03",2,"0"
"03",3,"0"
"03",4,"0"
"03",9,""
"04",1,"1"
"04",2,"0"
"04",3,"0"
"04",4,"1"
"04",9,""
"05",1,"0"
"05",2,"0"
"05",3,"0"
"05",4,"0"
"05",9,""
"07",1,"0"
"07",2,"0"
"07",3,"0"
"07",4,"0"
"07",9,""
"08",1,"0"
"08",2,"0"
"08",3,"0"
"08",4,"0"
"08",9,""
"09",1,"0"
"09",2,"0"
"09",3,"0"
"09",4,"0"
"09",9,""
"10",1,"0"
"10",2,"0"
"10",3,"0"
"10",4,"0"
"10",9,""
"11",1,"0"
"11",2,"0"
"11",3,"0"
"11",4,"0"
"11",9,""
"12",1,"23"
"12",2,"0"
"12",3,"0"
"12",4,"23"
"12",9,""
"13",1,"0"
"13",2,"0"
"13",3,"0"
"13",4,"0"
"13",9,""
"14",1,"0"
"14",2,"0"
"14",3,"0"
"14",4,"0"
"14",9,""
"15",1,"0"
"15",2,"0"
"15",3,"0"
"15",4,"0"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",9,""
"17",1,"0"
"17",2,"0"
"17",3,"0"
"17",4,"0"
"17",9,""
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",4,"0"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",4,"0"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",9,""
"21",1,"3"
"21",2,"0"
"21",3,"0"
"21",4,"3"
"21",9,""
"22",1,"0"
"22",2,"0"
"22",3,"0"
"22",4,"0"
"22",9,""
"23",1,"0"
"23",2,"0"
"23",3,"0"
"23",4,"0"
"23",9,""
"24",1,"0"
"24",2,"0"
"24",3,"0"
"24",4,"0"
"24",9,""
"25",1,"25"
"25",2,"0"
"25",3,"1"
"25",4,"26"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",9,""
"27",1,"0"
"27",2,"0"
"27",3,"0"
"27",4,"0"
"27",9,""
"28",1,"0"
"28",2,"0"
"28",3,"0"
"28",4,"0"
"28",9,""
"29",1,"0"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",9,""
"30",1,"0"
"30",2,"0"
"30",3,"0"
"30",4,"0"
"30",9,""
"31",1,"0"
"31",2,"0"
"31",3,"0"
"31",4,"0"
"31",9,""
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",4,"0"
"32",9,""
