entidad,cantimpu,sexoidtt,sexoid1,sexoid2,sexoid3
"01",1,"85","70","15","0"
"01",2,"0","0","0","0"
"01",3,"0","0","0","0"
"01",4,"0","0","0","0"
"01",5,"0","0","0","0"
"01",6,"0","0","0","0"
"01",9,"","","",""
"02",1,"NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS"
"02",3,"NSS","NSS","NSS","NSS"
"02",4,"NSS","NSS","NSS","NSS"
"02",5,"NSS","NSS","NSS","NSS"
"02",6,"NSS","NSS","NSS","NSS"
"02",9,"","","",""
"03",1,"120","98","22","0"
"03",2,"165","153","12","0"
"03",3,"50","43","7","0"
"03",4,"10","9","1","0"
"03",5,"0","0","0","0"
"03",6,"0","0","0","0"
"03",9,"","","",""
"04",1,"192","159","6","27"
"04",2,"78","72","6","0"
"04",3,"35","32","3","0"
"04",4,"22","20","2","0"
"04",5,"10","10","0","0"
"04",6,"0","0","0","0"
"04",9,"","","",""
"05",1,"727","651","76","0"
"05",2,"0","0","0","0"
"05",3,"0","0","0","0"
"05",4,"0","0","0","0"
"05",5,"0","0","0","0"
"05",6,"0","0","0","0"
"05",9,"","","",""
"06",1,"307","278","29","0"
"06",2,"0","0","0","0"
"06",3,"0","0","0","0"
"06",4,"0","0","0","0"
"06",5,"0","0","0","0"
"06",6,"0","0","0","0"
"06",9,"","","",""
"07",1,"NSS","NSS","NSS","NSS"
"07",2,"NSS","NSS","NSS","NSS"
"07",3,"NSS","NSS","NSS","NSS"
"07",4,"NSS","NSS","NSS","NSS"
"07",5,"NSS","NSS","NSS","NSS"
"07",6,"NSS","NSS","NSS","NSS"
"07",9,"","","",""
"08",1,"NSS","NSS","NSS","NSS"
"08",2,"NSS","NSS","NSS","NSS"
"08",3,"NSS","NSS","NSS","NSS"
"08",4,"NSS","NSS","NSS","NSS"
"08",5,"NSS","NSS","NSS","NSS"
"08",6,"NSS","NSS","NSS","NSS"
"08",9,"","","",""
"09",1,"NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS"
