entidad,cond_ant,avsinstt,avsins1,avsins2,avsins4,avsins5
"21",20100,"0","0","0","0","0"
"21",20200,"0","0","0","0","0"
"21",20300,"0","0","0","0","0"
"21",20400,"0","0","0","0","0"
"21",20500,"0","0","0","0","0"
"21",20600,"1","0","0","1","0"
"21",20601,"1","0","0","1","0"
"21",20602,"0","0","0","0","0"
"21",20603,"0","0","0","0","0"
"21",20604,"0","0","0","0","0"
"21",20609,"0","0","0","0","0"
"21",20699,"","","","",""
"21",20900,"0","0","0","0","0"
"21",30100,"26","0","0","26","0"
"21",30200,"4","3","0","1","0"
"21",30300,"0","0","0","0","0"
"21",30400,"18","10","1","7","0"
"21",30500,"8","2","0","6","0"
"21",30600,"7","5","0","2","0"
"21",30700,"0","0","0","0","0"
"21",30900,"25","21","0","4","0"
"21",40100,"131","75","2","53","1"
"21",40101,"62","58","2","2","0"
"21",40102,"8","3","0","5","0"
"21",40103,"5","1","0","3","1"
"21",40104,"3","0","0","3","0"
"21",40105,"16","0","0","16","0"
"21",40106,"6","0","0","6","0"
"21",40107,"2","1","0","1","0"
"21",40108,"0","0","0","0","0"
"21",40109,"1","0","0","1","0"
"21",40110,"2","2","0","0","0"
"21",40111,"0","0","0","0","0"
"21",40112,"0","0","0","0","0"
"21",40113,"21","10","0","11","0"
"21",40114,"1","0","0","1","0"
"21",40115,"0","0","0","0","0"
"21",40116,"0","0","0","0","0"
"21",40119,"4","0","0","4","0"
"21",40199,"","","","",""
"21",40200,"0","0","0","0","0"
"21",40300,"1","0","0","1","0"
"21",40400,"0","0","0","0","0"
"21",40500,"1","0","0","1","0"
"21",40501,"1","0","0","1","0"
"21",40509,"0","0","0","0","0"
"21",40599,"","","","",""
"21",40600,"17","5","0","12","0"
"21",40700,"0","0","0","0","0"
"21",40900,"6","0","0","6","0"
"21",50100,"33","21","0","12","0"
"21",50200,"0","0","0","0","0"
"21",50900,"3","0","0","3","0"
"21",60100,"2","0","0","2","0"
"21",60101,"1","0","0","1","0"
"21",60102,"0","0","0","0","0"
"21",60103,"1","0","0","1","0"
"21",60104,"0","0","0","0","0"
"21",60105,"0","0","0","0","0"
"21",60106,"0","0","0","0","0"
"21",60109,"0","0","0","0","0"
"21",60199,"","","","",""
"21",60200,"1","0","0","1","0"
"21",60201,"1","0","0","1","0"
"21",60202,"0","0","0","0","0"
"21",60203,"0","0","0","0","0"
"21",60209,"0","0","0","0","0"
"21",60299,"","","","",""
"21",60300,"0","0","0","0","0"
"21",60400,"2","0","0","2","0"
"21",60900,"0","0","0","0","0"
"21",70100,"16","6","0","10","0"
"21",70101,"16","6","0","10","0"
"21",70102,"0","0","0","0","0"
"21",70103,"0","0","0","0","0"
