entidad,cond_ant,ubic_geo,totalca1
"03",80103,"03003","0"
"03",80103,"03008","0"
"03",80103,"03009","0"
"03",80104,"03000","0"
"03",80104,"03001","0"
"03",80104,"03002","0"
"03",80104,"03003","0"
"03",80104,"03008","0"
"03",80104,"03009","0"
"03",80105,"03000","0"
"03",80105,"03001","0"
"03",80105,"03002","0"
"03",80105,"03003","0"
"03",80105,"03008","0"
"03",80105,"03009","0"
"03",80106,"03000","0"
"03",80106,"03001","0"
"03",80106,"03002","0"
"03",80106,"03003","0"
"03",80106,"03008","0"
"03",80106,"03009","0"
"03",80107,"03000","0"
"03",80107,"03001","0"
"03",80107,"03002","0"
"03",80107,"03003","0"
"03",80107,"03008","0"
"03",80107,"03009","0"
"03",80109,"03000","0"
"03",80109,"03001","0"
"03",80109,"03002","0"
"03",80109,"03003","0"
"03",80109,"03008","0"
"03",80109,"03009","0"
"03",80199,"03000",""
"03",80199,"03001",""
"03",80199,"03002",""
"03",80199,"03003",""
"03",80199,"03008",""
"03",80199,"03009",""
"03",80200,"03000","0"
"03",80200,"03001","0"
"03",80200,"03002","0"
"03",80200,"03003","0"
"03",80200,"03008","0"
"03",80200,"03009","0"
"03",80201,"03000","0"
"03",80201,"03001","0"
"03",80201,"03002","0"
"03",80201,"03003","0"
"03",80201,"03008","0"
"03",80201,"03009","0"
"03",80209,"03000","0"
"03",80209,"03001","0"
"03",80209,"03002","0"
"03",80209,"03003","0"
"03",80209,"03008","0"
"03",80209,"03009","0"
"03",80299,"03000",""
"03",80299,"03001",""
"03",80299,"03002",""
"03",80299,"03003",""
"03",80299,"03008",""
"03",80299,"03009",""
"03",80300,"03000","0"
"03",80300,"03001","0"
"03",80300,"03002","0"
"03",80300,"03003","0"
"03",80300,"03008","0"
"03",80300,"03009","0"
"03",80400,"03000","0"
"03",80400,"03001","0"
"03",80400,"03002","0"
"03",80400,"03003","0"
"03",80400,"03008","0"
"03",80400,"03009","0"
"03",80900,"03000","0"
"03",80900,"03001","0"
"03",80900,"03002","0"
"03",80900,"03003","0"
"03",80900,"03008","0"
"03",80900,"03009","0"
"03",90100,"03000","0"
"03",90100,"03001","0"
"03",90100,"03002","0"
"03",90100,"03003","6"
"03",90100,"03008","8"
"03",90100,"03009","0"
"03",90200,"03000","0"
"03",90200,"03001","0"
"03",90200,"03002","0"
"03",90200,"03003","1"
"03",90200,"03008","0"
"03",90200,"03009","0"
