entidad,fun_comi,totalca1,no_aplic
"01",1,"NA","1"
"01",2,"NA","1"
"01",3,"NA","1"
"01",4,"NA","1"
"01",5,"NA","1"
"01",6,"NA","1"
"01",7,"NA","1"
"01",8,"NA","1"
"01",9,"NA","1"
"01",99,"",""
"02",1,"1",""
"02",2,"1",""
"02",3,"1",""
"02",4,"NA","1"
"02",5,"NA","1"
"02",6,"NA","1"
"02",7,"NA","1"
"02",8,"NA","1"
"02",9,"1",""
"02",99,"",""
"03",1,"NA","NA"
"03",2,"NA","NA"
"03",3,"NA","NA"
"03",4,"NA","NA"
"03",5,"NA","NA"
"03",6,"NA","NA"
"03",7,"NA","NA"
"03",8,"NA","NA"
"03",9,"NA","NA"
"03",99,"",""
"04",1,"NA","NA"
"04",2,"NA","NA"
"04",3,"NA","NA"
"04",4,"NA","NA"
"04",5,"NA","NA"
"04",6,"NA","NA"
"04",7,"NA","NA"
"04",8,"NA","NA"
"04",9,"NA","NA"
"04",99,"",""
"05",1,"1",""
"05",2,"1",""
"05",3,"NA","1"
"05",4,"NA","1"
"05",5,"1",""
"05",6,"NA","1"
"05",7,"NA","1"
"05",8,"NA","1"
"05",9,"2",""
"05",99,"",""
"06",1,"NA","NA"
"06",2,"NA","NA"
"06",3,"NA","NA"
"06",4,"NA","NA"
"06",5,"NA","NA"
"06",6,"NA","NA"
"06",7,"NA","NA"
"06",8,"NA","NA"
"06",9,"NA","NA"
"06",99,"",""
"07",1,"1",""
"07",2,"1",""
"07",3,"1",""
"07",4,"NA","1"
"07",5,"NA","1"
"07",6,"1",""
"07",7,"1",""
"07",8,"NA","1"
"07",9,"NA","1"
"07",99,"",""
"08",1,"NA","NA"
"08",2,"NA","NA"
"08",3,"NA","NA"
"08",4,"NA","NA"
"08",5,"NA","NA"
"08",6,"NA","NA"
"08",7,"NA","NA"
"08",8,"NA","NA"
"08",9,"NA","NA"
"08",99,"",""
"09",1,"1",""
"09",2,"1",""
"09",3,"NA","1"
"09",4,"NA","1"
"09",5,"NA","1"
"09",6,"NA","1"
"09",7,"NA","1"
"09",8,"NA","1"
"09",9,"NA","1"
"09",99,"",""
"10",1,"1",""
"10",2,"1",""
"10",3,"1",""
"10",4,"NA","1"
"10",5,"NA","1"
"10",6,"NA","1"
"10",7,"NA","1"
"10",8,"NA","1"
"10",9,"2",""
"10",99,"",""
"11",1,"NA","1"
"11",2,"NA","1"
"11",3,"NA","1"
"11",4,"NA","1"
"11",5,"NA","1"
"11",6,"NA","1"
"11",7,"NA","1"
"11",8,"NA","1"
"11",9,"NA","1"
"11",99,"",""
"12",1,"NA","1"
"12",2,"NA","1"
"12",3,"NA","1"
"12",4,"NA","1"
"12",5,"NA","1"
"12",6,"NA","1"
"12",7,"NA","1"
"12",8,"NA","1"
"12",9,"NA","1"
"12",99,"",""
"13",1,"1",""
"13",2,"1",""
"13",3,"1",""
"13",4,"1",""
