entidad,totalca1,totalca2
"01","0","0"
"02","4181","NSS"
"03","0","0"
"04","NSS","NSS"
"05","0","0"
"06","486","486"
"07","419","NSS"
"08","6007","NSS"
"09","5634","5634"
"10","3811","3090"
"11","1847","2819"
"12","86","122"
"13","294","304"
"14","1282","1327"
"15","6660","8192"
"16","NSS","NSS"
"17","1815","1175"
"18","NSS","1534"
"19","6183","12907"
"20","0","0"
"21","NSS","NSS"
"22","175","271"
"23","10","10"
"24","92","108"
"25","764","798"
"26","NSS","NSS"
"27","1783","5760"
"28","89","418"
"29","72","72"
"30","NSS","NSS"
"31","487","895"
"32","NSS","NSS"
