entidad,seonidtt,seonid1,seonid2,seonid3,seonid4,seonid5,seonid6
"01","329","284","44","1","0","0","0"
"02","239","213","23","3","0","0","0"
"03","31","28","3","0","0","0","0"
"04","28","0","0","0","23","5","NSS"
"05","142","96","2","0","41","3","0"
"07","35","0","0","0","31","2","2"
"08","NSS","0","0","0","NSS","NSS","0"
"09","762","527","41","0","172","22","0"
"10","199","3","NSS","NSS","176","15","5"
"12","139","0","0","0","133","6","0"
"13","109","93","5","0","11","0","0"
"14","223","201","21","1","0","0","0"
"15","NSS","NSS","NSS","0","NSS","NSS","0"
"16","68","67","1","0","NSS","NSS","NSS"
"17","201","0","0","0","184","15","2"
"18","223","200","23","0","0","0","0"
"19","739","0","0","0","620","107","12"
"20","89","0","0","0","78","11","0"
"21","191","184","7","0","NSS","NSS","NSS"
"22","167","0","0","0","150","17","0"
"23","27","0","0","0","24","3","0"
"24","7","4","NSS","NSS","3","0","0"
"25","NSS","0","0","0","NSS","NSS","NSS"
"26","444","409","35","0","0","0","0"
"27","55","0","0","0","51","4","0"
"28","544","480","64","0","0","0","0"
"29","57","43","14","0","0","0","0"
"30","107","0","0","0","102","5","0"
"31","166","0","0","0","164","2","0"
"32","170","0","0","0","156","14","0"
