entidad,cond_ant,asuncttt,asunct1,asunct2,asunct3,asunct4,asunct5,asunct6
"16",30400,"NSS","0","0","","NSS","NSS",""
"16",30500,"NSS","0","0","","NSS","NSS",""
"16",30600,"NSS","0","0","","NSS","NSS",""
"16",30700,"4","3","NSS","1","NSS","NSS",""
"16",30900,"NSS","0","0","","NSS","NSS",""
"16",40100,"15","12","NSS","3","NSS","NSS",""
"16",40101,"NSS","0","NSS","","NSS","NSS",""
"16",40102,"NSS","0","NSS","","NSS","NSS",""
"16",40103,"NSS","0","NSS","","NSS","NSS",""
"16",40104,"NSS","0","NSS","","NSS","NSS",""
"16",40105,"NSS","0","NSS","","NSS","NSS",""
"16",40106,"NSS","0","NSS","","NSS","NSS",""
"16",40107,"NSS","0","NSS","","NSS","NSS",""
"16",40108,"NSS","0","NSS","","NSS","NSS",""
"16",40109,"NSS","0","NSS","","NSS","NSS",""
"16",40110,"NSS","0","NSS","","NSS","NSS",""
"16",40111,"NSS","0","NSS","","NSS","NSS",""
"16",40112,"NSS","0","NSS","","NSS","NSS",""
"16",40113,"NSS","0","NSS","","NSS","NSS",""
"16",40114,"15","12","NSS","3","NSS","NSS",""
"16",40115,"NSS","0","NSS","","NSS","NSS",""
"16",40116,"NSS","0","NSS","","NSS","NSS",""
"16",40119,"NSS","0","NSS","","NSS","NSS",""
"16",40199,"","","","","","",""
"16",40200,"NSS","0","0","","NSS","NSS",""
"16",40300,"NSS","0","0","","NSS","NSS",""
"16",40400,"2","2","0","","NSS","NSS",""
"16",40500,"NSS","0","0","","NSS","NSS",""
"16",40501,"NSS","0","0","","NSS","NSS",""
"16",40509,"NSS","0","0","","NSS","NSS",""
"16",40599,"","","","","","",""
"16",40600,"NSS","0","0","","NSS","NSS",""
"16",40700,"NSS","0","0","","NSS","NSS",""
"16",40900,"5","5","0","","NSS","NSS",""
"16",50100,"NSS","0","0","","NSS","NSS",""
"16",50200,"NSS","0","0","","NSS","NSS",""
"16",50900,"NSS","0","0","","NSS","NSS",""
"16",60100,"NSS","0","0","","NSS","NSS",""
"16",60101,"NSS","0","0","","NSS","NSS",""
"16",60102,"NSS","0","0","","NSS","NSS",""
"16",60103,"NSS","0","0","","NSS","NSS",""
"16",60104,"NSS","0","0","","NSS","NSS",""
"16",60105,"NSS","0","0","","NSS","NSS",""
"16",60106,"NSS","0","0","","NSS","NSS",""
"16",60109,"NSS","0","0","","NSS","NSS",""
"16",60199,"","","","","","",""
"16",60200,"NSS","0","0","","NSS","NSS",""
"16",60201,"NSS","0","0","","NSS","NSS",""
"16",60202,"NSS","0","0","","NSS","NSS",""
"16",60203,"NSS","0","0","","NSS","NSS",""
"16",60209,"NSS","0","0","","NSS","NSS",""
"16",60299,"","","","","","",""
"16",60300,"NSS","0","0","","NSS","NSS",""
"16",60400,"NSS","0","0","","NSS","NSS",""
"16",60900,"NSS","0","0","","NSS","NSS",""
"16",70100,"1","1","0","","NSS","NSS",""
"16",70101,"NSS","0","0","","NSS","NSS",""
"16",70102,"NSS","0","0","","NSS","NSS",""
"16",70103,"NSS","0","0","","NSS","NSS",""
"16",70104,"NSS","0","0","","NSS","NSS",""
"16",70109,"1","1","0","","NSS","NSS",""
"16",70199,"","","","","","",""
"16",70200,"NSS","0","0","","NSS","NSS",""
"16",70201,"NSS","0","0","","NSS","NSS",""
"16",70202,"NSS","0","0","","NSS","NSS",""
"16",70203,"NSS","0","0","","NSS","NSS",""
"16",70204,"NSS","0","0","","NSS","NSS",""
"16",70205,"NSS","0","0","","NSS","NSS",""
"16",70206,"NSS","0","0","","NSS","NSS",""
"16",70209,"NSS","0","0","","NSS","NSS",""
"16",70299,"","","","","","",""
"16",70300,"13","13","0","","NSS","NSS",""
"16",70400,"NSS","0","0","","NSS","NSS",""
"16",70500,"NSS","0","0","","NSS","NSS",""
"16",70600,"NSS","0","0","","NSS","NSS",""
"16",70900,"NSS","0","0","","NSS","NSS",""
"16",80100,"NSS","0","0","","NSS","NSS",""
"16",80101,"NSS","0","0","","NSS","NSS",""
"16",80102,"NSS","0","0","","NSS","NSS",""
"16",80103,"NSS","0","0","","NSS","NSS",""
"16",80104,"NSS","0","0","","NSS","NSS",""
"16",80105,"NSS","0","0","","NSS","NSS",""
"16",80106,"NSS","0","0","","NSS","NSS",""
"16",80107,"NSS","0","0","","NSS","NSS",""
"16",80109,"NSS","0","0","","NSS","NSS",""
"16",80199,"","","","","","",""
"16",80200,"NSS","0","0","","NSS","NSS",""
"16",80201,"NSS","0","0","","NSS","NSS",""
"16",80209,"NSS","0","0","","NSS","NSS",""
"16",80299,"","","","","","",""
"16",80300,"NSS","0","0","","NSS","NSS",""
"16",80400,"NSS","0","0","","NSS","NSS",""
"16",80900,"NSS","0","0","","NSS","NSS",""
