entidad,conducan,aveinvtt,aveinv1,aveinv2
"01",1,"0","0","0"
"01",2,"0","0","0"
"01",3,"0","0","0"
"02",1,"0","0","0"
"02",2,"0","0","0"
"02",3,"0","0","0"
"03",1,"0","0","0"
"03",2,"0","0","0"
"03",3,"0","0","0"
"04",1,"1","0","1"
"04",2,"0","0","0"
"04",3,"0","0","0"
"05",1,"0","0","0"
"05",2,"0","0","0"
"05",3,"0","0","0"
"07",1,"0","0","0"
"07",2,"0","0","0"
"07",3,"0","0","0"
"08",1,"0","0","0"
"08",2,"0","0","0"
"08",3,"0","0","0"
"09",1,"0","0","0"
"09",2,"0","0","0"
"09",3,"0","0","0"
"10",1,"0","0","0"
"10",2,"0","0","0"
"10",3,"0","0","0"
"11",1,"21","15","6"
"11",2,"0","0","0"
"11",3,"0","0","0"
"12",1,"37","0","37"
"12",2,"0","0","0"
"12",3,"0","0","0"
"13",1,"0","0","0"
"13",2,"0","0","0"
"13",3,"0","0","0"
"14",1,"3","2","1"
"14",2,"1","1","0"
"14",3,"0","0","0"
"15",1,"0","0","0"
"15",2,"0","0","0"
"15",3,"0","0","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"17",1,"3","3","0"
"17",2,"0","0","0"
"17",3,"0","0","0"
"18",1,"0","0","0"
"18",2,"0","0","0"
"18",3,"0","0","0"
"19",1,"0","0","0"
"19",2,"0","0","0"
"19",3,"0","0","0"
"20",1,"0","0","0"
"20",2,"0","0","0"
"20",3,"0","0","0"
"21",1,"8","4","4"
"21",2,"0","0","0"
"21",3,"0","0","0"
"22",1,"0","0","0"
"22",2,"0","0","0"
"22",3,"0","0","0"
"23",1,"0","0","0"
"23",2,"0","0","0"
"23",3,"0","0","0"
"24",1,"0","0","0"
"24",2,"0","0","0"
"24",3,"0","0","0"
"25",1,"20","0","20"
"25",2,"0","0","0"
"25",3,"1","0","1"
"26",1,"0","0","0"
"26",2,"0","0","0"
"26",3,"0","0","0"
"27",1,"0","0","0"
"27",2,"0","0","0"
"27",3,"0","0","0"
"28",1,"0","0","0"
"28",2,"0","0","0"
"28",3,"0","0","0"
"29",1,"0","0","0"
"29",2,"0","0","0"
"29",3,"0","0","0"
"30",1,"0","0","0"
"30",2,"0","0","0"
"30",3,"0","0","0"
"31",1,"0","0","0"
"31",2,"0","0","0"
"31",3,"0","0","0"
"32",1,"0","0","0"
"32",2,"0","0","0"
"32",3,"0","0","0"
