entidad,asutrami,coancttt,coanct1,coanct2,coanctne
"01",1,"329","328","1",""
"01",2,"0","0","0",""
"02",1,"68","67","1",""
"02",2,"0","0","0",""
"03",1,"NSS","NSS","NSS",""
"03",2,"0","0","0",""
"04",1,"0","0","0",""
"04",2,"81","NSS","NSS","81"
"05",1,"25","24","1",""
"05",2,"20","15","1","4"
"07",1,"3","3","0",""
"07",2,"40","39","NSS","1"
"08",1,"0","0","0",""
"08",2,"NSS","NSS","NSS",""
"09",1,"689","636","53",""
"09",2,"60","60","0",""
"10",1,"0","0","0",""
"10",2,"56","54","1","1"
"12",1,"0","0","0",""
"12",2,"97","96","1",""
"13",1,"69","67","2",""
"13",2,"10","9","1",""
"14",1,"182","169","4","9"
"14",2,"0","0","0",""
"15",1,"NSS","NSS","NSS",""
"15",2,"NSS","NSS","NSS",""
"16",1,"16","15","NSS","1"
"16",2,"NSS","NSS","NSS",""
"17",1,"0","0","0",""
"17",2,"41","36","2","3"
"18",1,"137","98","NSS","39"
"18",2,"0","0","0",""
"19",1,"0","0","0",""
"19",2,"183","2","168","13"
"20",1,"0","0","0",""
"20",2,"5","4","NSS","1"
"21",1,"95","91","1","3"
"21",2,"NSS","NSS","NSS",""
"22",1,"0","0","0",""
"22",2,"79","78","1",""
"23",1,"0","0","0",""
"23",2,"12","8","NSS","4"
"24",1,"2","2","0",""
"24",2,"1","1","0",""
"25",1,"0","0","0",""
"25",2,"NSS","NSS","NSS",""
"26",1,"173","170","3",""
"26",2,"0","0","0",""
"27",1,"0","0","0",""
"27",2,"22","22","0",""
"28",1,"94","41","1","52"
"28",2,"0","0","0",""
"29",1,"101","91","10",""
"29",2,"0","0","0",""
"30",1,"0","0","0",""
"30",2,"6","5","NSS","1"
"31",1,"0","0","0",""
"31",2,"137","133","4",""
"32",1,"0","0","0",""
"32",2,"180","176","3","1"
