entidad,asucoseo,coancttt,coanct1,coanct2,coanctne
"01",1,"68","68","0",""
"01",2,"0","0","0",""
"02",1,"549","524","20","5"
"02",2,"0","0","0",""
"03",1,"NSS","NSS","NSS",""
"03",2,"0","0","0",""
"04",1,"0","0","0",""
"04",2,"NSS","NSS","NSS",""
"05",1,"87","84","NSS","3"
"05",2,"15","15","0",""
"07",1,"6","6","0",""
"07",2,"38","36","NSS","2"
"08",1,"0","0","0",""
"08",2,"778","NSS","778",""
"09",1,"864","840","24",""
"09",2,"10","10","0",""
"10",1,"3","3","0",""
"10",2,"187","178","8","1"
"12",1,"0","0","0",""
"12",2,"41","41","0",""
"13",1,"85","84","1",""
"13",2,"0","0","0",""
"14",1,"259","244","10","5"
"14",2,"0","0","0",""
"15",1,"874","NSS","NSS","874"
"15",2,"2","NSS","NSS","2"
"16",1,"NSS","NSS","NSS",""
"16",2,"0","0","0",""
"17",1,"0","0","0",""
"17",2,"269","153","14","102"
"18",1,"73","35","NSS","38"
"18",2,"0","0","0",""
"19",1,"0","0","0",""
"19",2,"910","12","783","115"
"20",1,"0","0","0",""
"20",2,"119","118","1",""
"21",1,"58","52","6",""
"21",2,"NSS","NSS","NSS",""
"22",1,"0","0","0",""
"22",2,"88","83","5",""
"23",1,"0","0","0",""
"23",2,"14","9","NSS","5"
"24",1,"2","2","0",""
"24",2,"0","0","0",""
"25",1,"0","0","0",""
"25",2,"322","53","NSS","269"
"26",1,"556","534","22",""
"26",2,"0","0","0",""
"27",1,"1","1","0",""
"27",2,"44","43","1",""
"28",1,"468","29","NSS","439"
"28",2,"0","0","0",""
"29",1,"44","44","0",""
"29",2,"0","0","0",""
"30",1,"0","0","0",""
"30",2,"188","135","10","43"
"31",1,"0","0","0",""
"31",2,"61","56","5",""
"32",1,"0","0","0",""
"32",2,"531","516","12","3"
