entidad,asuasist,contentt,conten1,conten2,contenne
"01",1,"297","296","1",""
"01",2,"0","0","0",""
"02",1,"213","199","11","3"
"02",2,"0","0","0",""
"03",1,"31","4","NSS","27"
"03",2,"0","0","0",""
"04",1,"0","0","0",""
"04",2,"27","26","1",""
"05",1,"83","82","1",""
"05",2,"41","36","1","4"
"07",1,"0","0","0",""
"07",2,"33","31","NSS","2"
"08",1,"0","0","0",""
"08",2,"740","NSS","NSS","740"
"09",1,"568","555","13",""
"09",2,"194","193","1",""
"10",1,"3","3","0",""
"10",2,"173","164","6","3"
"12",1,"0","0","0",""
"12",2,"103","102","1",""
"13",1,"92","89","3",""
"13",2,"11","10","1",""
"14",1,"208","193","7","8"
"14",2,"0","0","0",""
"15",1,"374","NSS","NSS","374"
"15",2,"76","NSS","NSS","76"
"16",1,"62","53","NSS","9"
"16",2,"NSS","NSS","NSS",""
"17",1,"0","0","0",""
"17",2,"180","154","9","17"
"18",1,"193","123","NSS","70"
"18",2,"0","0","0",""
"19",1,"0","0","0",""
"19",2,"687","10","677",""
"20",1,"0","0","0",""
"20",2,"82","80","2",""
"21",1,"161","151","6","4"
"21",2,"NSS","NSS","NSS",""
"22",1,"0","0","0",""
"22",2,"147","143","4",""
"23",1,"0","0","0",""
"23",2,"22","15","NSS","7"
"24",1,"5","4","NSS","1"
"24",2,"3","2","1",""
"25",1,"0","0","0",""
"25",2,"NSS","NSS","NSS",""
"26",1,"363","349","14",""
"26",2,"0","0","0",""
"27",1,"0","0","0",""
"27",2,"45","44","1",""
"28",1,"547","86","6","455"
"28",2,"0","0","0",""
"29",1,"40","40","0",""
"29",2,"0","0","0",""
"30",1,"0","0","0",""
"30",2,"103","81","8","14"
"31",1,"0","0","0",""
"31",2,"107","97","10",""
"32",1,"0","0","0",""
"32",2,"125","122","3",""
