entidad,sexo_vac,totalca1
"01",1,"7"
"01",2,"0"
"01",3,"0"
"01",4,"7"
"01",9,""
"02",1,"6"
"02",2,"1"
"02",3,"0"
"02",4,"7"
"02",9,""
"03",1,"NA"
"03",2,"NA"
"03",3,"NA"
"03",4,"NA"
"03",9,""
"04",1,"NA"
"04",2,"NA"
"04",3,"NA"
"04",4,"NA"
"04",9,""
"05",1,"3"
"05",2,"3"
"05",3,"0"
"05",4,"6"
"05",9,""
"06",1,"NA"
"06",2,"NA"
"06",3,"NA"
"06",4,"NA"
"06",9,""
"07",1,"3"
"07",2,"1"
"07",3,"1"
"07",4,"5"
"07",9,""
"08",1,"NA"
"08",2,"NA"
"08",3,"NA"
"08",4,"NA"
"08",9,""
"09",1,"3"
"09",2,"3"
"09",3,"1"
"09",4,"7"
"09",9,""
"10",1,"4"
"10",2,"2"
"10",3,"0"
"10",4,"6"
"10",9,""
"11",1,"4"
"11",2,"0"
"11",3,"1"
"11",4,"5"
"11",9,""
"12",1,"4"
"12",2,"1"
"12",3,"0"
"12",4,"5"
"12",9,""
"13",1,"3"
"13",2,"2"
"13",3,"0"
"13",4,"5"
"13",9,""
"14",1,"4"
"14",2,"1"
"14",3,"0"
"14",4,"5"
"14",9,""
"15",1,"7"
"15",2,"0"
"15",3,"0"
"15",4,"7"
"15",9,""
"16",1,"5"
"16",2,"0"
"16",3,"0"
"16",4,"5"
"16",9,""
"17",1,"2"
"17",2,"2"
"17",3,"1"
"17",4,"5"
"17",9,""
"18",1,"15"
"18",2,"4"
"18",3,"0"
"18",4,"19"
"18",9,""
"19",1,"3"
"19",2,"0"
"19",3,"0"
"19",4,"3"
"19",9,""
"20",1,"4"
"20",2,"1"
"20",3,"0"
"20",4,"5"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",4,"NA"
"21",9,""
"22",1,"3"
"22",2,"2"
"22",3,"0"
"22",4,"5"
"22",9,""
"23",1,"3"
"23",2,"1"
"23",3,"0"
"23",4,"4"
"23",9,""
"24",1,"4"
"24",2,"0"
"24",3,"0"
"24",4,"4"
"24",9,""
"25",1,"6"
"25",2,"1"
"25",3,"0"
"25",4,"7"
"25",9,""
"26",1,"6"
"26",2,"1"
"26",3,"0"
"26",4,"7"
"26",9,""
"27",1,"2"
"27",2,"3"
"27",3,"0"
"27",4,"5"
"27",9,""
"28",1,"4"
"28",2,"1"
"28",3,"0"
"28",4,"5"
"28",9,""
"29",1,"1"
"29",2,"4"
"29",3,"0"
"29",4,"5"
"29",9,""
"30",1,"4"
"30",2,"2"
"30",3,"0"
"30",4,"6"
"30",9,""
"31",1,"2"
"31",2,"3"
"31",3,"0"
"31",4,"5"
"31",9,""
"32",1,"NA"
"32",2,"NA"
"32",3,"NA"
"32",4,"NA"
"32",9,""
