entidad,saeosxtt,saeosx1,saeosx2,saeosx3,saeosx4,saeosx5,saeosx6,saeosx7,saeosx8
"01","33","29","3","0","0","1","0","0","0"
"02","154","124","14","0","0","15","1","0","0"
"03","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"04","0","0","0","0","0","0","0","0","0"
"05","24","13","1","2","0","8","0","0","0"
"07","25","0","0","13","2","0","0","10","NSS"
"08","NSS","0","0","NSS","NSS","0","0","NSS","0"
"09","561","498","28","5","1","28","1","0","0"
"10","87","0","0","51","2","0","0","34","0"
"12","5","0","0","4","1","0","0","0","0"
"13","11","2","2","0","0","7","0","0","0"
"14","191","169","15","0","0","6","1","0","0"
"15","17","0","0","0","0","16","1","0","0"
"16","4","4","0","0","0","0","0","0","0"
"17","13","0","0","8","0","0","0","3","2"
"18","35","31","1","0","0","3","0","0","0"
"19","39","0","0","38","1","0","0","0","0"
"20","13","0","0","11","0","0","0","2","0"
"21","49","40","0","0","0","9","0","0","0"
"22","8","0","0","8","0","0","0","0","0"
"23","9","0","0","7","2","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0"
"25","NSS","0","0","NSS","NSS","0","0","NSS","NSS"
"26","932","856","52","0","0","20","4","0","0"
"27","42","0","0","41","1","0","0","0","0"
"28","326","212","47","0","0","64","3","0","0"
"29","24","21","0","0","0","3","0","0","0"
"30","56","0","0","28","1","0","0","26","1"
"31","29","0","0","26","2","0","0","1","0"
"32","31","0","0","25","0","0","0","3","3"
