entidad,nsexo_ns,nrangeda,ingretit,ngdoestu,nedoestu,re_nsnn1,desi_con,re_nsnn2,fec_inic,fec_term
"01",1,3,3,1,4,1,3,2,"18/11/2015","26/11/2018"
"01",1,5,3,1,4,1,3,2,"13/04/2015","18/05/2018"
"01",1,6,3,1,4,1,3,2,"09/01/2016","18/01/2019"
"01",1,6,3,2,4,1,3,2,"11/03/2015","13/04/2018"
"01",1,7,3,1,4,1,3,2,"17/01/2014","16/01/2017"
"01",1,7,3,2,4,1,2,2,"23/07/2014","23/07/2018"
"01",1,7,3,3,4,1,3,2,"11/08/2015","10/08/2018"
"02",1,5,6,1,3,2,6,2,"01/12/2014","30/11/2018"
"02",1,5,6,1,3,2,6,2,"01/12/2014","30/11/2018"
"02",1,6,6,1,3,2,2,2,"27/11/2014","26/11/2018"
"02",1,6,6,1,3,2,5,2,"29/10/2013","28/10/2017"
"02",1,8,6,1,3,2,2,2,"03/11/2014","02/11/2017"
"02",1,8,6,1,3,2,2,2,"27/11/2014","26/11/2018"
"02",2,8,6,1,3,2,2,2,"24/10/2013","23/11/2017"
"03",0,0,0,0,0,0,0,0,"NA","NA"
"04",0,0,0,0,0,0,0,0,"NA","NA"
"05",1,7,1,2,4,1,3,2,"01/01/2014","31/12/2016"
"05",1,7,1,3,4,1,5,2,"27/04/2015","26/04/2018"
"05",1,9,1,2,4,1,3,2,"01/01/2015","31/12/2017"
"05",2,4,1,2,4,1,6,2,"06/01/2015","31/12/2017"
"05",2,7,1,2,4,1,2,2,"06/01/2016","05/01/2020"
"05",2,9,1,2,4,1,3,2,"16/05/2016","11/05/2019"
"06",0,0,0,0,0,0,0,0,"NA","NA"
"07",1,5,6,1,4,1,6,2,"01/10/2016","30/09/2020"
"07",1,6,6,1,4,1,6,2,"20/01/2016","19/01/2020"
"07",1,8,6,3,2,1,2,2,"08/04/2016","07/04/2019"
"07",2,8,6,3,4,1,5,2,"26/09/2016","25/09/2020"
"07",9,99,1,9,9,9,9,2,"NSS","NSS"
"08",0,0,0,0,0,0,0,0,"NA","NA"
"09",1,5,8,1,4,1,2,2,"01/12/2016","30/11/2021"
"09",1,8,8,3,4,1,5,2,"01/04/2017","31/03/2022"
"09",1,9,8,3,3,1,1,2,"01/01/2008","31/12/2018"
"09",2,4,8,2,4,1,6,2,"29/04/2014","28/04/2019"
"09",2,6,8,3,4,1,2,2,"19/10/2016","18/10/2021"
"09",2,8,8,1,4,1,2,2,"01/07/2015","30/06/2020"
"09",9,99,8,9,9,9,6,2,"NSS","NSS"
"10",1,4,4,1,4,9,9,2,"25/11/2015","01/03/2020"
"10",1,6,4,1,4,9,9,2,"15/09/2013","NSS"
"10",1,6,4,3,4,9,9,2,"15/09/2015","15/09/2020"
"10",1,8,5,3,4,9,9,2,"21/09/2016","20/09/2022"
"10",2,6,4,1,4,9,9,2,"06/09/2013","15/09/2019"
"10",2,7,4,3,4,9,9,2,"15/09/2014","15/09/2019"
"11",1,5,9,1,4,1,5,2,"17/12/2015","16/12/2019"
"11",1,6,9,2,3,2,6,2,"19/12/2013","18/12/2017"
"11",1,7,9,2,4,1,7,2,"17/06/2013","16/06/2017"
"11",1,9,9,2,4,1,9,2,"06/01/2016","04/01/2018"
"11",9,99,9,9,9,9,9,2,"NSS","NSS"
"12",1,7,8,3,4,1,2,2,"18/04/2017","30/11/2018"
"12",1,8,7,2,1,1,5,2,"29/04/2014","29/04/2019"
"12",1,8,7,2,1,2,1,2,"01/10/2014","01/10/2017"
"12",1,9,7,2,4,2,2,2,"16/05/2013","30/04/2018"
"12",2,7,7,3,1,1,4,2,"07/03/2015","07/03/2018"
"13",1,7,3,2,4,1,4,2,"18/12/2012","18/12/2017"
"13",1,8,3,1,4,1,2,2,"01/12/2012","01/12/2017"
"13",1,9,3,1,4,1,6,2,"18/12/2012","18/12/2017"
"13",2,8,3,1,4,2,5,2,"04/05/2017","04/05/2022"
"13",2,8,4,1,4,1,2,1,"08/11/2016","NA"
"14",1,5,9,2,3,2,9,2,"16/10/2016","15/10/2020"
"14",1,5,9,2,4,1,9,2,"01/01/2017","31/12/2018"
"14",1,6,9,3,3,2,9,2,"26/06/2016","25/05/2020"
"14",1,8,9,2,4,2,9,2,"01/09/2015","31/08/2019"
"14",2,6,9,3,4,1,9,2,"26/06/2016","25/05/2020"
"15",1,6,9,1,3,1,3,2,"18/09/2013","17/09/2018"
"15",1,6,9,2,2,1,3,2,"17/02/2015","16/02/2020"
"15",1,6,9,3,3,1,2,2,"07/01/2015","06/01/2020"
"15",1,7,9,2,3,1,3,2,"17/02/2015","16/02/2020"
"15",1,8,9,1,3,2,6,2,"21/01/2015","20/01/2020"
"15",1,8,9,2,3,1,5,2,"21/02/2013","20/02/2018"
"15",1,9,9,2,3,1,6,2,"21/01/2015","20/01/2020"
"16",1,6,6,1,4,1,2,2,"08/05/2014","08/05/2019"
"16",1,6,6,1,4,2,2,2,"08/05/2015","08/05/2020"
"16",1,6,6,2,4,1,6,2,"22/03/2013","22/03/2018"
"16",1,8,6,1,4,1,2,2,"25/02/2016","24/02/2019"
"16",1,9,6,1,4,2,5,2,"14/06/2016","14/06/2021"
"17",1,4,6,1,4,9,6,2,"18/07/2015","17/07/2021"
"17",1,6,6,3,4,9,2,2,"06/07/2012","05/07/2018"
"17",2,5,6,1,4,9,5,2,"23/06/2014","22/06/2020"
"17",2,7,6,1,4,9,2,2,"18/05/2016","17/05/2018"
"17",9,99,6,9,9,9,9,2,"NSS","NSS"
"18",1,4,7,2,4,2,9,2,"24/09/2013","23/09/2023"
"18",1,5,3,2,4,2,2,2,"19/02/2015","19/02/2019"
"18",1,5,7,2,4,2,9,2,"27/08/2015","26/08/2025"
"18",1,5,7,3,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,5,9,3,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,6,7,1,4,2,9,2,"25/09/2015","24/09/2025"
"18",1,6,7,3,4,2,9,2,"24/09/2009","24/09/2019"
"18",1,7,7,1,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,7,7,1,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,7,7,2,4,2,9,2,"24/09/2009","24/09/2019"
"18",1,9,7,1,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,9,7,1,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,9,7,2,4,2,9,2,"18/12/2009","18/12/2019"
"18",1,9,7,3,4,2,9,2,"24/09/2013","23/09/2023"
"18",1,9,7,3,4,2,9,2,"18/12/2009","18/12/2019"
"18",2,4,7,1,4,2,9,2,"01/10/2015","30/09/2025"
"18",2,6,3,2,4,2,2,2,"19/02/2015","19/02/2019"
"18",2,6,7,3,4,2,9,2,"24/09/2013","23/09/2023"
"18",2,8,7,2,4,2,9,2,"18/12/2009","18/12/2019"
"19",1,5,8,1,4,1,8,2,"16/12/2014","15/12/2019"
"19",1,7,8,1,4,1,8,2,"26/05/2014","25/05/2019"
"19",1,8,9,3,4,1,1,2,"01/08/2015","31/07/2017"
"20",1,7,5,1,4,9,2,2,"01/12/2013","01/12/2018"
"20",1,7,5,2,2,9,2,2,"14/03/2017","14/03/2022"
"20",1,8,5,2,2,9,6,2,"26/01/2016","26/12/2021"
"20",1,9,9,3,3,9,2,2,"13/03/2017","01/12/2019"
"20",2,7,5,2,3,9,5,2,"01/12/2014","01/12/2019"
"21",0,0,0,0,0,0,0,0,"NA","NA"
"22",1,5,4,1,4,2,5,2,"02/07/2016","01/07/2020"
"22",1,5,4,2,4,2,2,2,"02/07/2016","01/07/2020"
"22",1,5,4,3,4,2,6,2,"02/07/2016","01/07/2020"
"22",2,5,4,2,4,1,2,2,"02/07/2016","01/07/2020"
"22",2,8,8,3,4,1,2,2,"01/10/2015","30/09/2018"
"23",1,6,7,1,4,1,2,2,"06/10/2015","06/10/2020"
"23",1,6,8,3,4,1,2,2,"08/08/2014","08/08/2017"
"23",1,9,6,2,4,1,6,2,"19/01/2015","19/01/2019"
"23",2,7,7,2,4,1,6,2,"14/11/2014","14/11/2019"
"24",1,5,5,1,4,2,8,2,"31/08/2014","30/08/2019"
"24",1,7,5,2,4,2,7,2,"31/08/2013","30/08/2018"
"24",1,9,5,1,4,2,8,2,"31/08/2015","30/08/2020"
"24",1,9,6,1,4,2,8,2,"16/10/2014","15/10/2020"
"25",1,5,0,2,3,1,1,1,"02/01/2017","NA"
"25",1,7,0,1,3,1,2,2,"09/02/2012","NSS"
"25",1,7,0,2,2,1,2,2,"30/11/2011","NSS"
"25",1,7,0,2,3,2,2,2,"12/09/2011","NSS"
"25",1,8,0,1,3,2,2,2,"12/09/2011","NSS"
"25",1,9,0,1,2,2,2,2,"12/07/2011","NSS"
"25",2,8,0,1,3,2,2,2,"12/09/2011","NSS"
"26",1,5,1,1,3,2,9,2,"19/01/2015","NSS"
"26",1,7,1,1,3,2,9,2,"13/09/2015","12/09/2021"
"26",1,7,1,1,3,2,9,2,"19/01/2015","NSS"
"26",1,7,1,1,3,2,9,2,"12/12/2015","NSS"
"26",1,8,1,1,3,2,9,2,"12/11/2015","NSS"
"26",1,9,1,1,4,2,9,2,"10/09/2015","NSS"
"26",2,9,1,1,3,2,9,2,"02/05/2013","01/05/2022"
"27",1,9,4,1,2,2,6,2,"01/01/2013","31/12/2020"
