entidad,sexo_ns,rangedae,ingretit,gdoestuc,esgrestu,re_snn1,desi_mag,re_snn2,fec_inic,fec_term
"01",1,6,5,2,3,1,1,2,"16/10/2012","15/10/2027"
"01",1,7,5,2,3,1,1,2,"21/11/2005","21/11/2020"
"01",1,7,7,2,3,1,1,2,"23/07/2014","23/07/2018"
"01",1,9,5,2,3,1,1,2,"15/05/2006","15/05/2021"
"01",2,6,5,2,3,1,1,2,"13/09/2006","13/09/2021"
"01",2,7,5,2,3,1,1,2,"22/11/2005","22/11/2020"
"01",2,8,5,2,3,1,1,1,"13/01/1999","NA"
"02",1,6,6,1,3,9,5,1,"20/03/2012","NA"
"02",1,8,6,1,3,9,5,1,"21/04/2014","NA"
"02",1,8,6,1,3,9,5,1,"15/11/2007","NA"
"02",1,8,6,1,3,9,5,2,"08/12/2011","07/12/2017"
"02",1,9,6,1,3,9,5,1,"21/04/2015","NA"
"02",1,9,6,1,3,9,5,1,"31/10/1995","NA"
"02",1,9,6,1,3,9,5,1,"31/10/1995","NA"
"02",1,9,6,1,3,9,5,1,"31/10/1995","NA"
"02",1,9,6,1,3,9,5,1,"31/10/1995","NA"
"02",1,9,6,1,3,9,5,2,"31/10/1995","11/07/2020"
"02",1,9,6,1,3,9,5,2,"31/10/1995","17/04/2020"
"02",1,9,6,1,3,9,5,2,"16/04/1998","31/06/2019"
"02",1,9,6,1,3,9,5,2,"15/11/2007","14/11/2022"
"02",2,7,6,1,3,9,5,2,"08/12/2011","07/06/2017"
"02",2,8,6,1,3,9,5,2,"08/12/2011","07/12/2017"
"02",2,9,6,1,3,9,5,1,"03/11/2008","NA"
"02",2,9,6,1,3,9,5,2,"31/10/1995","01/02/2026"
"03",1,5,4,1,3,9,4,2,"11/12/2014","12/12/2020"
"03",1,6,4,1,3,9,4,2,"12/01/2010","17/10/2021"
"03",1,6,4,1,3,9,4,2,"13/10/2011","14/10/2017"
"03",1,7,4,1,3,9,4,2,"19/11/2012","20/11/2018"
"03",1,8,4,1,3,9,4,2,"13/09/2012","14/09/2018"
"03",1,8,4,2,3,1,4,2,"16/07/2005","17/07/2017"
"03",2,8,4,1,3,9,4,2,"30/09/2011","01/10/2017"
"04",1,5,5,1,3,2,6,2,"16/03/2016","15/03/2022"
"04",1,6,5,2,3,1,6,2,"14/12/2015","13/12/2021"
"04",1,7,5,1,3,1,6,1,"01/01/2003","NA"
"04",1,7,5,1,3,1,6,1,"01/08/2009","NA"
"04",1,9,5,1,3,1,6,1,"08/10/1985","NA"
"04",1,9,5,1,3,1,6,1,"11/01/1997","NA"
"04",1,9,5,1,3,2,6,2,"21/09/2015","20/09/2021"
"04",1,9,5,3,3,1,6,1,"23/09/1991","NA"
"04",2,4,5,2,3,1,6,2,"08/06/2016","07/06/2022"
"04",2,5,5,2,3,1,6,2,"01/12/2016","30/11/2022"
"04",2,6,5,1,3,2,6,2,"17/02/2016","16/02/2022"
"04",2,7,5,1,3,1,6,1,"01/08/2009","NA"
"04",2,8,5,3,3,2,6,1,"16/09/1992","NA"
"04",2,9,5,2,3,2,6,1,"23/09/1991","NA"
"05",1,6,5,2,4,1,4,2,"30/12/2005","29/04/2020"
"05",1,6,5,2,4,1,4,2,"16/04/2008","15/04/2023"
"05",1,8,5,1,4,1,4,2,"30/03/2016","29/03/2031"
"05",1,8,5,2,4,1,4,2,"30/12/2005","29/12/2020"
"05",1,8,5,2,4,1,4,2,"16/04/2008","15/04/2023"
"05",1,9,5,1,4,1,4,1,"30/12/1993","NA"
"05",1,9,5,1,4,1,4,2,"16/04/2008","15/04/2023"
"05",1,9,5,2,4,1,4,2,"16/04/2008","15/04/2023"
"05",1,9,5,3,4,1,4,2,"16/04/2008","15/04/2023"
"05",2,6,5,2,4,1,4,2,"15/12/2015","14/12/2030"
"05",2,7,5,2,4,1,4,2,"30/12/2005","29/12/2020"
"05",2,9,5,2,4,1,4,2,"04/01/2012","04/01/2027"
"06",1,5,5,2,4,2,7,2,"11/01/2010","NSS"
"06",1,5,5,2,4,2,7,2,"04/07/2011","NSS"
"06",1,7,5,2,4,2,7,1,"22/11/1999","NA"
"06",1,7,5,3,9,2,1,1,"23/11/2005","NA"
"06",1,8,5,2,4,2,7,1,"13/11/2010","NA"
"06",1,9,5,2,4,2,7,1,"01/01/1996","NA"
"06",2,7,5,2,4,2,7,1,"01/02/2002","NA"
"06",2,8,5,1,4,2,7,2,"10/01/2011","NSS"
"06",2,9,5,1,4,2,7,1,"22/11/1999","NA"
"06",2,9,5,2,9,2,7,1,"04/11/1991","NA"
"07",1,5,9,1,3,2,7,2,"04/08/2016","03/08/2025"
"07",1,5,9,2,3,2,7,2,"12/08/2008","11/08/2017"
"07",1,6,9,3,3,2,7,2,"02/06/2015","01/06/2024"
"07",1,8,9,3,2,1,1,2,"08/04/2016","07/04/2019"
"07",2,7,9,3,3,2,7,2,"05/09/2012","04/09/2021"
"08",1,5,8,1,4,1,5,1,"13/11/2014","NA"
"08",1,5,8,2,4,1,5,1,"01/02/2013","NA"
"08",1,5,8,2,4,1,5,1,"13/11/2014","NA"
"08",1,5,8,2,4,1,5,1,"17/12/2013","NA"
"08",1,5,8,2,4,1,5,1,"13/11/2014","NA"
"08",1,6,8,1,4,1,5,1,"13/11/2014","NA"
"08",1,6,8,2,4,1,5,1,"04/03/2008","NA"
"08",1,6,8,2,4,1,5,1,"19/04/2005","NA"
"08",1,6,8,2,4,1,5,1,"30/06/2008","NA"
"08",1,7,8,2,4,1,5,1,"31/01/2013","NA"
"08",1,7,8,2,4,1,5,1,"13/11/2014","NA"
"08",1,7,8,2,4,1,5,1,"06/03/2012","NA"
"08",1,7,8,2,4,1,5,1,"25/08/2005","NA"
"08",1,7,8,3,4,1,5,1,"11/03/2003","NA"
"08",1,7,8,3,4,1,5,1,"13/11/2014","NA"
"08",1,7,8,3,4,1,5,1,"13/11/2014","NA"
"08",1,8,8,2,4,1,5,1,"04/11/2005","NA"
"08",1,8,8,2,4,1,5,1,"13/11/2014","NA"
"08",1,9,8,1,4,1,5,1,"13/11/2014","NA"
"08",1,9,8,2,4,1,5,1,"13/11/2014","NA"
"08",1,9,9,3,4,1,5,1,"11/11/2016","NA"
"08",2,5,8,2,4,1,5,1,"13/11/2014","NA"
"08",2,6,8,3,4,1,5,1,"13/11/2014","NA"
"08",2,7,8,2,4,1,5,1,"13/11/2014","NA"
"08",2,7,8,3,4,1,5,2,"04/07/2016","NSS"
"08",2,8,8,2,4,1,5,2,"14/12/2016","NSS"
"08",2,9,8,2,4,1,5,1,"17/12/2013","NA"
"09",1,5,6,1,3,2,4,1,"11/03/2014","NA"
"09",1,5,6,2,3,2,4,1,"11/03/2014","NA"
"09",1,6,6,1,3,2,4,1,"06/10/2008","NA"
"09",1,7,6,1,3,1,4,1,"03/03/2011","NA"
"09",1,7,6,1,3,2,4,1,"03/03/2011","NA"
"09",1,7,6,1,3,2,4,1,"06/10/2008","NA"
"09",1,7,6,1,3,2,4,1,"06/10/2008","NA"
"09",1,8,6,1,3,2,4,1,"03/03/2011","NA"
"09",1,8,6,1,3,2,4,1,"06/10/2008","NA"
"09",1,8,6,1,3,2,4,1,"01/01/1999","NA"
"09",1,8,6,1,3,2,4,1,"06/10/2008","NA"
"09",1,8,6,2,3,2,4,1,"11/03/2014","NA"
"09",1,8,6,3,3,2,4,1,"11/03/2014","NA"
"09",1,8,6,3,3,2,4,1,"23/12/1999","NA"
"09",1,9,6,1,3,1,4,1,"06/10/2008","NA"
"09",1,9,6,1,3,2,4,1,"28/04/2000","NA"
"09",1,9,6,1,3,2,4,1,"23/12/1999","NA"
"09",1,9,6,1,3,2,4,1,"01/07/1996","NA"
"09",1,9,6,1,3,2,4,1,"01/07/1989","NA"
"09",1,9,6,1,3,2,4,1,"30/04/2003","NA"
"09",1,9,6,1,3,2,4,1,"21/04/2005","NA"
"09",1,9,6,1,3,2,4,1,"16/03/1993","NA"
"09",1,9,6,1,3,2,4,1,"06/10/2008","NA"
"09",1,9,6,1,3,2,4,1,"18/08/2000","NA"
"09",1,9,6,1,3,2,4,1,"22/11/2011","NA"
"09",1,9,6,1,3,2,4,1,"16/07/1990","NA"
"09",1,9,6,1,3,2,4,1,"12/05/2003","NA"
"09",1,9,6,1,3,2,4,1,"23/03/1999","NA"
"09",1,9,6,1,3,2,4,1,"03/09/2003","NA"
"09",1,9,6,1,3,2,4,1,"03/09/2003","NA"
"09",1,9,6,1,3,2,4,1,"01/07/1995","NA"
"09",1,9,6,1,3,2,4,1,"23/12/1999","NA"
"09",1,9,6,1,3,2,4,1,"23/12/1999","NA"
"09",1,9,6,1,3,2,4,1,"16/03/1993","NA"
"09",1,9,6,1,3,2,4,1,"07/01/1999","NA"
"09",1,9,6,2,3,2,4,1,"08/09/2003","NA"
"09",1,9,6,3,3,2,4,1,"01/01/2008","NA"
"09",1,9,6,3,3,2,4,1,"16/06/1992","NA"
"09",1,9,6,3,3,2,4,1,"01/01/1995","NA"
"09",1,9,6,3,3,2,4,1,"29/04/2003","NA"
"09",2,5,6,1,3,2,4,1,"11/03/2014","NA"
"09",2,6,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,6,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,7,6,1,3,2,4,1,"11/03/2014","NA"
"09",2,7,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,7,6,1,3,2,4,1,"11/03/2014","NA"
"09",2,7,6,2,3,2,4,1,"11/04/2014","NA"
"09",2,8,6,1,3,2,4,1,"06/10/2008","NA"
"09",2,8,6,1,3,2,4,1,"06/08/2008","NA"
"09",2,8,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,8,6,1,3,2,4,1,"16/03/1999","NA"
"09",2,8,6,1,3,2,4,1,"06/10/2008","NA"
"09",2,8,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,9,6,1,3,1,4,1,"12/05/2003","NA"
"09",2,9,6,1,3,1,4,1,"01/01/1999","NA"
"09",2,9,6,1,3,2,4,1,"01/07/1995","NA"
"09",2,9,6,1,3,2,4,1,"23/12/1999","NA"
"09",2,9,6,1,3,2,4,1,"12/05/2003","NA"
"09",2,9,6,1,3,2,4,1,"28/06/2001","NA"
"09",2,9,6,1,3,2,4,1,"06/10/2008","NA"
"09",2,9,6,1,3,2,4,1,"12/05/2014","NA"
"09",2,9,6,1,3,2,4,1,"01/07/1996","NA"
"09",2,9,6,1,3,2,4,1,"01/01/1999","NA"
"09",2,9,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,9,6,1,3,2,4,1,"18/08/2000","NA"
"09",2,9,6,1,3,2,4,1,"01/09/2004","NA"
"09",2,9,6,1,3,2,4,1,"23/12/1999","NA"
"09",2,9,6,1,3,2,4,1,"04/01/2002","NA"
"09",2,9,6,1,3,2,4,1,"03/03/2011","NA"
"09",2,9,6,1,3,2,4,1,"18/08/2000","NA"
"09",2,9,6,1,3,2,4,1,"01/07/1995","NA"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"09",9,99,6,9,9,9,9,2,"NSS","NSS"
"10",1,4,5,1,4,9,4,2,"01/07/2015","30/06/2021"
"10",1,4,5,3,4,9,4,2,"01/07/2015","30/06/2021"
"10",1,5,5,1,4,9,4,2,"23/09/2015","22/09/2021"
"10",1,5,5,1,4,9,4,2,"01/07/2015","30/06/2021"
"10",1,6,5,1,4,9,4,2,"21/09/2016","20/09/2022"
"10",1,7,5,1,4,9,4,2,"01/07/2015","30/06/2021"
"10",1,7,8,3,4,9,4,2,"21/09/2016","20/09/2022"
"10",1,8,5,1,4,9,4,2,"21/09/2016","20/09/2022"
"10",1,8,6,1,4,9,4,2,"19/09/2013","18/09/2019"
"10",1,9,5,3,4,9,4,2,"04/10/2016","03/10/2022"
"10",1,9,6,1,4,9,4,2,"01/07/2009","20/09/2022"
"10",1,9,6,1,4,9,4,2,"21/09/2016","20/09/2022"
"10",2,6,5,3,1,9,4,2,"17/01/2010","NSS"
"10",2,6,5,3,4,9,4,2,"06/09/2013","05/09/2019"
"10",2,7,5,1,4,9,4,2,"04/10/2016","03/10/2022"
"10",2,7,5,1,4,9,4,2,"22/02/2016","21/02/2022"
"10",2,8,5,1,4,9,4,1,"15/09/1998","NA"
"10",2,9,5,1,4,9,4,2,"21/09/2016","20/09/2022"
"10",2,9,5,1,4,9,4,2,"01/07/2009","30/06/2021"
"11",1,5,9,2,3,1,6,2,"07/12/2011","06/12/2018"
"11",1,5,9,2,4,1,6,2,"18/06/2015","17/06/2022"
"11",1,6,9,1,4,1,6,2,"18/06/2015","17/06/2022"
"11",1,6,9,2,3,1,6,2,"18/06/2015","17/06/2022"
"11",1,6,9,2,3,2,6,2,"28/04/2010","27/04/2017"
"11",1,6,9,2,4,1,6,2,"06/10/2016","05/10/2023"
"11",1,6,9,2,4,1,7,2,"13/06/2013","12/06/2020"
"11",1,6,9,2,4,1,7,2,"06/10/2016","05/10/2023"
"11",1,7,9,2,4,1,6,2,"19/12/2016","05/12/2020"
"11",1,7,9,2,4,1,7,2,"18/11/2015","07/12/2018"
"11",1,7,9,3,1,1,7,2,"30/04/2010","29/04/2017"
"11",1,7,9,3,3,1,7,2,"21/05/2008","20/05/2022"
"11",1,7,9,3,3,1,7,2,"13/06/2013","13/06/2020"
"11",1,7,9,3,3,2,7,2,"28/04/2010","27/04/2017"
"11",1,9,9,2,4,1,8,2,"08/01/2014","03/01/2018"
"11",2,5,9,2,4,1,6,2,"13/06/2013","12/06/2020"
"11",2,7,9,2,3,1,6,2,"27/11/2008","17/12/2020"
"11",2,7,9,2,3,2,6,2,"20/12/2013","19/12/2020"
"11",2,7,9,2,4,1,6,2,"28/08/2009","05/10/2023"
