entidad,org_mate,sexodptt,sexodp1,sexodp2,sexoajtt,sexoaj1,sexoaj2,no_aplic
"01",1,"NA","NA","NA","NA","NA","NA","NA"
"01",2,"NA","NA","NA","NA","NA","NA","NA"
"01",3,"NA","NA","NA","NA","NA","NA","NA"
"01",4,"NA","NA","NA","NA","NA","NA","NA"
"01",5,"NA","NA","NA","NA","NA","NA","NA"
"01",6,"NA","NA","NA","NA","NA","NA","NA"
"01",7,"NA","NA","NA","NA","NA","NA","NA"
"01",8,"NA","NA","NA","NA","NA","NA","NA"
"01",9,"NA","NA","NA","NA","NA","NA","NA"
"01",10,"NA","NA","NA","NA","NA","NA","NA"
"01",11,"NA","NA","NA","NA","NA","NA","NA"
"01",12,"NA","NA","NA","NA","NA","NA","NA"
"01",13,"NA","NA","NA","NA","NA","NA","NA"
"01",14,"NA","NA","NA","NA","NA","NA","NA"
"01",15,"NA","NA","NA","NA","NA","NA","NA"
"01",16,"NA","NA","NA","NA","NA","NA","NA"
"01",17,"NA","NA","NA","NA","NA","NA","NA"
"01",18,"NA","NA","NA","NA","NA","NA","NA"
"01",19,"NA","NA","NA","NA","NA","NA","NA"
"01",20,"NA","NA","NA","NA","NA","NA","NA"
"01",21,"NA","NA","NA","NA","NA","NA","NA"
"01",22,"NA","NA","NA","NA","NA","NA","NA"
"01",23,"NA","NA","NA","NA","NA","NA","NA"
"01",24,"NA","NA","NA","NA","NA","NA","NA"
"01",25,"NA","NA","NA","NA","NA","NA","NA"
"01",26,"NA","NA","NA","NA","NA","NA","NA"
"01",27,"NA","NA","NA","NA","NA","NA","NA"
"01",28,"NA","NA","NA","NA","NA","NA","NA"
"01",99,"","","","","","",""
"02",1,"NA","NA","NA","NA","NA","NA","NA"
"02",2,"NA","NA","NA","NA","NA","NA","NA"
"02",3,"NA","NA","NA","NA","NA","NA","NA"
"02",4,"NA","NA","NA","NA","NA","NA","NA"
"02",5,"NA","NA","NA","NA","NA","NA","NA"
"02",6,"NA","NA","NA","NA","NA","NA","NA"
"02",7,"NA","NA","NA","NA","NA","NA","NA"
"02",8,"NA","NA","NA","NA","NA","NA","NA"
"02",9,"NA","NA","NA","NA","NA","NA","NA"
"02",10,"NA","NA","NA","NA","NA","NA","NA"
"02",11,"NA","NA","NA","NA","NA","NA","NA"
"02",12,"NA","NA","NA","NA","NA","NA","NA"
"02",13,"NA","NA","NA","NA","NA","NA","NA"
"02",14,"NA","NA","NA","NA","NA","NA","NA"
"02",15,"NA","NA","NA","NA","NA","NA","NA"
"02",16,"NA","NA","NA","NA","NA","NA","NA"
"02",17,"NA","NA","NA","NA","NA","NA","NA"
"02",18,"NA","NA","NA","NA","NA","NA","NA"
"02",19,"NA","NA","NA","NA","NA","NA","NA"
"02",20,"NA","NA","NA","NA","NA","NA","NA"
"02",21,"NA","NA","NA","NA","NA","NA","NA"
"02",22,"NA","NA","NA","NA","NA","NA","NA"
"02",23,"NA","NA","NA","NA","NA","NA","NA"
"02",24,"NA","NA","NA","NA","NA","NA","NA"
"02",25,"NA","NA","NA","NA","NA","NA","NA"
"02",26,"NA","NA","NA","NA","NA","NA","NA"
"02",27,"NA","NA","NA","NA","NA","NA","NA"
"02",28,"NA","NA","NA","NA","NA","NA","NA"
"02",99,"","","","","","",""
"03",1,"NA","NA","NA","NA","NA","NA","NA"
"03",2,"NA","NA","NA","NA","NA","NA","NA"
"03",3,"NA","NA","NA","NA","NA","NA","NA"
"03",4,"NA","NA","NA","NA","NA","NA","NA"
"03",5,"NA","NA","NA","NA","NA","NA","NA"
"03",6,"NA","NA","NA","NA","NA","NA","NA"
"03",7,"NA","NA","NA","NA","NA","NA","NA"
"03",8,"NA","NA","NA","NA","NA","NA","NA"
"03",9,"NA","NA","NA","NA","NA","NA","NA"
"03",10,"NA","NA","NA","NA","NA","NA","NA"
"03",11,"NA","NA","NA","NA","NA","NA","NA"
"03",12,"NA","NA","NA","NA","NA","NA","NA"
"03",13,"NA","NA","NA","NA","NA","NA","NA"
"03",14,"NA","NA","NA","NA","NA","NA","NA"
"03",15,"NA","NA","NA","NA","NA","NA","NA"
"03",16,"NA","NA","NA","NA","NA","NA","NA"
"03",17,"NA","NA","NA","NA","NA","NA","NA"
"03",18,"NA","NA","NA","NA","NA","NA","NA"
"03",19,"NA","NA","NA","NA","NA","NA","NA"
"03",20,"NA","NA","NA","NA","NA","NA","NA"
"03",21,"NA","NA","NA","NA","NA","NA","NA"
"03",22,"NA","NA","NA","NA","NA","NA","NA"
"03",23,"NA","NA","NA","NA","NA","NA","NA"
"03",24,"NA","NA","NA","NA","NA","NA","NA"
"03",25,"NA","NA","NA","NA","NA","NA","NA"
"03",26,"NA","NA","NA","NA","NA","NA","NA"
"03",27,"NA","NA","NA","NA","NA","NA","NA"
"03",28,"NA","NA","NA","NA","NA","NA","NA"
"03",99,"","","","","","",""
"04",1,"NA","NA","NA","NA","NA","NA","NA"
"04",2,"NA","NA","NA","NA","NA","NA","NA"
"04",3,"NA","NA","NA","NA","NA","NA","NA"
"04",4,"NA","NA","NA","NA","NA","NA","NA"
"04",5,"NA","NA","NA","NA","NA","NA","NA"
"04",6,"NA","NA","NA","NA","NA","NA","NA"
"04",7,"NA","NA","NA","NA","NA","NA","NA"
"04",8,"NA","NA","NA","NA","NA","NA","NA"
"04",9,"NA","NA","NA","NA","NA","NA","NA"
"04",10,"NA","NA","NA","NA","NA","NA","NA"
"04",11,"NA","NA","NA","NA","NA","NA","NA"
"04",12,"NA","NA","NA","NA","NA","NA","NA"
"04",13,"NA","NA","NA","NA","NA","NA","NA"
"04",14,"NA","NA","NA","NA","NA","NA","NA"
"04",15,"NA","NA","NA","NA","NA","NA","NA"
"04",16,"NA","NA","NA","NA","NA","NA","NA"
"04",17,"NA","NA","NA","NA","NA","NA","NA"
"04",18,"NA","NA","NA","NA","NA","NA","NA"
"04",19,"NA","NA","NA","NA","NA","NA","NA"
"04",20,"NA","NA","NA","NA","NA","NA","NA"
"04",21,"NA","NA","NA","NA","NA","NA","NA"
"04",22,"NA","NA","NA","NA","NA","NA","NA"
"04",23,"NA","NA","NA","NA","NA","NA","NA"
"04",24,"NA","NA","NA","NA","NA","NA","NA"
"04",25,"NA","NA","NA","NA","NA","NA","NA"
"04",26,"NA","NA","NA","NA","NA","NA","NA"
"04",27,"NA","NA","NA","NA","NA","NA","NA"
"04",28,"NA","NA","NA","NA","NA","NA","NA"
"04",99,"","","","","","",""
"05",1,"NA","NA","NA","NA","NA","NA","1"
"05",2,"NA","NA","NA","NA","NA","NA","1"
"05",3,"0","0","0","0","0","0",""
"05",4,"0","0","0","0","0","0",""
"05",5,"27","16","11","0","0","0",""
"05",6,"29","12","17","0","0","0",""
"05",7,"0","0","0","48","16","32",""
"05",8,"0","0","0","0","0","0",""
"05",9,"NA","NA","NA","NA","NA","NA","1"
"05",10,"NA","NA","NA","NA","NA","NA","1"
"05",11,"NA","NA","NA","NA","NA","NA","1"
"05",12,"0","0","0","0","0","0",""
"05",13,"NA","NA","NA","NA","NA","NA","1"
"05",14,"NA","NA","NA","NA","NA","NA","1"
"05",15,"NA","NA","NA","NA","NA","NA","1"
"05",16,"NA","NA","NA","NA","NA","NA","1"
"05",17,"NA","NA","NA","NA","NA","NA","1"
"05",18,"NA","NA","NA","NA","NA","NA","1"
"05",19,"1","1","0","0","0","0",""
"05",20,"NA","NA","NA","NA","NA","NA","1"
"05",21,"NA","NA","NA","NA","NA","NA","1"
"05",22,"NA","NA","NA","NA","NA","NA","1"
"05",23,"0","0","0","0","0","0",""
"05",24,"0","0","0","0","0","0",""
"05",25,"0","0","0","0","0","0",""
"05",26,"NA","NA","NA","NA","NA","NA","1"
"05",27,"NA","NA","NA","NA","NA","NA","1"
"05",28,"NA","NA","NA","NA","NA","NA","1"
"05",99,"","","","","","",""
"06",1,"NA","NA","NA","NA","NA","NA","NA"
"06",2,"NA","NA","NA","NA","NA","NA","NA"
"06",3,"NA","NA","NA","NA","NA","NA","NA"
"06",4,"NA","NA","NA","NA","NA","NA","NA"
"06",5,"NA","NA","NA","NA","NA","NA","NA"
"06",6,"NA","NA","NA","NA","NA","NA","NA"
"06",7,"NA","NA","NA","NA","NA","NA","NA"
"06",8,"NA","NA","NA","NA","NA","NA","NA"
"06",9,"NA","NA","NA","NA","NA","NA","NA"
"06",10,"NA","NA","NA","NA","NA","NA","NA"
"06",11,"NA","NA","NA","NA","NA","NA","NA"
"06",12,"NA","NA","NA","NA","NA","NA","NA"
"06",13,"NA","NA","NA","NA","NA","NA","NA"
"06",14,"NA","NA","NA","NA","NA","NA","NA"
"06",15,"NA","NA","NA","NA","NA","NA","NA"
"06",16,"NA","NA","NA","NA","NA","NA","NA"
"06",17,"NA","NA","NA","NA","NA","NA","NA"
"06",18,"NA","NA","NA","NA","NA","NA","NA"
"06",19,"NA","NA","NA","NA","NA","NA","NA"
"06",20,"NA","NA","NA","NA","NA","NA","NA"
"06",21,"NA","NA","NA","NA","NA","NA","NA"
"06",22,"NA","NA","NA","NA","NA","NA","NA"
"06",23,"NA","NA","NA","NA","NA","NA","NA"
"06",24,"NA","NA","NA","NA","NA","NA","NA"
"06",25,"NA","NA","NA","NA","NA","NA","NA"
"06",26,"NA","NA","NA","NA","NA","NA","NA"
"06",27,"NA","NA","NA","NA","NA","NA","NA"
"06",28,"NA","NA","NA","NA","NA","NA","NA"
"06",99,"","","","","","",""
"07",1,"0","0","0","0","0","0",""
"07",2,"NA","NA","NA","NA","NA","NA","1"
"07",3,"NA","NA","NA","NA","NA","NA","1"
"07",4,"0","0","0","0","0","0",""
"07",5,"48","27","21","0","0","0",""
"07",6,"15","9","6","0","0","0",""
"07",7,"33","13","20","0","0","0",""
"07",8,"0","0","0","0","0","0",""
"07",9,"5","4","1","0","0","0",""
