entidad,tipomate,sexodptt,sexodp1,sexodp2,sexodpna,sexoajtt,sexoaj1,sexoaj2,sexoajna
"01",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"01",99,"","","","","","","",""
"02",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"02",99,"","","","","","","",""
"03",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"03",99,"","","","","","","",""
"04",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"04",99,"","","","","","","",""
"05",1,"NA","NA","NA","1","NA","NA","NA","1"
"05",2,"NA","NA","NA","1","NA","NA","NA","1"
"05",3,"NA","NA","NA","1","NA","NA","NA","1"
"05",4,"NA","NA","NA","1","NA","NA","NA","1"
"05",5,"NA","NA","NA","1","NA","NA","NA","1"
"05",6,"NA","NA","NA","1","4","2","2",""
"05",7,"NA","NA","NA","1","NA","NA","NA","1"
"05",8,"NA","NA","NA","1","NA","NA","NA","1"
"05",9,"57","29","28","","44","14","30",""
"05",10,"NA","NA","NA","1","NA","NA","NA","1"
"05",99,"","","","","","","",""
"06",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"06",6,"NA","NA","NA","NA","NA","NA","NA","NA"
