entidad,dppasxtt,dppasx1,dppasx2,dpjosxtt,dpjosx1,dpjosx2
"01","NA","NA","NA","NA","NA","NA"
"02","NA","NA","NA","NA","NA","NA"
"03","NA","NA","NA","NA","NA","NA"
"04","NA","NA","NA","NA","NA","NA"
"05","29","12","17","0","0","0"
"06","NA","NA","NA","NA","NA","NA"
"07","15","9","6","6","5","1"
"08","118","65","53","14","3","11"
"09","NA","NA","NA","NA","NA","NA"
"10","42","33","9","4","3","1"
"11","NA","NA","NA","NA","NA","NA"
"12","42","20","22","4","1","3"
"13","NA","NA","NA","NA","NA","NA"
"14","NA","NA","NA","NA","NA","NA"
"15","NA","NA","NA","NA","NA","NA"
"16","NA","NA","NA","NA","NA","NA"
"17","NA","NA","NA","NA","NA","NA"
"18","NA","NA","NA","NA","NA","NA"
"19","NA","NA","NA","NA","NA","NA"
"20","NA","NA","NA","NA","NA","NA"
"21","NA","NA","NA","NA","NA","NA"
"22","NA","NA","NA","NA","NA","NA"
"23","NSS","NSS","NSS","NSS","NSS","NSS"
"24","NA","NA","NA","NA","NA","NA"
"25","NA","NA","NA","NA","NA","NA"
"26","NA","NA","NA","NA","NA","NA"
"27","NA","NA","NA","NA","NA","NA"
"28","NA","NA","NA","NA","NA","NA"
"29","NA","NA","NA","NA","NA","NA"
"30","0","0","0","3","1","2"
"31","NA","NA","NA","NA","NA","NA"
"32","NA","NA","NA","NA","NA","NA"
