entidad,modalcur,totalca1,no_reali
"01",1,"NA","NA"
"01",2,"NA","NA"
"01",3,"NA","NA"
"01",4,"NA","NA"
"01",5,"NA","NA"
"01",6,"NA","NA"
"02",1,"NA","NA"
"02",2,"NA","NA"
"02",3,"NA","NA"
"02",4,"NA","NA"
"02",5,"NA","NA"
"02",6,"NA","NA"
"03",1,"NA","NA"
"03",2,"NA","NA"
"03",3,"NA","NA"
"03",4,"NA","NA"
"03",5,"NA","NA"
"03",6,"NA","NA"
"04",1,"NA","NA"
"04",2,"NA","NA"
"04",3,"NA","NA"
"04",4,"NA","NA"
"04",5,"NA","NA"
"04",6,"NA","NA"
"05",1,"NA","1"
"05",2,"1",""
"05",3,"2",""
"05",4,"4",""
"05",5,"NA","1"
"05",6,"NA","1"
"06",1,"NA","NA"
"06",2,"NA","NA"
"06",3,"NA","NA"
"06",4,"NA","NA"
"06",5,"NA","NA"
"06",6,"NA","NA"
"07",1,"NA","1"
"07",2,"NA","1"
"07",3,"NA","1"
"07",4,"NA","1"
"07",5,"5",""
"07",6,"11",""
"08",1,"NSS",""
"08",2,"NSS",""
"08",3,"NSS",""
"08",4,"NSS",""
"08",5,"NSS",""
"08",6,"NSS",""
"09",1,"NA","NA"
"09",2,"NA","NA"
"09",3,"NA","NA"
"09",4,"NA","NA"
"09",5,"NA","NA"
"09",6,"NA","NA"
"10",1,"1",""
"10",2,"1",""
"10",3,"1",""
"10",4,"1",""
"10",5,"NA","1"
"10",6,"NA","1"
"11",1,"NA","NA"
"11",2,"NA","NA"
"11",3,"NA","NA"
"11",4,"NA","NA"
"11",5,"NA","NA"
"11",6,"NA","NA"
"12",1,"NA","1"
"12",2,"NA","1"
"12",3,"NA","1"
"12",4,"3",""
"12",5,"NA","1"
"12",6,"NA","1"
"13",1,"NA","NA"
"13",2,"NA","NA"
"13",3,"NA","NA"
"13",4,"NA","NA"
"13",5,"NA","NA"
"13",6,"NA","NA"
"14",1,"NA","NA"
"14",2,"NA","NA"
"14",3,"NA","NA"
"14",4,"NA","NA"
"14",5,"NA","NA"
"14",6,"NA","NA"
"15",1,"NA","NA"
"15",2,"NA","NA"
"15",3,"NA","NA"
"15",4,"NA","NA"
"15",5,"NA","NA"
"15",6,"NA","NA"
"16",1,"NA","NA"
"16",2,"NA","NA"
"16",3,"NA","NA"
"16",4,"NA","NA"
"16",5,"NA","NA"
"16",6,"NA","NA"
"17",1,"NA","NA"
"17",2,"NA","NA"
"17",3,"NA","NA"
"17",4,"NA","NA"
"17",5,"NA","NA"
"17",6,"NA","NA"
"18",1,"NA","NA"
"18",2,"NA","NA"
"18",3,"NA","NA"
"18",4,"NA","NA"
"18",5,"NA","NA"
"18",6,"NA","NA"
"19",1,"NA","NA"
"19",2,"NA","NA"
"19",3,"NA","NA"
"19",4,"NA","NA"
"19",5,"NA","NA"
"19",6,"NA","NA"
"20",1,"NA","NA"
"20",2,"NA","NA"
"20",3,"NA","NA"
"20",4,"NA","NA"
"20",5,"NA","NA"
"20",6,"NA","NA"
"21",1,"NA","NA"
"21",2,"NA","NA"
"21",3,"NA","NA"
"21",4,"NA","NA"
"21",5,"NA","NA"
"21",6,"NA","NA"
"22",1,"NA","NA"
"22",2,"NA","NA"
"22",3,"NA","NA"
"22",4,"NA","NA"
"22",5,"NA","NA"
"22",6,"NA","NA"
"23",1,"NA","1"
"23",2,"NA","1"
"23",3,"NA","1"
"23",4,"NA","1"
"23",5,"NA","1"
"23",6,"NA","1"
"24",1,"NA","NA"
"24",2,"NA","NA"
"24",3,"NA","NA"
"24",4,"NA","NA"
"24",5,"NA","NA"
"24",6,"NA","NA"
"25",1,"NA","NA"
"25",2,"NA","NA"
"25",3,"NA","NA"
"25",4,"NA","NA"
"25",5,"NA","NA"
"25",6,"NA","NA"
"26",1,"NA","NA"
"26",2,"NA","NA"
"26",3,"NA","NA"
"26",4,"NA","NA"
"26",5,"NA","NA"
"26",6,"NA","NA"
"27",1,"NA","NA"
"27",2,"NA","NA"
"27",3,"NA","NA"
"27",4,"NA","NA"
"27",5,"NA","NA"
"27",6,"NA","NA"
"28",1,"NA","NA"
"28",2,"NA","NA"
"28",3,"NA","NA"
"28",4,"NA","NA"
"28",5,"NA","NA"
"28",6,"NA","NA"
"29",1,"NA","NA"
"29",2,"NA","NA"
"29",3,"NA","NA"
"29",4,"NA","NA"
"29",5,"NA","NA"
"29",6,"NA","NA"
"30",1,"NA","1"
"30",2,"NA","1"
"30",3,"2",""
"30",4,"11",""
"30",5,"1",""
"30",6,"19",""
"31",1,"NA","NA"
"31",2,"NA","NA"
"31",3,"NA","NA"
"31",4,"NA","NA"
"31",5,"NA","NA"
"31",6,"NA","NA"
"32",1,"NA","NA"
"32",2,"NA","NA"
"32",3,"NA","NA"
"32",4,"NA","NA"
"32",5,"NA","NA"
"32",6,"NA","NA"
