entidad,delitoce,totalca1
"01",1,"469"
"01",2,"77"
"01",3,"0"
"01",4,"546"
"01",9,""
"02",1,"4902"
"02",2,"0"
"02",3,"0"
"02",4,"4902"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",4,"NSS"
"03",9,""
"04",1,"188"
"04",2,"20"
"04",3,"0"
"04",4,"208"
"04",9,""
"05",1,"6888"
"05",2,"NSS"
"05",3,"NSS"
"05",4,"6888"
"05",9,""
"06",1,"7083"
"06",2,"299"
"06",3,"0"
"06",4,"7382"
"06",9,""
"07",1,"637"
"07",2,"33"
"07",3,"0"
"07",4,"670"
"07",9,""
"08",1,"11935"
"08",2,"258"
"08",3,"NSS"
"08",4,"12193"
"08",9,""
"09",1,"0"
"09",2,"0"
"09",3,"6158"
"09",4,"6158"
"09",9,""
"10",1,"4566"
"10",2,"4"
"10",3,"0"
"10",4,"4570"
"10",9,""
"11",1,"42008"
"11",2,"364"
"11",3,"0"
"11",4,"42372"
"11",9,""
"12",1,"743"
"12",2,"0"
"12",3,"440"
"12",4,"1183"
"12",9,""
"13",1,"4909"
"13",2,"31"
"13",3,"0"
"13",4,"4940"
"13",9,""
"14",1,"1098"
"14",2,"22"
"14",3,"0"
"14",4,"1120"
"14",9,""
"15",1,"10598"
"15",2,"0"
"15",3,"0"
"15",4,"10598"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",9,""
"17",1,"NSS"
"17",2,"NSS"
"17",3,"NSS"
"17",4,"NSS"
"17",9,""
"18",1,"923"
"18",2,"20"
"18",3,"0"
"18",4,"943"
"18",9,""
"19",1,"48896"
"19",2,"0"
"19",3,"0"
"19",4,"48896"
"19",9,""
"20",1,"NSS"
"20",2,"NSS"
"20",3,"NSS"
"20",4,"NSS"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",4,"NSS"
"21",9,""
"22",1,"3010"
"22",2,"41"
"22",3,"36"
"22",4,"3087"
"22",9,""
"23",1,"1514"
"23",2,"1"
"23",3,"0"
"23",4,"1515"
"23",9,""
"24",1,"210"
"24",2,"0"
"24",3,"1"
"24",4,"211"
"24",9,""
"25",1,"879"
"25",2,"12"
"25",3,"1"
"25",4,"892"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",9,""
"27",1,"564"
"27",2,"0"
"27",3,"0"
"27",4,"564"
"27",9,""
"28",1,"480"
"28",2,"3"
"28",3,"0"
"28",4,"483"
"28",9,""
"29",1,"161"
"29",2,"5"
"29",3,"0"
"29",4,"166"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",4,"NSS"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",4,"NSS"
"31",9,""
"32",1,"269"
"32",2,"4"
"32",3,"0"
"32",4,"273"
"32",9,""
