entidad,delidete,avcidett,avcide1,avcide2
"01",1,"7495","3548","3947"
"01",2,"11","11","0"
"01",3,"0","0","0"
"02",1,"42172","4211","37961"
"02",2,"72","72","0"
"02",3,"0","0","0"
"03",1,"34312","28313","5999"
"03",2,"123","74","49"
"03",3,"398","387","11"
"04",1,"1341","130","1211"
"04",2,"40","1","39"
"04",3,"0","0","0"
"05",1,"26900","3376","23524"
"05",2,"14","8","6"
"05",3,"2917","0","2917"
"06",1,"10234","2151","8083"
"06",2,"643","284","359"
"06",3,"0","0","0"
"07",1,"3257","832","2425"
"07",2,"101","21","80"
"07",3,"0","0","0"
"08",1,"22790","NA","22790"
"08",2,"419","NA","419"
"08",3,"NSS","NA","NSS"
"09",1,"116298","27102","89196"
"09",2,"1826","890","936"
"09",3,"8916","0","8916"
"10",1,"31938","370","31568"
"10",2,"245","0","245"
"10",3,"0","0","0"
"11",1,"98798","13491","85307"
"11",2,"668","34","634"
"11",3,"0","0","0"
"12",1,"6183","4093","2090"
"12",2,"0","0","0"
"12",3,"1502","1038","464"
"13",1,"24955","17403","7552"
"13",2,"32","0","32"
"13",3,"0","0","0"
"14",1,"20174","10131","10043"
"14",2,"255","88","167"
"14",3,"0","0","0"
"15",1,"153762","NA","153762"
"15",2,"0","NA","0"
"15",3,"0","NA","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"17",1,"NSS","NSS","NSS"
"17",2,"NSS","NSS","NSS"
"17",3,"NSS","NSS","NSS"
"18",1,"4518","2893","1625"
"18",2,"63","32","31"
"18",3,"0","0","0"
"19",1,"49079","92","48987"
"19",2,"0","0","0"
"19",3,"0","0","0"
"20",1,"NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS"
"22",1,"38141","10293","27848"
"22",2,"301","96","205"
"22",3,"2450","0","2450"
"23",1,"8914","4588","4326"
"23",2,"NSS","NSS","NSS"
"23",3,"NSS","NSS","0"
"24",1,"NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS"
"24",3,"2510","2401","109"
"25",1,"20293","15574","4719"
"25",2,"107","75","32"
"25",3,"2027","1439","588"
"26",1,"NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS"
"27",1,"18054","536","17518"
"27",2,"0","0","0"
"27",3,"0","0","0"
"28",1,"20109","2546","17563"
"28",2,"73","37","36"
"28",3,"0","0","0"
"29",1,"1671","1324","347"
"29",2,"0","0","0"
"29",3,"0","0","0"
"30",1,"14783","2217","12566"
"30",2,"107","21","86"
"30",3,"2442","325","2117"
"31",1,"16461","0","16461"
"31",2,"0","0","0"
"31",3,"398","0","398"
"32",1,"4692","210","4482"
"32",2,"44","3","41"
"32",3,"0","0","0"
