entidad,delicoan,tdelcoan
"01",1,"43"
"01",2,"12"
"01",3,"55"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",9,""
"03",1,"82"
"03",2,"24"
"03",3,"106"
"03",9,""
"04",1,"NSS"
"04",2,"0"
"04",3,"NSS"
"04",9,""
"05",1,"14"
"05",2,"0"
"05",3,"14"
"05",9,""
"06",1,"3"
"06",2,"12"
"06",3,"15"
"06",9,""
"07",1,"49"
"07",2,"0"
"07",3,"49"
"07",9,""
"08",1,"419"
"08",2,"0"
"08",3,"419"
"08",9,""
"09",1,"675"
"09",2,"51"
"09",3,"726"
"09",9,""
"10",1,"121"
"10",2,"15"
"10",3,"136"
"10",9,""
"11",1,"2769"
"11",2,"120"
"11",3,"2889"
"11",9,""
"12",1,"0"
"12",2,"12"
"12",3,"12"
"12",9,""
"13",1,"79"
"13",2,"1"
"13",3,"80"
"13",9,""
"14",1,"5460"
"14",2,"0"
"14",3,"5460"
"14",9,""
"15",1,"399"
"15",2,"3"
"15",3,"402"
"15",9,""
"16",1,"321"
"16",2,"6"
"16",3,"327"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",9,""
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",9,""
"19",1,"1602"
"19",2,"36"
"19",3,"1638"
"19",9,""
"20",1,"279"
"20",2,"28"
"20",3,"307"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",9,""
"22",1,"412"
"22",2,"NA"
"22",3,"412"
"22",9,""
"23",1,"147"
"23",2,"16"
"23",3,"163"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",9,""
"26",1,"965"
"26",2,"0"
"26",3,"965"
"26",9,""
"27",1,"NA"
"27",2,"NA"
"27",3,"NA"
"27",9,""
"28",1,"159"
"28",2,"5"
"28",3,"164"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"64"
"30",2,"14"
"30",3,"78"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"164"
"31",9,"164"
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",9,""
