entidad,delicoan,tdelcoan
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",9,""
"03",1,"3"
"03",2,"2"
"03",3,"5"
"03",9,""
"04",1,"7"
"04",2,"0"
"04",3,"7"
"04",9,""
"05",1,"6"
"05",2,"0"
"05",3,"6"
"05",9,""
"06",1,"NSS"
"06",2,"NSS"
"06",3,"NSS"
"06",9,""
"07",1,"2"
"07",2,"0"
"07",3,"2"
"07",9,""
"08",1,"5"
"08",2,"0"
"08",3,"5"
"08",9,""
"09",1,"10"
"09",2,"0"
"09",3,"10"
"09",9,""
"10",1,"82"
"10",2,"3"
"10",3,"85"
"10",9,""
"11",1,"99"
"11",2,"5"
"11",3,"104"
"11",9,""
"12",1,"NA"
"12",2,"5"
"12",3,"5"
"12",9,""
"13",1,"15"
"13",2,"0"
"13",3,"15"
"13",9,""
"14",1,"NSS"
"14",2,"0"
"14",3,"NSS"
"14",9,""
"15",1,"NSS"
"15",2,"NSS"
"15",3,"NSS"
"15",9,""
"16",1,"20"
"16",2,"0"
"16",3,"20"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",9,""
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",9,""
"19",1,"NSS"
"19",2,"NSS"
"19",3,"NSS"
"19",9,""
"20",1,"10"
"20",2,"1"
"20",3,"11"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",9,""
"22",1,"0"
"22",2,"NA"
"22",3,"0"
"22",9,""
"23",1,"0"
"23",2,"0"
"23",3,"0"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",9,""
"26",1,"125"
"26",2,"0"
"26",3,"125"
"26",9,""
"27",1,"NA"
"27",2,"NA"
"27",3,"NA"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",9,""
"30",1,"4"
"30",2,"0"
"30",3,"4"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"32"
"31",9,"32"
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",9,""
