entidad,delitos,apcicttt,apcict1,apcict2,apcict4,apcict5
"18",70102,"NSS","0","0","NSS","0"
"18",70103,"NSS","0","0","NSS","0"
"18",70104,"NSS","0","0","NSS","0"
"18",70109,"NSS","0","0","NSS","0"
"18",70199,"184","","","184",""
"18",70200,"NA","NA","NA","NA","NA"
"18",70201,"NA","NA","NA","NA","NA"
"18",70202,"NA","NA","NA","NA","NA"
"18",70203,"NA","NA","NA","NA","NA"
"18",70204,"NA","NA","NA","NA","NA"
"18",70205,"NA","NA","NA","NA","NA"
"18",70206,"NA","NA","NA","NA","NA"
"18",70209,"NA","NA","NA","NA","NA"
"18",70299,"","","","",""
"18",70300,"3","0","0","3","0"
"18",70400,"51","36","0","15","0"
"18",70500,"NA","NA","NA","NA","NA"
"18",70600,"NA","NA","NA","NA","NA"
"18",70900,"NSS","NSS","0","NSS","0"
"18",80100,"6","3","0","3","0"
"18",80101,"1","1","0","0","0"
"18",80102,"0","0","0","0","0"
"18",80103,"5","2","0","3","0"
"18",80104,"0","0","0","0","0"
"18",80105,"0","0","0","0","0"
"18",80106,"0","0","0","0","0"
"18",80107,"0","0","0","0","0"
"18",80109,"0","0","0","0","0"
"18",80199,"","","","",""
"18",80200,"4","3","0","1","0"
"18",80201,"NA","NA","NA","NA","NA"
"18",80209,"4","3","0","1","0"
"18",80299,"","","","",""
"18",80300,"0","0","0","0","0"
"18",80400,"0","0","0","0","0"
"18",80900,"0","0","0","0","0"
"18",90100,"115","92","0","23","0"
"18",90200,"13","7","0","6","0"
"18",90300,"9","9","0","NSS","0"
"18",90400,"22","20","0","2","0"
"18",90500,"3","1","0","2","0"
"18",90501,"NSS","NSS","0","NSS","0"
"18",90502,"NSS","NSS","0","NSS","0"
"18",90503,"NSS","NSS","0","NSS","0"
"18",90509,"NSS","NSS","0","NSS","0"
"18",90599,"3","1","","2",""
"18",90600,"NSS","NSS","0","NSS","0"
"18",90700,"NA","NA","NA","NA","NA"
"18",90701,"NA","NA","NA","NA","NA"
"18",90709,"NA","NA","NA","NA","NA"
"18",90799,"","","","",""
"18",90800,"NA","NA","NA","NA","NA"
"18",90900,"NSS","NSS","0","NSS","0"
"18",91000,"NSS","NSS","0","NSS","0"
"18",91100,"1","1","0","NSS","0"
"18",91200,"28","10","0","18","0"
"18",91300,"NSS","NSS","0","NSS","0"
"18",91400,"NSS","NSS","0","NSS","0"
"18",91500,"NSS","NSS","0","NSS","0"
"18",91600,"NSS","NSS","0","NSS","0"
"18",91900,"NSS","NSS","0","NSS","0"
"18",999999,"259","180","","79",""
"19",10100,"1171","2","0","1169","0"
"19",10200,"3","0","0","3","0"
"19",10300,"47","0","0","47","0"
"19",10400,"8507","7","0","8500","0"
"19",10900,"100","0","0","100","0"
"19",20100,"450","9","0","441","0"
"19",20200,"0","0","0","0","0"
"19",20300,"1832","0","0","1832","0"
"19",20400,"154","0","0","154","0"
"19",20500,"7","0","0","7","0"
"19",20600,"27","0","0","27","0"
"19",20601,"27","NA","NA","27","0"
"19",20602,"0","NA","NA","0","0"
"19",20603,"0","NA","NA","0","0"
"19",20604,"0","NA","NA","0","0"
"19",20609,"0","NA","NA","0","0"
"19",20699,"","","","",""
"19",20900,"0","0","0","0","0"
"19",30100,"0","0","0","0","0"
"19",30200,"0","0","0","0","0"
"19",30300,"26","0","0","26","0"
"19",30400,"676","4","0","672","0"
"19",30500,"235","8","0","227","0"
"19",30600,"221","2","0","219","0"
"19",30700,"2","0","0","2","0"
"19",30900,"959","2","0","957","0"
"19",40100,"19000","13","0","18987","0"
"19",40101,"3536","6","0","3530","0"
"19",40102,"3446","0","0","3446","0"
"19",40103,"2958","2","0","2956","0"
"19",40104,"0","0","0","0","0"
"19",40105,"2059","1","0","2058","0"
"19",40106,"743","1","0","742","0"
"19",40107,"0","0","0","0","0"
"19",40108,"1180","0","0","1180","0"
"19",40109,"18","0","0","18","0"
"19",40110,"19","0","0","19","0"
"19",40111,"5","0","0","5","0"
"19",40112,"47","0","0","47","0"
"19",40113,"4519","3","0","4516","0"
"19",40114,"206","0","0","206","0"
"19",40115,"20","0","0","20","0"
"19",40116,"0","0","0","0","0"
"19",40119,"244","0","0","244","0"
"19",40199,"","","","",""
"19",40200,"0","0","0","0","0"
"19",40300,"5911","47","0","5864","0"
"19",40400,"1003","3","0","1000","0"
"19",40500,"626","0","0","626","0"
"19",40501,"0","NA","NA","0","0"
"19",40509,"626","NA","NA","626","0"
"19",40599,"","","","",""
"19",40600,"9264","4","0","9260","0"
"19",40700,"845","21","0","824","0"
"19",40900,"75","0","0","75","0"
"19",50100,"17773","4","0","17769","0"
"19",50200,"578","8","0","570","0"
"19",50900,"3644","0","0","3644","0"
"19",60100,"192","0","0","192","0"
"19",60101,"157","NA","NA","157","0"
"19",60102,"0","NA","NA","0","0"
"19",60103,"33","NA","NA","33","0"
"19",60104,"2","NA","NA","2","0"
"19",60105,"0","NA","NA","0","0"
"19",60106,"0","NA","NA","0","0"
"19",60109,"0","NA","NA","0","0"
"19",60199,"","","","",""
"19",60200,"6","0","0","6","0"
"19",60201,"2","NA","NA","2","0"
"19",60202,"0","NA","NA","0","0"
"19",60203,"0","NA","NA","0","0"
