entidad,delconsu,acdecttt,acdect1,acdect2,acdect3,acdect4,acdect5
"01",10101,"0","0","0","","0","0"
"01",40102,"0","0","0","","0","0"
"01",40103,"0","0","0","","0","0"
"01",40104,"0","0","0","","0","0"
"01",40105,"0","0","0","","0","0"
"01",40106,"0","0","0","","0","0"
"01",40108,"0","0","0","","0","0"
"01",40109,"0","0","0","","0","0"
"01",40110,"0","0","0","","0","0"
"01",40111,"0","0","0","","0","0"
"01",40112,"0","0","0","","0","0"
"01",40113,"0","0","0","","0","0"
"01",40114,"0","0","0","","0","0"
"01",40115,"0","0","0","","0","0"
"01",40119,"6","0","0","6","0","0"
"02",10101,"199","73","10","","116","0"
"02",40102,"157","9","0","","148","0"
"02",40103,"255","0","0","","255","0"
"02",40104,"0","0","0","","0","0"
"02",40105,"1221","153","2","","1066","0"
"02",40106,"23","0","0","","23","0"
"02",40108,"4","0","0","","4","0"
"02",40109,"0","0","0","","0","0"
"02",40110,"11","0","0","","11","0"
"02",40111,"1","0","0","","1","0"
"02",40112,"0","0","0","","0","0"
"02",40113,"1647","132","0","","1515","0"
"02",40114,"0","0","0","","0","0"
"02",40115,"0","0","0","","0","0"
"02",40119,"0","0","0","","0","0"
"03",10101,"NSS","NSS","NSS","","NSS","NSS"
"03",40102,"NSS","NSS","NSS","","NSS","NSS"
"03",40103,"NSS","NSS","0","","NSS","0"
"03",40104,"0","0","0","","0","0"
"03",40105,"0","0","0","","0","0"
"03",40106,"0","0","0","","0","0"
"03",40108,"0","0","0","","0","0"
"03",40109,"0","0","0","","0","0"
"03",40110,"0","0","0","","0","0"
"03",40111,"0","0","0","","0","0"
"03",40112,"0","0","0","","0","0"
"03",40113,"2","2","0","","NSS","0"
"03",40114,"NSS","0","0","","NSS","0"
"03",40115,"0","0","0","","0","0"
"03",40119,"NSS","NSS","0","","NSS","NSS"
"04",10101,"8","1","0","","5","2"
"04",40102,"6","6","0","","0","0"
"04",40103,"3","3","0","","0","0"
"04",40104,"0","0","0","","0","0"
"04",40105,"38","6","0","","31","1"
"04",40106,"3","0","0","","3","0"
"04",40108,"0","0","0","","0","0"
"04",40109,"4","0","0","","4","0"
"04",40110,"1","0","0","","1","0"
"04",40111,"0","0","0","","0","0"
"04",40112,"0","0","0","","0","0"
"04",40113,"46","6","0","","40","0"
"04",40114,"0","0","0","","0","0"
"04",40115,"0","0","0","","0","0"
"04",40119,"0","0","0","","0","0"
"05",10101,"208","50","2","","155","1"
"05",40102,"568","22","0","","546","0"
"05",40103,"106","8","0","","98","0"
"05",40104,"0","0","0","","0","0"
"05",40105,"728","14","0","","712","2"
"05",40106,"0","0","0","","0","0"
"05",40108,"0","0","0","","0","0"
"05",40109,"0","0","0","","0","0"
"05",40110,"0","0","0","","0","0"
"05",40111,"0","0","0","","0","0"
"05",40112,"1","0","0","","1","0"
"05",40113,"877","36","1","","840","0"
"05",40114,"0","0","0","","0","0"
"05",40115,"0","0","0","","0","0"
"05",40119,"0","0","0","","0","0"
"06",10101,"109","89","20","","0","0"
"06",40102,"3285","536","186","","2462","101"
"06",40103,"2068","356","54","","1651","7"
"06",40104,"0","0","0","","0","0"
"06",40105,"150","36","0","","114","0"
"06",40106,"316","10","0","","306","0"
"06",40108,"0","0","0","","0","0"
"06",40109,"0","0","0","","0","0"
"06",40110,"0","0","0","","0","0"
"06",40111,"0","0","0","","0","0"
"06",40112,"0","0","0","","0","0"
"06",40113,"863","125","0","","733","5"
"06",40114,"13","2","0","","9","2"
"06",40115,"0","0","0","","0","0"
"06",40119,"137","26","0","","74","37"
"07",10101,"134","11","11","","84","28"
"07",40102,"99","27","2","","69","1"
"07",40103,"58","13","0","","45","0"
"07",40104,"7","4","0","","3","0"
"07",40105,"155","29","0","","121","5"
"07",40106,"8","0","0","","7","1"
"07",40108,"10","0","0","","8","2"
"07",40109,"9","5","0","","4","0"
"07",40110,"3","1","0","","1","1"
"07",40111,"3","0","0","","3","0"
"07",40112,"2","0","0","","2","0"
"07",40113,"111","9","0","","95","7"
"07",40114,"22","15","0","","7","0"
"07",40115,"0","0","0","","0","0"
"07",40119,"54","16","0","","34","4"
"08",10101,"213","NA","NA","","194","19"
"08",40102,"75","NA","NA","","66","9"
