entidad,delicoan,totalca1
"01",1,"2676"
"01",2,"0"
"01",3,"2676"
"01",9,""
"02",1,"15108"
"02",2,"0"
"02",3,"15108"
"02",9,""
"03",1,"1693"
"03",2,"9"
"03",3,"1702"
"03",9,""
"04",1,"2679"
"04",2,"0"
"04",3,"2679"
"04",9,""
"05",1,"5418"
"05",2,"0"
"05",3,"5418"
"05",9,""
"06",1,"1643"
"06",2,"0"
"06",3,"1643"
"06",9,""
"07",1,"25785"
"07",2,"62"
"07",3,"25847"
"07",9,""
"08",1,"20486"
"08",2,"26"
"08",3,"20512"
"08",9,""
"09",1,"6425"
"09",2,"233"
"09",3,"6658"
"09",9,""
"10",1,"4192"
"10",2,"86"
"10",3,"4278"
"10",9,""
"11",1,"39075"
"11",2,"NA"
"11",3,"39075"
"11",9,""
"12",1,"1133"
"12",2,"0"
"12",3,"1133"
"12",9,""
"13",1,"3695"
"13",2,"66"
"13",3,"3761"
"13",9,""
"14",1,"8437"
"14",2,"56"
"14",3,"8493"
"14",9,""
"15",1,"3787"
"15",2,"0"
"15",3,"3787"
"15",9,""
"16",1,"3630"
"16",2,"0"
"16",3,"3630"
"16",9,""
"17",1,"4868"
"17",2,"0"
"17",3,"4868"
"17",9,""
"18",1,"5898"
"18",2,"10"
"18",3,"5908"
"18",9,""
"19",1,"19551"
"19",2,"207"
"19",3,"19758"
"19",9,""
"20",1,"9399"
"20",2,"84"
"20",3,"9483"
"20",9,""
"21",1,"9722"
"21",2,"0"
"21",3,"9722"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",9,""
"23",1,"1981"
"23",2,"69"
"23",3,"2050"
"23",9,""
"24",1,"4928"
"24",2,"213"
"24",3,"5141"
"24",9,""
"25",1,"4429"
"25",2,"69"
"25",3,"4498"
"25",9,""
"26",1,"1961"
"26",2,"76"
"26",3,"2037"
"26",9,""
"27",1,"4759"
"27",2,"0"
"27",3,"4759"
"27",9,""
"28",1,"8832"
"28",2,"NSS"
"28",3,"8832"
"28",9,""
"29",1,"3040"
"29",2,"0"
"29",3,"3040"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"2470"
"31",2,"20"
"31",3,"2490"
"31",9,""
"32",1,"4095"
"32",2,"226"
"32",3,"4321"
"32",9,""
