entidad,delconsu,apcicttt,apcict1,apcict2,apcict4,apcict5
"01",10101,"39","16","0","23","0"
"01",40102,"43","16","0","27","0"
"01",40103,"54","18","0","36","0"
"01",40104,"0","0","0","0","0"
"01",40105,"494","212","0","282","0"
"01",40106,"0","0","0","0","0"
"01",40108,"0","0","0","0","0"
"01",40109,"15","0","0","15","0"
"01",40110,"2","2","0","0","0"
"01",40111,"19","13","0","6","0"
"01",40112,"1","1","0","0","0"
"01",40113,"178","76","0","102","0"
"01",40114,"0","0","0","0","0"
"01",40115,"0","0","0","0","0"
"01",40119,"15","15","0","0","0"
"01",99999,"","","","",""
"02",10101,"1218","385","40","793","0"
"02",40102,"513","148","0","365","0"
"02",40103,"787","0","0","787","0"
"02",40104,"0","0","0","0","0"
"02",40105,"2988","791","3","2194","0"
"02",40106,"52","0","0","52","0"
"02",40108,"10","0","0","10","0"
"02",40109,"0","0","0","0","0"
"02",40110,"33","0","0","33","0"
"02",40111,"7","0","0","7","0"
"02",40112,"0","0","0","0","0"
"02",40113,"4420","831","0","3589","0"
"02",40114,"0","0","0","0","0"
"02",40115,"0","0","0","0","0"
"02",40119,"0","0","0","0","0"
"02",99999,"","","","",""
"03",10101,"216","10","0","182","24"
"03",40102,"2","0","0","2","0"
"03",40103,"1","0","0","1","0"
"03",40104,"0","0","0","0","0"
"03",40105,"1","1","0","0","0"
"03",40106,"0","0","0","0","0"
"03",40108,"0","0","0","0","0"
"03",40109,"0","0","0","0","0"
"03",40110,"0","0","0","0","0"
"03",40111,"0","0","0","0","0"
"03",40112,"0","0","0","0","0"
"03",40113,"3","2","0","1","0"
"03",40114,"0","0","0","0","0"
"03",40115,"0","0","0","0","0"
"03",40119,"815","188","1","607","19"
"03",99999,"","","","",""
"04",10101,"87","15","0","64","8"
"04",40102,"4","0","0","4","0"
"04",40103,"0","0","0","0","0"
"04",40104,"0","0","0","0","0"
"04",40105,"56","18","0","38","0"
"04",40106,"0","0","0","0","0"
"04",40108,"0","0","0","0","0"
"04",40109,"3","0","0","3","0"
"04",40110,"1","0","0","1","0"
"04",40111,"8","0","0","8","0"
"04",40112,"0","0","0","0","0"
"04",40113,"32","7","0","25","0"
"04",40114,"0","0","0","0","0"
"04",40115,"0","0","0","0","0"
"04",40119,"27","8","0","19","0"
"04",99999,"","","","",""
"05",10101,"234","54","0","180","0"
"05",40102,"68","10","0","58","0"
"05",40103,"229","115","0","114","0"
"05",40104,"17","0","0","17","0"
"05",40105,"668","100","0","568","0"
"05",40106,"28","0","0","28","0"
"05",40108,"0","0","0","0","0"
"05",40109,"4","0","0","4","0"
"05",40110,"2","0","0","2","0"
"05",40111,"7","0","0","7","0"
"05",40112,"16","0","0","16","0"
"05",40113,"422","51","0","371","0"
"05",40114,"0","0","0","0","0"
"05",40115,"0","0","0","0","0"
"05",40119,"0","0","0","0","0"
"05",99999,"","","","",""
"06",10101,"431","59","12","300","60"
"06",40102,"827","536","291","0","0"
"06",40103,"1516","356","2","1151","7"
"06",40104,"0","0","0","0","0"
"06",40105,"150","36","0","114","0"
"06",40106,"334","28","0","306","0"
"06",40108,"0","0","0","0","0"
"06",40109,"0","0","0","0","0"
"06",40110,"0","0","0","0","0"
"06",40111,"0","0","0","0","0"
"06",40112,"0","0","0","0","0"
"06",40113,"865","125","2","733","5"
"06",40114,"14","2","1","9","2"
"06",40115,"0","0","0","0","0"
"06",40119,"1358","226","21","1074","37"
"06",99999,"","","","",""
"07",10101,"598","39","13","429","117"
"07",40102,"1144","39","3","1078","24"
"07",40103,"997","55","0","930","12"
"07",40104,"27","4","0","23","0"
"07",40105,"1254","41","0","1185","28"
"07",40106,"82","0","0","79","3"
"07",40108,"99","0","0","93","6"
"07",40109,"28","5","0","23","0"
"07",40110,"41","1","0","37","3"
"07",40111,"46","0","0","45","1"
"07",40112,"6","0","0","6","0"
"07",40113,"1043","16","0","1010","17"
"07",40114,"97","33","0","64","0"
"07",40115,"12","0","0","12","0"
"07",40119,"870","70","0","780","20"
"07",99999,"","","","",""
"08",10101,"1290","NA","NA","1232","58"
"08",40102,"145","NA","NA","134","11"
"08",40103,"539","NA","NA","518","21"
"08",40104,"1","NA","NA","1","0"
"08",40105,"437","NA","NA","402","35"
"08",40106,"0","NA","NA","0","0"
"08",40108,"8","NA","NA","7","1"
"08",40109,"0","NA","NA","0","0"
