entidad,ubic_geo,delitos,totalca1
"03","03008",40109,"0"
"03","03008",40110,"0"
"03","03008",40111,"0"
"03","03008",40112,"0"
"03","03008",40113,"1"
"03","03008",40114,"10"
"03","03008",40115,"0"
"03","03008",40116,"1"
"03","03008",40119,"980"
"03","03008",40199,""
"03","03008",40200,"0"
"03","03008",40300,"300"
"03","03008",40400,"149"
"03","03008",40500,"54"
"03","03008",40501,"NSS"
"03","03008",40509,"NSS"
"03","03008",40599,""
"03","03008",40600,"829"
"03","03008",40700,"220"
"03","03008",40900,"29"
"03","03008",50100,"1115"
"03","03008",50200,"381"
"03","03008",50900,"74"
"03","03008",60100,"7"
"03","03008",60101,"6"
"03","03008",60102,"0"
"03","03008",60103,"0"
"03","03008",60104,"1"
"03","03008",60105,"0"
"03","03008",60106,"0"
"03","03008",60109,"0"
"03","03008",60199,""
"03","03008",60200,"1"
"03","03008",60201,"1"
"03","03008",60202,"0"
"03","03008",60203,"0"
"03","03008",60209,"0"
"03","03008",60299,""
"03","03008",60300,"1"
"03","03008",60400,"12"
"03","03008",60900,"0"
"03","03008",70100,"123"
"03","03008",70101,"87"
"03","03008",70102,"36"
"03","03008",70103,"0"
"03","03008",70104,"0"
"03","03008",70109,"0"
"03","03008",70199,""
"03","03008",70200,"0"
"03","03008",70201,"0"
"03","03008",70202,"0"
"03","03008",70203,"0"
"03","03008",70204,"0"
"03","03008",70205,"0"
"03","03008",70206,"0"
"03","03008",70209,"0"
"03","03008",70299,""
"03","03008",70300,"0"
"03","03008",70400,"2"
"03","03008",70500,"0"
"03","03008",70600,"0"
"03","03008",70900,"0"
"03","03008",80100,"62"
"03","03008",80101,"3"
"03","03008",80102,"56"
"03","03008",80103,"3"
"03","03008",80104,"0"
"03","03008",80105,"0"
"03","03008",80106,"0"
"03","03008",80107,"0"
"03","03008",80109,"0"
"03","03008",80199,""
"03","03008",80200,"2"
"03","03008",80201,"0"
"03","03008",80209,"2"
"03","03008",80299,""
"03","03008",80300,"0"
"03","03008",80400,"0"
"03","03008",80900,"0"
"03","03008",90100,"527"
"03","03008",90200,"75"
"03","03008",90300,"8"
"03","03008",90400,"70"
"03","03008",90500,"0"
"03","03008",90501,"0"
"03","03008",90502,"0"
"03","03008",90503,"0"
"03","03008",90509,"0"
