entidad,delitos,delregtt,delreg1,delreg2
"21",90503,"NSS","NSS","NSS"
"21",90509,"NSS","NSS","NSS"
"21",90599,"","",""
"21",90600,"NSS","NSS","NSS"
"21",90700,"0","0","0"
"21",90701,"0","0","0"
"21",90709,"0","0","0"
"21",90799,"","",""
"21",90800,"0","0","0"
"21",90900,"NSS","NSS","NSS"
"21",91000,"NSS","NSS","NSS"
"21",91100,"NSS","NSS","NSS"
"21",91200,"NSS","NSS","NSS"
"21",91300,"NSS","NSS","NSS"
"21",91400,"NSS","NSS","NSS"
"21",91500,"NSS","NSS","NSS"
"21",91600,"NSS","NSS","NSS"
"21",91900,"NSS","NSS","NSS"
"21",999999,"","",""
"22",10100,"59","51","8"
"22",10200,"0","0","0"
"22",10300,"0","0","0"
"22",10400,"722","721","1"
"22",10900,"11","11","0"
"22",20100,"0","0","0"
"22",20200,"0","0","0"
"22",20300,"2","2","0"
"22",20400,"0","0","0"
"22",20500,"0","0","0"
"22",20600,"2","2","0"
"22",20601,"2","2","0"
"22",20602,"0","0","0"
"22",20603,"0","0","0"
"22",20604,"0","0","0"
"22",20609,"0","0","0"
"22",20699,"","",""
"22",20900,"0","0","0"
"22",30100,"35","35","0"
"22",30200,"2","2","0"
"22",30300,"0","0","0"
"22",30400,"20","18","2"
"22",30500,"6","6","0"
"22",30600,"0","0","0"
"22",30700,"0","0","0"
"22",30900,"0","0","0"
"22",40100,"535","505","30"
"22",40101,"26","26","0"
"22",40102,"47","41","6"
"22",40103,"54","52","2"
"22",40104,"8","8","0"
"22",40105,"56","53","3"
"22",40106,"0","0","0"
"22",40107,"0","0","0"
"22",40108,"1","1","0"
"22",40109,"2","2","0"
"22",40110,"8","8","0"
"22",40111,"0","0","0"
"22",40112,"0","0","0"
"22",40113,"94","89","5"
"22",40114,"23","21","2"
"22",40115,"0","0","0"
"22",40116,"0","0","0"
"22",40119,"216","204","12"
"22",40199,"","",""
"22",40200,"0","0","0"
"22",40300,"120","120","0"
"22",40400,"62","62","0"
"22",40500,"0","0","0"
"22",40501,"0","0","0"
"22",40509,"0","0","0"
"22",40599,"","",""
"22",40600,"681","681","0"
"22",40700,"47","47","0"
"22",40900,"1","1","0"
"22",50100,"26","26","0"
"22",50200,"83","83","0"
"22",50900,"1","1","0"
"22",60100,"0","0","0"
"22",60101,"0","0","0"
"22",60102,"0","0","0"
"22",60103,"0","0","0"
"22",60104,"0","0","0"
"22",60105,"0","0","0"
"22",60106,"0","0","0"
"22",60109,"0","0","0"
"22",60199,"","",""
"22",60200,"0","0","0"
"22",60201,"0","0","0"
"22",60202,"0","0","0"
"22",60203,"0","0","0"
"22",60209,"0","0","0"
"22",60299,"","",""
"22",60300,"0","0","0"
"22",60400,"0","0","0"
"22",60900,"17","17","0"
"22",70100,"148","148","0"
"22",70101,"134","134","0"
"22",70102,"14","14","0"
"22",70103,"0","0","0"
"22",70104,"0","0","0"
"22",70109,"0","0","0"
"22",70199,"","",""
"22",70200,"0","0","0"
"22",70201,"0","0","0"
"22",70202,"0","0","0"
"22",70203,"0","0","0"
"22",70204,"0","0","0"
"22",70205,"0","0","0"
"22",70206,"0","0","0"
"22",70209,"0","0","0"
"22",70299,"","",""
"22",70300,"0","0","0"
"22",70400,"7","7","0"
"22",70500,"0","0","0"
"22",70600,"0","0","0"
"22",70900,"0","0","0"
"22",80100,"2","2","0"
"22",80101,"0","0","0"
"22",80102,"1","1","0"
"22",80103,"0","0","0"
"22",80104,"0","0","0"
"22",80105,"0","0","0"
"22",80106,"0","0","0"
"22",80107,"0","0","0"
"22",80109,"1","1","0"
"22",80199,"","",""
"22",80200,"0","0","0"
"22",80201,"0","0","0"
"22",80209,"0","0","0"
"22",80299,"","",""
"22",80300,"0","0","0"
"22",80400,"0","0","0"
"22",80900,"14","14","0"
"22",90100,"373","373","0"
"22",90200,"30","30","0"
"22",90300,"0","0","0"
"22",90400,"3","3","0"
"22",90500,"0","0","0"
"22",90501,"0","0","0"
"22",90502,"0","0","0"
"22",90503,"0","0","0"
"22",90509,"0","0","0"
"22",90599,"","",""
"22",90600,"0","0","0"
"22",90700,"0","0","0"
"22",90701,"0","0","0"
"22",90709,"0","0","0"
"22",90799,"","",""
"22",90800,"0","0","0"
"22",90900,"0","0","0"
"22",91000,"0","0","0"
"22",91100,"0","0","0"
"22",91200,"0","0","0"
"22",91300,"0","0","0"
"22",91400,"0","0","0"
"22",91500,"0","0","0"
"22",91600,"0","0","0"
"22",91900,"42","42","0"
"22",999999,"","",""
"23",10100,"NSS","NSS","NSS"
"23",10200,"NSS","NSS","NSS"
"23",10300,"NSS","NSS","NSS"
"23",10400,"NSS","NSS","NSS"
"23",10900,"NSS","NSS","NSS"
"23",20100,"NSS","NSS","NSS"
"23",20200,"NSS","NSS","NSS"
"23",20300,"NSS","NSS","NSS"
"23",20400,"NSS","NSS","NSS"
"23",20500,"NSS","NSS","NSS"
"23",20600,"NSS","NSS","NSS"
"23",20601,"NSS","NSS","NSS"
"23",20602,"NSS","NSS","NSS"
"23",20603,"NSS","NSS","NSS"
"23",20604,"NSS","NSS","NSS"
"23",20609,"NSS","NSS","NSS"
"23",20699,"","",""
"23",20900,"NSS","NSS","NSS"
"23",30100,"NSS","NSS","NSS"
"23",30200,"NSS","NSS","NSS"
"23",30300,"NSS","NSS","NSS"
