entidad,sensistt,sensis1,sensis2,sensis3,sensis4,sensis5,sensis6,sensis7,sensis8
"01","182","151","14","4","NSS","12","1","NSS","NSS"
"02","2096","1971","97","NSS","NSS","28","NSS","NSS","0"
"03","21","NSS","NSS","19","0","NSS","NSS","2","0"
"04","47","21","NSS","23","NSS","3","NSS","NSS","NSS"
"05","229","154","10","27","2","28","5","3","0"
"06","13","8","2","0","0","3","0","0","0"
"07","382","204","14","55","4","89","6","10","0"
"08","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09","8352","6792","652","304","20","511","73","0","0"
"10","590","241","18","246","21","49","4","11","0"
"12","359","225","19","22","2","71","12","8","0"
"13","1306","866","119","71","11","192","30","17","NSS"
"14","1861","1498","111","29","0","206","15","2","0"
"15","1578","NSS","NSS","1437","130","NSS","NSS","11","0"
"16","566","362","30","49","3","66","10","41","5"
"17","244","0","0","161","21","0","0","62","NSS"
"18","548","156","10","329","24","26","2","1","0"
"19","252","113","4","3","NSS","126","6","0","0"
"20","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"21","729","619","47","10","2","48","1","2","0"
"22","256","194","14","23","0","22","2","1","NSS"
"23","126","22","3","83","2","5","0","10","1"
"24","1051","800","43","14","1","167","21","5","0"
"25","645","363","28","3","NSS","233","18","NSS","NSS"
"26","1975","1537","72","232","16","112","6","0","0"
"27","322","243","8","19","9","36","2","3","2"
"28","218","168","6","0","0","42","2","0","0"
"29","634","333","46","0","0","227","28","0","0"
"30","241","138","14","33","3","42","9","2","0"
"31","210","5","0","185","14","0","0","6","0"
"32","759","449","103","123","8","53","9","14","0"
