entidad,delitos,acdecttt,acdect1,acdect2,acdect3,acdect4,acdect5,acdect6
"17",90200,"NSS","NSS","NSS","","NSS","NSS",""
"17",90300,"NSS","NSS","NSS","","NSS","NSS",""
"17",90400,"NSS","NSS","NSS","","NSS","NSS",""
"17",90500,"NSS","NSS","NSS","","NSS","NSS",""
"17",90501,"NSS","NSS","NSS","","NSS","NSS",""
"17",90502,"NSS","NSS","NSS","","NSS","NSS",""
"17",90503,"NSS","NSS","NSS","","NSS","NSS",""
"17",90509,"NSS","NSS","NSS","","NSS","NSS",""
"17",90599,"","","","","","",""
"17",90600,"NSS","NSS","NSS","","NSS","NSS",""
"17",90700,"NSS","NSS","NSS","","NSS","NSS",""
"17",90701,"NSS","NSS","NSS","","NSS","NSS",""
"17",90709,"NSS","NSS","NSS","","NSS","NSS",""
"17",90799,"","","","","","",""
"17",90800,"NSS","NSS","NSS","","NSS","NSS",""
"17",90900,"NSS","NSS","NSS","","NSS","NSS",""
"17",91000,"NSS","NSS","NSS","","NSS","NSS",""
"17",91100,"NSS","NSS","NSS","","NSS","NSS",""
"17",91200,"NSS","NSS","NSS","","NSS","NSS",""
"17",91300,"NSS","NSS","NSS","","NSS","NSS",""
"17",91400,"NSS","NSS","NSS","","NSS","NSS",""
"17",91500,"NSS","NSS","NSS","","NSS","NSS",""
"17",91600,"NSS","NSS","NSS","","NSS","NSS",""
"17",91900,"NSS","NSS","NSS","","NSS","NSS",""
"17",999999,"","","","","","",""
"18",10100,"149","87","2","","60","0",""
"18",10200,"0","0","0","","0","0",""
"18",10300,"1","1","0","","0","0",""
"18",10400,"369","264","0","","105","0",""
"18",10900,"3","3","0","","0","0",""
"18",20100,"12","8","0","","4","0",""
"18",20200,"0","0","0","","0","0",""
"18",20300,"17","8","0","","9","0",""
"18",20400,"0","0","0","","0","0",""
"18",20500,"1","1","0","","0","0",""
"18",20600,"5","1","2","","2","0",""
"18",20601,"NSS","NSS","NSS","","NSS","0",""
"18",20602,"NSS","NSS","NSS","","NSS","0",""
"18",20603,"NSS","NSS","NSS","","NSS","0",""
"18",20604,"NSS","NSS","NSS","","NSS","0",""
"18",20609,"NSS","NSS","NSS","","NSS","0",""
"18",20699,"5","1","2","","2","",""
"18",20900,"0","0","0","","0","0",""
"18",30100,"NSS","NSS","0","","NSS","0",""
"18",30200,"6","6","0","","NSS","0",""
"18",30300,"NSS","NSS","0","","NSS","0",""
"18",30400,"100","75","5","","17","3",""
"18",30500,"9","8","0","","1","0",""
"18",30600,"15","15","0","","NSS","0",""
"18",30700,"NSS","NSS","0","","NSS","0",""
"18",30900,"NSS","NSS","0","","NSS","0",""
"18",40100,"988","594","23","","343","28",""
"18",40101,"267","171","22","","46","28",""
"18",40102,"237","157","0","","80","0",""
"18",40103,"256","149","0","","107","0",""
"18",40104,"38","8","0","","30","0",""
"18",40105,"0","0","0","","0","0",""
"18",40106,"9","8","0","","1","0",""
"18",40107,"0","0","0","","0","0",""
"18",40108,"0","0","0","","0","0",""
"18",40109,"2","2","0","","0","0",""
"18",40110,"0","0","0","","0","0",""
"18",40111,"0","0","0","","0","0",""
"18",40112,"0","0","0","","0","0",""
"18",40113,"115","51","0","","64","0",""
"18",40114,"47","42","0","","5","0",""
"18",40115,"2","2","0","","0","0",""
"18",40116,"0","0","0","","0","0",""
"18",40119,"15","4","1","","10","0",""
"18",40199,"","","","","","",""
"18",40200,"NA","NA","NA","","NA","NA",""
"18",40300,"373","371","0","","2","0",""
"18",40400,"114","110","0","","4","0",""
"18",40500,"5","2","0","","3","0",""
"18",40501,"5","2","0","","3","0",""
"18",40509,"0","0","0","","0","0",""
"18",40599,"","","","","","",""
"18",40600,"161","128","0","","33","0",""
"18",40700,"167","164","0","","3","0",""
"18",40900,"9","8","0","","1","0",""
"18",50100,"466","84","0","","382","0",""
"18",50200,"561","245","0","","316","0",""
"18",50900,"0","0","0","","0","0",""
"18",60100,"35","30","0","","5","0",""
"18",60101,"33","28","0","","5","0",""
"18",60102,"0","0","0","","0","0",""
"18",60103,"0","0","0","","0","0",""
"18",60104,"1","1","0","","0","0",""
"18",60105,"0","0","0","","0","0",""
"18",60106,"0","0","0","","0","0",""
"18",60109,"1","1","0","","0","0",""
"18",60199,"","","","","","",""
"18",60200,"0","0","0","","0","0",""
"18",60201,"0","0","0","","0","0",""
"18",60202,"0","0","0","","0","0",""
"18",60203,"0","0","0","","0","0",""
"18",60209,"0","0","0","","0","0",""
"18",60299,"","","","","","",""
"18",60300,"0","0","0","","0","0",""
"18",60400,"0","0","0","","0","0",""
"18",60900,"0","0","0","","0","0",""
"18",70100,"196","7","0","","189","0",""
"18",70101,"NSS","NSS","0","","NSS","0",""
"18",70102,"NSS","NSS","0","","NSS","0",""
"18",70103,"NSS","NSS","0","","NSS","0",""
"18",70104,"NSS","NSS","0","","NSS","0",""
"18",70109,"NSS","NSS","0","","NSS","0",""
"18",70199,"196","7","","","189","",""
"18",70200,"NA","NA","NA","","NA","NA",""
"18",70201,"NA","NA","NA","","NA","NA",""
"18",70202,"NA","NA","NA","","NA","NA",""
"18",70203,"NA","NA","NA","","NA","NA",""
"18",70204,"NA","NA","NA","","NA","NA",""
"18",70205,"NA","NA","NA","","NA","NA",""
"18",70206,"NA","NA","NA","","NA","NA",""
"18",70209,"NA","NA","NA","","NA","NA",""
"18",70299,"","","","","","",""
"18",70300,"3","0","0","","3","0",""
"18",70400,"71","55","0","","16","0",""
"18",70500,"NA","NA","NA","","NA","NA",""
"18",70600,"NA","NA","NA","","NA","NA",""
"18",70900,"128","81","0","","47","0",""
"18",80100,"24","21","0","","3","0",""
"18",80101,"1","1","0","","0","0",""
"18",80102,"2","2","0","","0","0",""
"18",80103,"21","18","0","","3","0",""
"18",80104,"0","0","0","","0","0",""
"18",80105,"0","0","0","","0","0",""
"18",80106,"0","0","0","","0","0",""
"18",80107,"0","0","0","","0","0",""
"18",80109,"0","0","0","","0","0",""
"18",80199,"","","","","","",""
"18",80200,"5","4","0","","1","0",""
"18",80201,"NA","NA","NA","","NA","NA",""
"18",80209,"5","4","0","","1","0",""
"18",80299,"","","","","","",""
"18",80300,"0","0","0","","0","0",""
"18",80400,"0","0","0","","0","0",""
"18",80900,"0","0","0","","0","0",""
"18",90100,"144","122","0","","22","0",""
"18",90200,"20","15","0","","5","0",""
"18",90300,"15","15","0","","NSS","0",""
"18",90400,"37","36","0","","1","0",""
"18",90500,"3","1","0","","2","0",""
"18",90501,"NSS","NSS","0","","NSS","0",""
"18",90502,"NSS","NSS","0","","NSS","0",""
"18",90503,"NSS","NSS","0","","NSS","0",""
"18",90509,"NSS","NSS","0","","NSS","0",""
"18",90599,"3","1","","","2","",""
"18",90600,"NSS","NSS","0","","NSS","0",""
"18",90700,"NA","NA","NA","","NA","NA",""
"18",90701,"NA","NA","NA","","NA","NA",""
"18",90709,"NA","NA","NA","","NA","NA",""
"18",90799,"","","","","","",""
"18",90800,"NA","NA","NA","","NA","NA",""
"18",90900,"NSS","NSS","0","","NSS","0",""
"18",91000,"NSS","NSS","0","","NSS","0",""
"18",91100,"1","1","0","","NSS","0",""
"18",91200,"36","20","0","","16","0",""
"18",91300,"NSS","NSS","0","","NSS","0",""
"18",91400,"NSS","NSS","0","","NSS","0",""
"18",91500,"NSS","NSS","0","","NSS","0",""
"18",91600,"NSS","NSS","0","","NSS","0",""
"18",91900,"NSS","NSS","0","","NSS","0",""
"18",999999,"332","302","","","30","",""
"19",10100,"316","2","0","","314","0",""
"19",10200,"0","0","0","","0","0",""
"19",10300,"18","0","0","","18","0",""
"19",10400,"4734","4","0","","4730","0",""
"19",10900,"54","0","0","","54","0",""
"19",20100,"183","1","0","","182","0",""
"19",20200,"0","0","0","","0","0",""
"19",20300,"1119","0","0","","1119","0",""
"19",20400,"93","0","0","","93","0",""
"19",20500,"3","0","0","","3","0",""
"19",20600,"0","0","0","","0","0",""
"19",20601,"0","0","0","","0","0",""
"19",20602,"0","0","0","","0","0",""
"19",20603,"0","0","0","","0","0",""
"19",20604,"0","0","0","","0","0",""
"19",20609,"0","0","0","","0","0",""
"19",20699,"","","","","","",""
