entidad,delconsu,acpecttt,acpect1,acpect2,acpect4,acpect5
"01",10101,"84","28","0","56","0"
"01",40102,"0","0","0","0","0"
"01",40103,"0","0","0","0","0"
"01",40104,"0","0","0","0","0"
"01",40105,"0","0","0","0","0"
"01",40106,"0","0","0","0","0"
"01",40108,"0","0","0","0","0"
"01",40109,"0","0","0","0","0"
"01",40110,"0","0","0","0","0"
"01",40111,"0","0","0","0","0"
"01",40112,"0","0","0","0","0"
"01",40113,"0","0","0","0","0"
"01",40114,"0","0","0","0","0"
"01",40115,"0","0","0","0","0"
"01",40119,"0","0","0","0","0"
"02",10101,"1025","312","31","682","0"
"02",40102,"6561","146","0","6415","0"
"02",40103,"11335","0","0","11335","0"
"02",40104,"27","0","0","27","0"
"02",40105,"2228","728","1","1499","0"
"02",40106,"3","0","0","3","0"
"02",40108,"7","0","0","7","0"
"02",40109,"0","0","0","0","0"
"02",40110,"8","0","0","8","0"
"02",40111,"3","0","0","3","0"
"02",40112,"3","0","0","3","0"
"02",40113,"2259","805","0","1454","0"
"02",40114,"67","0","0","67","0"
"02",40115,"0","0","0","0","0"
"02",40119,"1584","0","0","1584","0"
"03",10101,"NSS","NSS","NSS","NSS","NSS"
"03",40102,"NSS","NSS","NSS","NSS","NSS"
"03",40103,"NSS","NSS","NSS","NSS","NSS"
"03",40104,"NSS","NSS","NSS","NSS","NSS"
"03",40105,"NSS","NSS","NSS","NSS","NSS"
"03",40106,"NSS","NSS","NSS","NSS","NSS"
"03",40108,"NSS","NSS","NSS","NSS","NSS"
"03",40109,"NSS","NSS","NSS","NSS","NSS"
"03",40110,"NSS","NSS","NSS","NSS","NSS"
"03",40111,"NSS","NSS","NSS","NSS","NSS"
"03",40112,"NSS","NSS","NSS","NSS","NSS"
"03",40113,"NSS","NSS","NSS","NSS","NSS"
"03",40114,"NSS","NSS","NSS","NSS","NSS"
"03",40115,"NSS","NSS","NSS","NSS","NSS"
"03",40119,"NSS","NSS","NSS","NSS","NSS"
"04",10101,"40","3","0","34","3"
"04",40102,"0","0","0","0","0"
"04",40103,"0","0","0","0","0"
"04",40104,"0","0","0","0","0"
"04",40105,"20","0","0","20","0"
"04",40106,"0","0","0","0","0"
"04",40108,"0","0","0","0","0"
"04",40109,"0","0","0","0","0"
"04",40110,"5","0","0","5","0"
"04",40111,"7","6","0","1","0"
"04",40112,"0","0","0","0","0"
"04",40113,"0","0","0","0","0"
"04",40114,"0","0","0","0","0"
"04",40115,"0","0","0","0","0"
"04",40119,"0","0","0","0","0"
"05",10101,"NSS","NSS","0","NSS","NSS"
"05",40102,"NSS","NSS","0","NSS","NSS"
"05",40103,"NSS","NSS","0","NSS","NSS"
"05",40104,"NSS","NSS","0","NSS","NSS"
"05",40105,"NSS","NSS","0","NSS","0"
"05",40106,"NSS","NSS","0","NSS","NSS"
"05",40108,"NSS","NSS","0","NSS","NSS"
"05",40109,"NSS","NSS","0","NSS","NSS"
"05",40110,"NSS","NSS","0","NSS","NSS"
"05",40111,"NSS","NSS","0","NSS","NSS"
"05",40112,"NSS","NSS","0","NSS","NSS"
"05",40113,"NSS","NSS","0","NSS","0"
